name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
AWARAN,DISTRICT,AWARAN,OVERALL,29510,178958,91623,87318,17,104.93,6.06,26.17,6.4,121821,6.64
AWARAN,DISTRICT,AWARAN,RURAL,,132122,67516,64594,12,104.52,,,6.1,87584,7.11
AWARAN,DISTRICT,AWARAN,URBAN,,46836,24107,22724,5,106.09,,,7.2,34237,5.38
BARKHAN,DISTRICT,BARKHAN,OVERALL,3514,210249,109624,100617,8,108.95,59.83,6.86,9.1,171025,3.51
BARKHAN,DISTRICT,BARKHAN,RURAL,,195824,102226,93591,7,109.23,,,9,158824,3.56
BARKHAN,DISTRICT,BARKHAN,URBAN,,14425,7398,7026,1,105.29,,,9.800000000000001,12201,2.84
CHAGAI,DISTRICT,CHAGAI,OVERALL,44748,269192,139922,129265,5,108.24,6.02,7.45,7,226517,2.93
CHAGAI,DISTRICT,CHAGAI,RURAL,,249138,129664,119469,5,108.53,,,6.9,210252,2.88
CHAGAI,DISTRICT,CHAGAI,URBAN,,20054,10258,9796,,104.72,,,7.7,16265,3.56
CHAMAN,DISTRICT,CHAMAN,OVERALL,1341,466218,261194,205011,13,127.4,347.66,27.91,7.5,434561,1.18
CHAMAN,DISTRICT,CHAMAN,RURAL,,336079,189666,146401,12,129.55,,,7.8,311355,1.29
CHAMAN,DISTRICT,CHAMAN,URBAN,,130139,71528,58610,1,122.04,,,6.8,123206,.92
DERA BUGTI,DISTRICT,DERA BUGTI,OVERALL,10160,355274,194587,160683,4,121.1,34.97,30.52,5.7,313110,2.13
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,,246827,137658,109166,3,126.1,,,5.8,212745,2.51
DERA BUGTI,DISTRICT,DERA BUGTI,URBAN,,108447,56929,51517,1,110.51,,,5.4,100365,1.3
DUKI,DISTRICT,DUKI,OVERALL,4233,205044,107221,97775,48,109.66,48.44,4.77,4.7,152977,5.02
DUKI,DISTRICT,DUKI,RURAL,,195261,101940,93276,45,109.29,,,4.8,142935,5.35
DUKI,DISTRICT,DUKI,URBAN,,9783,5281,4499,3,117.38,,,3.2,10042,-.44
GWADAR,DISTRICT,GWADAR,OVERALL,12637,305160,160744,144385,31,111.33,24.15,52.12,6,262253,2.56
GWADAR,DISTRICT,GWADAR,RURAL,,146125,76472,69639,14,109.81,,,6.4,101474,6.28
GWADAR,DISTRICT,GWADAR,URBAN,,159035,84272,74746,17,112.74,,,5.7,160779,-.18
HARNAI,DISTRICT,HARNAI,OVERALL,2492,127571,67362,60205,4,111.89,51.19,26.21,7.7,97052,4.68
HARNAI,DISTRICT,HARNAI,RURAL,,94138,48654,45481,3,106.98,,,7.9,72490,4.46
HARNAI,DISTRICT,HARNAI,URBAN,,33433,18708,14724,1,127.06,,,7.4,24562,5.29
JAFFARABAD,DISTRICT,JAFFARABAD,OVERALL,1643,594558,301370,293177,11,102.79,361.87,27.48,7.2,513972,2.46
JAFFARABAD,DISTRICT,JAFFARABAD,RURAL,,431165,218419,212743,3,102.67,,,6.8,356261,3.24
JAFFARABAD,DISTRICT,JAFFARABAD,URBAN,,163393,82951,80434,8,103.13,,,8.6,157711,.59
JHAL MAGSI,DISTRICT,JHAL MAGSI,OVERALL,3615,203368,103422,99933,13,103.49,56.26,11.87,6.5,148900,5.35
JHAL MAGSI,DISTRICT,JHAL MAGSI,RURAL,,179238,91912,87315,11,105.26,,,6.5,141085,4.08
