name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
ABBOTTABAD,DISTRICT,ABBOTTABAD,OVERALL,1967,1419072,712218,706750,104,100.77,721.4400000000001,23.42,5.9,1333089,1.05
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,,1086757,544465,542269,23,100.4,,,5.9,1039104,.75
ABBOTTABAD,DISTRICT,ABBOTTABAD,URBAN,,332315,167753,164481,81,101.99,,,6.2,293985,2.07
BAJAUR,DISTRICT,BAJAUR,OVERALL,1290,1287960,650798,637147,15,102.14,998.42,0,7,1090987,2.81
BAJAUR,DISTRICT,BAJAUR,RURAL,,1287960,650798,637147,15,102.14,,,7,1090987,2.81
BAJAUR,DISTRICT,BAJAUR,URBAN,,,,,,0,,,,,0
BANNU,DISTRICT,BANNU,OVERALL,1972,1357890,706094,651777,19,108.33,688.59,3.56,7.4,1210183,1.94
BANNU,DISTRICT,BANNU,RURAL,,1309492,680031,629449,12,108.04,,,7.4,1160235,2.04
BANNU,DISTRICT,BANNU,URBAN,,48398,26063,22328,7,116.73,,,6.8,49948,-.53
BATAGRAM,DISTRICT,BATAGRAM,OVERALL,1301,554133,281298,272825,10,103.11,425.93,0,6.4,476749,2.55
BATAGRAM,DISTRICT,BATAGRAM,RURAL,,554133,281298,272825,10,103.11,,,6.4,476749,2.55
BATAGRAM,DISTRICT,BATAGRAM,URBAN,,,,,,0,,,,,0
BUNER,DISTRICT,BUNER,OVERALL,1865,1016869,508172,508669,28,99.90000000000001,545.24,0,8.5,895460,2.15
BUNER,DISTRICT,BUNER,RURAL,,1016869,508172,508669,28,99.90000000000001,,,8.5,895460,2.15
BUNER,DISTRICT,BUNER,URBAN,,,,,,0,,,,,0
CHARSADDA,DISTRICT,CHARSADDA,OVERALL,996,1835504,950872,884613,19,107.49,1842.88,15.93,6.9,1610960,2.2
CHARSADDA,DISTRICT,CHARSADDA,RURAL,,1543078,799098,743964,16,107.41,,,7,1340756,2.38
CHARSADDA,DISTRICT,CHARSADDA,URBAN,,292426,151774,140649,3,107.91,,,6.5,270204,1.33
DERA ISMAIL KHAN,DISTRICT,DERA ISMAIL KHAN,OVERALL,9334,1829811,959405,870255,151,110.24,196.04,20.48,6.7,1693594,1.3
DERA ISMAIL KHAN,DISTRICT,DERA ISMAIL KHAN,RURAL,,1455054,762341,692700,13,110.05,,,6.9,1333376,1.47
DERA ISMAIL KHAN,DISTRICT,DERA ISMAIL KHAN,URBAN,,374757,197064,177555,138,110.99,,,6.2,360218,.66
HANGU,DISTRICT,HANGU,OVERALL,1097,528902,260293,268601,8,96.91,482.13,16.21,8.6,518811,.32
HANGU,DISTRICT,HANGU,RURAL,,443175,216894,226277,4,95.84999999999999,,,8.699999999999999,416309,1.05
HANGU,DISTRICT,HANGU,URBAN,,85727,43399,42324,4,102.54,,,7.9,102502,-2.94
HARIPUR,DISTRICT,HARIPUR,OVERALL,1725,1174783,591540,583198,45,101.43,681.03,12.58,6.1,1001515,2.7
HARIPUR,DISTRICT,HARIPUR,RURAL,,1027018,517365,509638,15,101.52,,,6.1,868415,2.84
HARIPUR,DISTRICT,HARIPUR,URBAN,,147765,74175,73560,30,100.84,,,6,133100,1.76
KARAK,DISTRICT,KARAK,OVERALL,3371,815878,421292,394575,11,106.77,242.03,7.12,8.4,705362,2.46
KARAK,DISTRICT,KARAK,RURAL,,757813,391202,366600,11,106.71,,,8.6,654276,2.49
KARAK,DISTRICT,KARAK,URBAN,,58065,30090,27975,,107.56,,,7.3,51086,2.16
KHYBER,DISTRICT,KHYBER,OVERALL,2576,1146267,598268,547989,10,109.18,444.98,8.26,6.8,984246,2.58
KHYBER,DISTRICT,KHYBER,RURAL,,1051560,548551,502999,10,109.06,,,6.8,886789,2.89
KHYBER,DISTRICT,KHYBER,URBAN,,94707,49717,44990,,110.51,,,6.8,97457,-.48
KOHAT,DISTRICT,KOHAT,OVERALL,2991,1234661,629566,605066,29,104.05,412.79,22.58,7.2,1111266,1.78
KOHAT,DISTRICT,KOHAT,RURAL,,955920,484870,471041,9,102.94,,,7.4,841340,2.16
KOHAT,DISTRICT,KOHAT,URBAN,,278741,144696,134025,20,107.96,,,6.6,269926,.54
KOLAI PALAS KOHISTAN,DISTRICT,KOLAI PALAS KOHISTAN,OVERALL,1410,280162,142588,137572,2,103.65,198.7,0,6.9,274923,.32
KOLAI PALAS KOHISTAN,DISTRICT,KOLAI PALAS KOHISTAN,RURAL,,280162,142588,137572,2,103.65,,,6.9,274923,.32
KOLAI PALAS KOHISTAN,DISTRICT,KOLAI PALAS KOHISTAN,URBAN,,,,,,0,,,,,0
KURRAM,DISTRICT,KURRAM,OVERALL,3380,785434,406914,378505,15,107.51,232.38,5.79,8.300000000000001,615372,4.16
KURRAM,DISTRICT,KURRAM,RURAL,,739963,382747,357202,14,107.15,,,8.199999999999999,577327,4.24
KURRAM,DISTRICT,KURRAM,URBAN,,45471,24167,21303,1,113.44,,,9.5,38045,3.02
LAKKI MARWAT,DISTRICT,LAKKI MARWAT,OVERALL,3296,1040856,527121,513722,13,102.61,315.79,9.9,7.8,902138,2.42
LAKKI MARWAT,DISTRICT,LAKKI MARWAT,RURAL,,937767,474909,462846,12,102.61,,,7.9,812886,2.42
LAKKI MARWAT,DISTRICT,LAKKI MARWAT,URBAN,,103089,52212,50876,1,102.63,,,7.4,89252,2.44
LOWER CHITRAL,DISTRICT,LOWER CHITRAL,OVERALL,6458,320407,163584,156823,,104.31,49.61,17.84,6.9,278328,2.38
LOWER CHITRAL,DISTRICT,LOWER CHITRAL,RURAL,,263250,134302,128948,,104.15,,,6.9,228548,2.39
LOWER CHITRAL,DISTRICT,LOWER CHITRAL,URBAN,,57157,29282,27875,,105.05,,,6.8,49780,2.34
LOWER DIR,DISTRICT,LOWER DIR,OVERALL,1583,1650183,813551,836605,27,97.23999999999999,1042.44,2.9,8.1,1436082,2.35
LOWER DIR,DISTRICT,LOWER DIR,RURAL,,1602323,789132,813165,26,97.04000000000001,,,8.1,1395768,2.33
LOWER DIR,DISTRICT,LOWER DIR,URBAN,,47860,24419,23440,1,104.18,,,7.8,40314,2.91
LOWER KOHISTAN,DISTRICT,LOWER KOHISTAN,OVERALL,642,340017,173655,166351,11,104.39,529.62,0,6.4,202502,9.050000000000001
LOWER KOHISTAN,DISTRICT,LOWER KOHISTAN,RURAL,,340017,173655,166351,11,104.39,,,6.4,202502,9.050000000000001
LOWER KOHISTAN,DISTRICT,LOWER KOHISTAN,URBAN,,,,,,0,,,,,0
MALAKAND,DISTRICT,MALAKAND,OVERALL,952,826250,422792,403446,12,104.8,867.91,8.9,7.3,717806,2.38
MALAKAND,DISTRICT,MALAKAND,RURAL,,752725,384443,368276,6,104.39,,,7.3,650120,2.48
MALAKAND,DISTRICT,MALAKAND,URBAN,,73525,38349,35170,6,109.04,,,7.1,67686,1.39
MANSEHRA,DISTRICT,MANSEHRA,OVERALL,4125,1797177,912164,884906,107,103.08,435.68,8.619999999999999,6.1,1555742,2.44
MANSEHRA,DISTRICT,MANSEHRA,RURAL,,1642343,832604,809696,43,102.83,,,6.1,1410844,2.57
MANSEHRA,DISTRICT,MANSEHRA,URBAN,,154834,79560,75210,64,105.78,,,5.8,144898,1.11
MARDAN,DISTRICT,MARDAN,OVERALL,1632,2744898,1408776,1336069,53,105.44,1681.92,16.52,6.8,2373399,2.46
MARDAN,DISTRICT,MARDAN,RURAL,,2291556,1174376,1117161,19,105.12,,,6.8,1933177,2.88
MARDAN,DISTRICT,MARDAN,URBAN,,453342,234400,218908,34,107.08,,,6.6,440222,.49
MOHMAND,DISTRICT,MOHMAND,OVERALL,2296,553933,281384,272543,6,103.24,241.26,0,8.6,474345,2.63
MOHMAND,DISTRICT,MOHMAND,RURAL,,553933,281384,272543,6,103.24,,,8.6,474345,2.63
MOHMAND,DISTRICT,MOHMAND,URBAN,,,,,,0,,,,,0
NORTH WAZIRISTAN,DISTRICT,NORTH WAZIRISTAN,OVERALL,4707,693332,354636,338681,15,104.71,147.3,.6,6.9,540546,4.25
