name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
ATTOCK,DISTRICT,ATTOCK,OVERALL,6857,2170423,1089655,1080687,81,100.83,316.53,28.75,6.1,1886378,2.37
ATTOCK,DISTRICT,ATTOCK,RURAL,,1546439,775779,770642,18,100.67,,,6,1395470,1.73
ATTOCK,DISTRICT,ATTOCK,URBAN,,623984,313876,310045,63,101.24,,,6.4,490908,4.09
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,OVERALL,8878,3550342,1845493,1704479,370,108.27,399.9,27.44,6.3,2975656,3
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,,2576224,1339315,1236809,100,108.29,,,6.4,2355970,1.5
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,URBAN,,974118,506178,467670,270,108.23,,,6.2,619686,7.85
BAHAWALPUR,DISTRICT,BAHAWALPUR,OVERALL,24830,4284964,2174995,2109500,469,103.1,172.57,37.79,6.3,3669176,2.63
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,,2665643,1351661,1313845,137,102.88,,,6.4,2497014,1.1
BAHAWALPUR,DISTRICT,BAHAWALPUR,URBAN,,1619321,823334,795655,332,103.48,,,6.3,1172162,5.55
BHAKKAR,DISTRICT,BHAKKAR,OVERALL,8153,1957470,1016361,941032,77,108,240.09,18,6.2,1647852,2.92
BHAKKAR,DISTRICT,BHAKKAR,RURAL,,1605036,833202,771798,36,107.96,,,6.2,1388198,2.46
BHAKKAR,DISTRICT,BHAKKAR,URBAN,,352434,183159,169234,41,108.23,,,6.2,259654,5.24
CHAKWAL,DISTRICT,CHAKWAL,OVERALL,6525,1734854,864029,870736,89,99.23,265.88,25.06,6,1495463,2.51
CHAKWAL,DISTRICT,CHAKWAL,RURAL,,1300049,645153,654881,15,98.51000000000001,,,5.9,1211855,1.18
CHAKWAL,DISTRICT,CHAKWAL,URBAN,,434805,218876,215855,74,101.4,,,6.1,283608,7.4
CHINIOT,DISTRICT,CHINIOT,OVERALL,2643,1563024,790731,772126,167,102.41,591.38,31.46,6,1368659,2.24
CHINIOT,DISTRICT,CHINIOT,RURAL,,1071352,542708,528595,49,102.67,,,6.1,946429,2.09
CHINIOT,DISTRICT,CHINIOT,URBAN,,491672,248023,243531,118,101.84,,,5.9,422230,2.58
DERA GHAZI KHAN,DISTRICT,DERA GHAZI KHAN,OVERALL,11922,3393705,1712930,1680654,121,101.92,284.66,23.79,7.4,2872631,2.83
DERA GHAZI KHAN,DISTRICT,DERA GHAZI KHAN,RURAL,,2586293,1304464,1281793,36,101.77,,,7.6,2326410,1.79
DERA GHAZI KHAN,DISTRICT,DERA GHAZI KHAN,URBAN,,807412,408466,398861,85,102.41,,,7,546221,6.75
FAISALABAD,DISTRICT,FAISALABAD,OVERALL,5857,9075819,4731224,4343633,962,108.92,1549.57,48.4,6.5,7882444,2.38
FAISALABAD,DISTRICT,FAISALABAD,RURAL,,4682840,2439003,2243545,292,108.71,,,6.5,4115578,2.18
FAISALABAD,DISTRICT,FAISALABAD,URBAN,,4392979,2292221,2100088,670,109.15,,,6.5,3766866,2.6
GUJRANWALA,DISTRICT,GUJRANWALA,OVERALL,3622,5959750,3028290,2930923,537,103.32,1645.43,60.3,7,5011066,2.94
GUJRANWALA,DISTRICT,GUJRANWALA,RURAL,,2365779,1193679,1171946,154,101.85,,,7.1,2061948,2.32
