name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
BADIN,DISTRICT,BADIN,OVERALL,6858,1947081,1012854,934153,74,108.42,283.91,22.08,4.8,1804958,1.27
BADIN,DISTRICT,BADIN,RURAL,,1517232,790028,727169,35,108.64,,,4.8,1414614,1.18
BADIN,DISTRICT,BADIN,URBAN,,429849,222826,206984,39,107.65,,,5,390344,1.62
DADU,DISTRICT,DADU,OVERALL,7866,1742320,883793,858441,86,102.95,221.5,25.2,5.1,1550390,1.97
DADU,DISTRICT,DADU,RURAL,,1303286,662867,640382,37,103.51,,,5,1166984,1.86
DADU,DISTRICT,DADU,URBAN,,439034,220926,218059,49,101.31,,,5.2,383406,2.29
GHOTKI,DISTRICT,GHOTKI,OVERALL,6083,1772609,920328,852234,47,107.99,291.4,21.4,5.3,1648708,1.22
GHOTKI,DISTRICT,GHOTKI,RURAL,,1393227,723551,669653,23,108.05,,,5.3,1287887,1.32
GHOTKI,DISTRICT,GHOTKI,URBAN,,379382,196777,182581,24,107.78,,,5.4,360821,.84
HYDERABAD,DISTRICT,HYDERABAD,OVERALL,993,2432540,1289279,1143090,171,112.79,2449.69,83.14,5.4,2199928,1.69
HYDERABAD,DISTRICT,HYDERABAD,RURAL,,410161,216720,193434,7,112.04,,,5.4,373410,1.58
HYDERABAD,DISTRICT,HYDERABAD,URBAN,,2022379,1072559,949656,164,112.94,,,5.4,1826518,1.72
JACOBABAD,DISTRICT,JACOBABAD,OVERALL,2698,1174097,595787,578201,109,103.04,435.17,30.83,6,1007009,2.6
JACOBABAD,DISTRICT,JACOBABAD,RURAL,,812180,411783,400369,28,102.85,,,5.8,709791,2.28
JACOBABAD,DISTRICT,JACOBABAD,URBAN,,361917,184004,177832,81,103.47,,,6.4,297218,3.35
JAMSHORO,DISTRICT,JAMSHORO,OVERALL,11204,1117308,578036,539205,67,107.2,99.72,46.7,5.2,993908,1.98
JAMSHORO,DISTRICT,JAMSHORO,RURAL,,595562,309656,285897,9,108.31,,,5,561287,1
JAMSHORO,DISTRICT,JAMSHORO,URBAN,,521746,268380,253308,58,105.95,,,5.4,432621,3.18
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,OVERALL,5475,1514869,791116,723710,43,109.31,276.69,27.85,5.6,1338035,2.1
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,RURAL,,1093004,571677,521312,15,109.66,,,5.6,941232,2.53
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,URBAN,,421865,219439,202398,28,108.42,,,5.7,396803,1.03
KARACHI CENTRAL,DISTRICT,KARACHI CENTRAL,OVERALL,69,3822325,2019115,1802647,563,112.01,55396.01,100,5.8,2971382,4.3
KARACHI CENTRAL,DISTRICT,KARACHI CENTRAL,RURAL,,,,,,0,,,,,0
KARACHI CENTRAL,DISTRICT,KARACHI CENTRAL,URBAN,,3822325,2019115,1802647,563,112.01,,,5.8,2971382,4.3
KARACHI EAST,DISTRICT,KARACHI EAST,OVERALL,139,3921742,2084719,1836597,426,113.51,28213.97,100,5.9,2875315,5.32
KARACHI EAST,DISTRICT,KARACHI EAST,RURAL,,,,,,0,,,,,0
KARACHI EAST,DISTRICT,KARACHI EAST,URBAN,,3921742,2084719,1836597,426,113.51,,,5.9,2875315,5.32
KARACHI SOUTH,DISTRICT,KARACHI SOUTH,OVERALL,122,2329764,1240860,1088520,384,114,19096.43,100,5.4,1769230,4.71
KARACHI SOUTH,DISTRICT,KARACHI SOUTH,RURAL,,,,,,0,,,,,0
KARACHI SOUTH,DISTRICT,KARACHI SOUTH,URBAN,,2329764,1240860,1088520,384,114,,,5.4,1769230,4.71
KARACHI WEST,DISTRICT,KARACHI WEST,OVERALL,370,2679380,1415431,1263752,197,112,7241.57,90.70999999999999,5.7,2077228,4.35
KARACHI WEST,DISTRICT,KARACHI WEST,RURAL,,248952,132585,116360,7,113.94,,,5.7,160904,7.57
KARACHI WEST,DISTRICT,KARACHI WEST,URBAN,,2430428,1282846,1147392,190,111.81,,,5.7,1916324,4.05
KASHMORE,DISTRICT,KASHMORE,OVERALL,2580,1233957,628265,605646,46,103.73,478.28,22.03,5.9,1090336,2.09
KASHMORE,DISTRICT,KASHMORE,RURAL,,962175,492641,469512,22,104.93,,,5.9,836677,2.36
KASHMORE,DISTRICT,KASHMORE,URBAN,,271782,135624,136134,24,99.63,,,5.9,253659,1.16
KEAMARI,DISTRICT,KEAMARI,OVERALL,559,2068451,1100626,967613,212,113.75,3700.27,100,6.4,1829837,2.07
KEAMARI,DISTRICT,KEAMARI,RURAL,,,,,,0,,,,121954,-100
KEAMARI,DISTRICT,KEAMARI,URBAN,,2068451,1100626,967613,212,113.75,,,6.4,1707883,3.25
KHAIRPUR,DISTRICT,KHAIRPUR,OVERALL,15910,2597535,1315925,1281472,138,102.69,163.26,32.5,5.7,2405190,1.29
KHAIRPUR,DISTRICT,KHAIRPUR,RURAL,,1753272,889075,864154,43,102.88,,,5.7,1628184,1.24
KHAIRPUR,DISTRICT,KHAIRPUR,URBAN,,844263,426850,417318,95,102.28,,,5.7,777006,1.4
KORANGI,DISTRICT,KORANGI,OVERALL,108,3128971,1650172,1478133,666,111.64,28971.95,100,6.3,2577556,3.29
KORANGI,DISTRICT,KORANGI,RURAL,,,,,,0,,,,,0
KORANGI,DISTRICT,KORANGI,URBAN,,3128971,1650172,1478133,666,111.64,,,6.3,2577556,3.29
LARKANA,DISTRICT,LARKANA,OVERALL,1948,1784453,932604,851732,117,109.5,916.04,44.73,5.5,1521786,2.7
LARKANA,DISTRICT,LARKANA,RURAL,,986302,514138,472135,29,108.9,,,5.5,822888,3.07
LARKANA,DISTRICT,LARKANA,URBAN,,798151,418466,379597,88,110.24,,,5.5,698898,2.24
MALIR,DISTRICT,MALIR,OVERALL,2160,2432248,1288599,1143424,225,112.7,1126.04,47.95,5.7,1924346,3.99
MALIR,DISTRICT,MALIR,RURAL,,1265908,674145,591649,114,113.94,,,5.5,857634,6.72
MALIR,DISTRICT,MALIR,URBAN,,1166340,614454,551775,111,111.36,,,5.9,1066712,1.5
MATIARI,DISTRICT,MATIARI,OVERALL,1417,849383,430096,419262,25,102.58,599.42,23.86,5.3,770040,1.65
MATIARI,DISTRICT,MATIARI,RURAL,,646710,327876,318825,9,102.84,,,5.2,587371,1.62
MATIARI,DISTRICT,MATIARI,URBAN,,202673,102220,100437,16,101.78,,,5.6,182669,1.75
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,OVERALL,2925,1681386,882057,799250,79,110.36,574.83,29.27,5.3,1504440,1.88
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,,1189211,623980,565211,20,110.4,,,5.2,1070359,1.78
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,URBAN,,492175,258077,234039,59,110.27,,,5.8,434081,2.12
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,OVERALL,2946,1777082,901622,875385,75,103,603.22,28.54,5.5,1612047,1.64
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,,1269838,645506,624301,31,103.4,,,5.4,1232814,.5
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,URBAN,,507244,256116,251084,44,102,,,5.7,379233,4.98
SANGHAR,DISTRICT,SANGHAR,OVERALL,10728,2308465,1172607,1135748,110,103.25,215.18,27.32,5.6,2049873,2.01
SANGHAR,DISTRICT,SANGHAR,RURAL,,1677683,853652,823997,34,103.6,,,5.5,1478154,2.14
SANGHAR,DISTRICT,SANGHAR,URBAN,,630782,318955,311751,76,102.31,,,5.9,571719,1.66
SHAHEED BENAZIRABAD,DISTRICT,SHAHEED BENAZIRABAD,OVERALL,4502,1845102,936953,908082,67,103.18,409.84,32.42,5.5,1613506,2.27
SHAHEED BENAZIRABAD,DISTRICT,SHAHEED BENAZIRABAD,RURAL,,1246982,633470,613492,20,103.26,,,5.3,1123696,1.76
SHAHEED BENAZIRABAD,DISTRICT,SHAHEED BENAZIRABAD,URBAN,,598120,303483,294590,47,103.02,,,5.9,489810,3.4
SHIKARPUR,DISTRICT,SHIKARPUR,OVERALL,2512,1386330,700698,685587,45,102.2,551.88,22.99,6.4,1233760,1.97
SHIKARPUR,DISTRICT,SHIKARPUR,RURAL,,1067592,543327,524238,27,103.64,,,6.5,929319,2.35
SHIKARPUR,DISTRICT,SHIKARPUR,URBAN,,318738,157371,161349,18,97.53,,,6,304441,.77
SUJAWAL,DISTRICT,SUJAWAL,OVERALL,8785,839292,437151,402109,32,108.71,95.54000000000001,10.59,5.2,779062,1.25
SUJAWAL,DISTRICT,SUJAWAL,RURAL,,750445,391782,358647,16,109.24,,,5.2,693566,1.33
SUJAWAL,DISTRICT,SUJAWAL,URBAN,,88847,45369,43462,16,104.39,,,5.4,85496,.64
SUKKUR,DISTRICT,SUKKUR,OVERALL,5165,1639897,870094,769729,74,113.04,317.5,49.7,6.1,1488372,1.63
SUKKUR,DISTRICT,SUKKUR,RURAL,,824898,438544,386337,17,113.51,,,5.6,767566,1.21
SUKKUR,DISTRICT,SUKKUR,URBAN,,814999,431550,383392,57,112.56,,,6.6,720806,2.07
TANDO AHYAR,DISTRICT,TANDO AHYAR,OVERALL,1554,922012,468504,453487,21,103.31,593.3200000000001,30.99,5.1,838527,1.6
TANDO AHYAR,DISTRICT,TANDO AHYAR,RURAL,,636325,324197,312124,4,103.87,,,5.1,570428,1.84
TANDO AHYAR,DISTRICT,TANDO AHYAR,URBAN,,285687,144307,141363,17,102.08,,,5.3,268099,1.07
TANDO MUHAMMAD KHAN,DISTRICT,TANDO MUHAMMAD KHAN,OVERALL,1423,726119,376736,349362,21,107.84,510.27,22.33,5,677098,1.18
TANDO MUHAMMAD KHAN,DISTRICT,TANDO MUHAMMAD KHAN,RURAL,,563977,292529,271442,6,107.77,,,5,535061,.88
TANDO MUHAMMAD KHAN,DISTRICT,TANDO MUHAMMAD KHAN,URBAN,,162142,84207,77920,15,108.07,,,5.1,142037,2.24
TANDO MUHAMMAD KHAN,DISTRICT,TANDO MUHAMMAD KHAN,OVERALL,263,272427,141399,131014,14,107.93,1035.84,42,4.9,255404,1.08
TANDO MUHAMMAD KHAN,DISTRICT,TANDO MUHAMMAD KHAN,RURAL,,158021,82105,75915,1,108.15,,,4.8,153536,.48
TANDO MUHAMMAD KHAN,DISTRICT,TANDO MUHAMMAD KHAN,URBAN,,114406,59294,55099,13,107.61,,,5.1,101868,1.96
THARPARKAR,DISTRICT,THARPARKAR,OVERALL,19637,1778407,928333,850041,33,109.21,90.56,8.119999999999999,5.4,1647036,1.29
THARPARKAR,DISTRICT,THARPARKAR,RURAL,,1634002,852857,781115,30,109.18,,,5.4,1514502,1.28
THARPARKAR,DISTRICT,THARPARKAR,URBAN,,144405,75476,68926,3,109.5,,,5.2,132534,1.44
THATTA,DISTRICT,THATTA,OVERALL,8570,1083191,555252,527895,44,105.18,126.39,17.88,5.2,982138,1.65
THATTA,DISTRICT,THATTA,RURAL,,889512,457107,432373,32,105.72,,,5.1,805662,1.67
THATTA,DISTRICT,THATTA,URBAN,,193679,98145,95522,12,102.75,,,5.7,176476,1.57
UMER KOT,DISTRICT,UMER KOT,OVERALL,5608,1159831,606812,552994,25,109.73,206.82,22.32,5.2,1073469,1.3
UMER KOT,DISTRICT,UMER KOT,RURAL,,900972,471680,429277,15,109.88,,,5.2,829932,1.38
UMER KOT,DISTRICT,UMER KOT,URBAN,,258859,135132,123717,10,109.23,,,5,243537,1.02
