name_admin_unit,admin_units,part_of_district,urban_locality,region,all_sexes,male,female,tgend,population_2017,average_annual_growth_rate,household_size,note
ABBOTTABAD,TEHSIL,ABBOTTABAD,ABBOTTABAD CANTONMENT,URBAN,159683,80941,78718,24,137762,2.5,6.57,Urban Localities
ABBOTTABAD,TEHSIL,ABBOTTABAD,ABBOTTABAD MC,URBAN,74712,38073,36625,14,70227,1.04,5.8,Urban Localities
HAVELIAN,TEHSIL,ABBOTTABAD,HAVELIAN CANTONMENT,URBAN,37509,18526,18983,,31545,2.94,5.99,Urban Localities
ABBOTTABAD,TEHSIL,ABBOTTABAD,NAWAN SHEHR TC,URBAN,40711,20177,20533,1,37068,1.58,6.12,Urban Localities
HAVELIAN,TEHSIL,ABBOTTABAD,HAVELIAN MC,URBAN,18916,9655,9219,42,16770,2.03,6.16,Urban Localities
ABBOTTABAD,TEHSIL,ABBOTTABAD,MURREE GALLIES CANTONMENT,URBAN,784,381,403,,613,4.2,10.89,Urban Localities
BANNU,TEHSIL,BANNU,BANNU MC,URBAN,41015,22174,18834,7,41632,-.25,6.95,Urban Localities
BANNU,TEHSIL,BANNU,BANNU CANTONMENT,URBAN,7383,3889,3494,,8316,-1.97,6.3,Urban Localities
CHARSADDA,TEHSIL,CHARSADDA,CHARSADDA MC,URBAN,120170,62357,57811,2,114558,.8,6.82,Urban Localities
SHABQADAR,TEHSIL,CHARSADDA,SHABQADAR MC,URBAN,102340,53600,48739,1,91490,1.89,6.73,Urban Localities
TANGI,TEHSIL,CHARSADDA,TANGI MC,URBAN,35659,18331,17328,,32913,1.35,5.5,Urban Localities
CHARSADDA,TEHSIL,CHARSADDA,UTMANZAI MC,URBAN,34257,17486,16771,,31243,1.55,6.59,Urban Localities
DERA ISMAIL KHAN,TEHSIL,DERA ISMAIL KHAN,DERA ISMAIL KHAN MC,URBAN,213756,112128,101494,134,212324,.11,6.14,Urban Localities
PAHARPUR,TEHSIL,DERA ISMAIL KHAN,PAHARPUR MC,URBAN,76027,39676,36348,3,66745,2.2,6.62,Urban Localities
PAROA,TEHSIL,DERA ISMAIL KHAN,PAROA MC,URBAN,42005,21926,20078,1,39881,.87,6.41,Urban Localities
KULACHI,TEHSIL,DERA ISMAIL KHAN,KULACHI MC,URBAN,24481,13003,11478,,24753,-.18,6.06,Urban Localities
PAHARPUR,TEHSIL,DERA ISMAIL KHAN,PANYALA TC,URBAN,11669,6108,5561,,10821,1.27,5.91,Urban Localities
DERA ISMAIL KHAN,TEHSIL,DERA ISMAIL KHAN,DERA ISMAIL KHAN CANTONMENT,URBAN,6819,4223,2596,,5694,3.06,7.54,Urban Localities
HANGU,TEHSIL,HANGU,HANGU MC,URBAN,43642,21980,21661,1,48801,-1.85,7.74,Urban Localities
TALL,TEHSIL,HANGU,TALL MC,URBAN,30977,15799,15177,1,32382,-.74,8.109999999999999,Urban Localities
TALL,TEHSIL,HANGU,DOABA TC,URBAN,11108,5620,5486,2,21319,-10.32,8.710000000000001,Urban Localities
HARIPUR,TEHSIL,HARIPUR,HARIPUR MC,URBAN,91915,46903,44983,29,85915,1.13,5.91,Urban Localities
HARIPUR,TEHSIL,HARIPUR,KHALABAT MC,URBAN,55850,27272,28577,1,47185,2.86,6.23,Urban Localities
KARAK,TEHSIL,KARAK,KARAK MC,URBAN,58065,30090,27975,,51086,2.16,7.32,Urban Localities
JAMRUD,TEHSIL,KHYBER,JAMRUD TC,URBAN,56642,29633,27009,,63728,-1.95,6.69,Urban Localities
LANDI KOTAL,TEHSIL,KHYBER,LANDI KOTAL TC,URBAN,38065,20084,17981,,33729,2.04,7.1,Urban Localities
KOHAT,TEHSIL,KOHAT,KOHAT MC,URBAN,204829,106140,98675,14,191836,1.1,6.7,Urban Localities
KOHAT,TEHSIL,KOHAT,KOHAT CANTONMENT,URBAN,31051,16199,14848,4,36719,-2.76,5.98,Urban Localities
LACHI,TEHSIL,KOHAT,LACHI TC,URBAN,23843,12454,11389,,23796,.03,7.38,Urban Localities
