name_admin_unit,admin_units,part_of_district,urban_locality,region,all_sexes,male,female,tgend,population_2017,average_annual_growth_rate,household_size,note
ATTOCK,TEHSIL,ATTOCK,ATTOCK MC,URBAN,142826,72209,70594,23,121054,2.8,6.03,Urban Localities
FATEH JANG,TEHSIL,ATTOCK,FATEH JANG MC,URBAN,81321,41020,40289,12,66500,3.42,6.46,Urban Localities
HASAN ABDAL,TEHSIL,ATTOCK,HASAN ABDAL MC,URBAN,69529,35579,33938,12,63218,1.6,6.33,Urban Localities
JAND,TEHSIL,ATTOCK,JAND MC,URBAN,56254,27724,28526,4,48194,2.62,5.71,Urban Localities
ATTOCK,TEHSIL,ATTOCK,KAMRA CANTONMENT,URBAN,67425,33634,33791,,54847,3.51,7.46,Urban Localities
PINDI GHEB,TEHSIL,ATTOCK,PINDI GHEB MC,URBAN,63810,32561,31241,8,45195,5.93,6.04,Urban Localities
ATTOCK,TEHSIL,ATTOCK,ATTOCK CANTONMENT,URBAN,33718,16332,17386,,25729,4.62,9.130000000000001,Urban Localities
HAZRO,TEHSIL,ATTOCK,HAZRO MC,URBAN,44242,22296,21942,4,39556,1.89,6.66,Urban Localities
ATTOCK,TEHSIL,ATTOCK,MIRZA TC,URBAN,34378,17006,17372,,,,6.37,Urban Localities
HAZRO,TEHSIL,ATTOCK,GHUR GHUSHTI MC,URBAN,18730,9461,9269,,15752,2.94,6.56,Urban Localities
ATTOCK,TEHSIL,ATTOCK,SANJWAL CANTONMENT,URBAN,11751,6054,5697,,10863,1.32,5.57,Urban Localities
BAHAWALNAGAR,TEHSIL,BAHAWALNAGAR,BAHAWALNAGAR MC,URBAN,241873,126278,115532,63,160883,7.05,6.12,Urban Localities
CHISHTIAN,TEHSIL,BAHAWALNAGAR,CHISHTIAN MC,URBAN,192403,99585,92765,53,149424,4.32,6.09,Urban Localities
HAROONABAD,TEHSIL,BAHAWALNAGAR,HAROONABAD MC,URBAN,149679,77193,72422,64,107680,5.66,6.24,Urban Localities
HAROONABAD,TEHSIL,BAHAWALNAGAR,FAQIR WALI TC,URBAN,61586,32181,29389,16,34920,9.949999999999999,6.4,Urban Localities
FORT ABBAS,TEHSIL,BAHAWALNAGAR,FORT ABBAS MC,URBAN,83192,43584,39591,17,61528,5.17,6.52,Urban Localities
MINCHINABAD,TEHSIL,BAHAWALNAGAR,MINCHINABAD MC,URBAN,67164,34763,32399,2,56563,2.91,6.14,Urban Localities
MINCHINABAD,TEHSIL,BAHAWALNAGAR,AHMED PUR MECLEOD GUNJ TC,URBAN,25997,13488,12494,15,,,6.15,Urban Localities
