name_admin_unit,admin_units,part_of_district,urban_locality,region,all_sexes,male,female,tgend,population_2017,average_annual_growth_rate,household_size,note
BADIN,TALUKA,BADIN,BADIN MC,URBAN,117455,60962,56485,8,112393,.74,5.04,Urban Localities
MATLI,TALUKA,BADIN,MATLI MC,URBAN,74402,38757,35629,16,62563,2.94,5,Urban Localities
TANDO BAGO,TALUKA,BADIN,KHOSKI TC,URBAN,29324,15087,14236,1,27411,1.13,4.8,Urban Localities
GOLARCHI (S.F.RAHU),TALUKA,BADIN,SHAHEED FAZAL RAHU TC,URBAN,35313,18395,16917,1,33866,.7,5.55,Urban Localities
TALHAR,TALUKA,BADIN,TALHAR TC,URBAN,27231,13986,13241,4,27667,-.27,4.55,Urban Localities
MATLI,TALUKA,BADIN,TANDO GHULAM ALI TC,URBAN,36961,19239,17720,2,35724,.57,4.95,Urban Localities
BADIN,TALUKA,BADIN,KADHAN TC,URBAN,14956,7665,7291,,10845,5.52,5.07,Urban Localities
GOLARCHI (S.F.RAHU),TALUKA,BADIN,KARIO GHANWAR TC,URBAN,21775,11452,10323,,19487,1.87,5.47,Urban Localities
BADIN,TALUKA,BADIN,NINDO TC,URBAN,10151,5175,4974,2,8381,3.25,5.57,Urban Localities
TANDO BAGO,TALUKA,BADIN,PANGRIO TC,URBAN,17982,9356,8626,,13443,4.98,4.96,Urban Localities
TALHAR,TALUKA,BADIN,RAJO KHANANI TC,URBAN,21513,11118,10392,3,21018,.39,4.73,Urban Localities
TANDO BAGO,TALUKA,BADIN,TANDO BAGO MC,URBAN,22786,11634,11150,2,17546,4.46,4.65,Urban Localities
DADU,TALUKA,DADU,DADU MC,URBAN,188317,95044,93258,15,171319,1.59,5.39,Urban Localities
KHAIRPUR NATHAN SHAH,TALUKA,DADU,KHAIR PUR NATHAN SHAH MC,URBAN,50786,25170,25615,1,41320,3.51,4.73,Urban Localities
MEHAR,TALUKA,DADU,MEHAR MC,URBAN,67082,33558,33504,20,56200,3,5.05,Urban Localities
JOHI,TALUKA,DADU,JOHI TC,URBAN,40086,20341,19743,2,29031,5.54,5.53,Urban Localities
MEHAR,TALUKA,DADU,RADHAN TC,URBAN,32721,16372,16344,5,28900,2.1,5.27,Urban Localities
KHAIRPUR NATHAN SHAH,TALUKA,DADU,SITA ROAD TC,URBAN,32760,16608,16147,5,31093,.88,5.33,Urban Localities
DADU,TALUKA,DADU,PHULJI TC,URBAN,12700,6416,6283,1,11261,2.03,5.65,Urban Localities
MEHAR,TALUKA,DADU,THARI MOHABAT TC,URBAN,14582,7417,7165,,14282,.35,4.81,Urban Localities
GHOTKI,TALUKA,GHOTKI,GHOTKI MC,URBAN,119879,62102,57767,10,111398,1.23,5.47,Urban Localities
DAHARKI,TALUKA,GHOTKI,DAHARKI TC,URBAN,90177,46863,43311,3,86286,.74,5.51,Urban Localities
MIRPUR MATHELO,TALUKA,GHOTKI,MIRPUR MATHELO MC,URBAN,74651,38879,35768,4,75270,-.14,5.26,Urban Localities
UBAURO,TALUKA,GHOTKI,UBAURO TC,URBAN,50981,26418,24557,6,44496,2.3,5.76,Urban Localities
KHANGARH,TALUKA,GHOTKI,KHANGARH TC,URBAN,32648,16754,15893,1,30423,1.19,5.08,Urban Localities
GHOTKI,TALUKA,GHOTKI,ADILPUR TC,URBAN,11046,5761,5285,,12948,-2.62,6.25,Urban Localities
HYDERABAD CITY,TALUKA,HYDERABAD,HYDERABAD MUNICIPAL CORPORATION HYDERABAD CITY TALUKA,URBAN,725305,381440,343806,59,673091,1.26,5.58,Urban Localities
LATIFABAD,TALUKA,HYDERABAD,HYDERABAD MUNICIPAL CORPORATION LATIFABAD TALUKA,URBAN,761793,401569,360144,80,661304,2.39,5.2,Urban Localities
