name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
AWARAN,DISTRICT,AWARAN,RURAL,OVERALL,163,132122,67516,64594,12,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,"5,000 AND ABOVE",1,5894,2996,2898,,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,"2,000 -- 4,999",12,32350,16246,16103,1,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,"1,000 -- 1,999",33,46135,23515,22618,2,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,500 -- 999,41,28157,14483,13671,3,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,200 -- 499,48,16979,8905,8068,6,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,LESS THAN 200,23,2607,1371,1236,,Rural Localities
AWARAN,DISTRICT,AWARAN,RURAL,UN-INHABITED,5,,,,,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,OVERALL,131,195824,102226,93591,7,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,"5,000 AND ABOVE",5,42829,22201,20627,1,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,"2,000 -- 4,999",17,50920,25928,24991,1,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,"1,000 -- 1,999",42,57779,30636,27140,3,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,500 -- 999,49,37926,20097,17829,,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,200 -- 499,17,6370,3364,3004,2,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,LESS THAN 200,,,,,,Rural Localities
BARKHAN,DISTRICT,BARKHAN,RURAL,UN-INHABITED,1,,,,,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,OVERALL,48,249138,129664,119469,5,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,"5,000 AND ABOVE",15,197284,103029,94251,4,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,"2,000 -- 4,999",9,31168,15996,15171,1,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,"1,000 -- 1,999",10,13004,6701,6303,,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,500 -- 999,8,6123,3113,3010,,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,200 -- 499,4,1213,656,557,,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,LESS THAN 200,2,346,169,177,,Rural Localities
CHAGAI,DISTRICT,CHAGAI,RURAL,UN-INHABITED,,,,,,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,OVERALL,38,336079,189666,146401,12,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,"5,000 AND ABOVE",15,290226,163184,127032,10,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,"2,000 -- 4,999",10,32029,18608,13419,2,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,"1,000 -- 1,999",7,10319,5931,4388,,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,500 -- 999,5,3504,1942,1562,,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,200 -- 499,,,,,,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,LESS THAN 200,1,1,1,,,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,UN-INHABITED,,,,,,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,OVERALL,213,246827,137658,109166,3,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,"5,000 AND ABOVE",8,55145,30440,24705,,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,"2,000 -- 4,999",22,67547,38425,29121,1,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,"1,000 -- 1,999",46,67104,38028,29074,2,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,500 -- 999,51,36412,19592,16820,,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,200 -- 499,53,16829,9066,7763,,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,LESS THAN 200,32,3790,2107,1683,,Rural Localities
DERA BUGTI,DISTRICT,DERA BUGTI,RURAL,UN-INHABITED,1,,,,,Rural Localities
DUKI,DISTRICT,DUKI,RURAL,OVERALL,86,195261,101940,93276,45,Rural Localities
DUKI,DISTRICT,DUKI,RURAL,"5,000 AND ABOVE",5,104011,54939,49069,3,Rural Localities
DUKI,DISTRICT,DUKI,RURAL,"2,000 -- 4,999",13,36601,19092,17494,15,Rural Localities
DUKI,DISTRICT,DUKI,RURAL,"1,000 -- 1,999",22,33066,16924,16139,3,Rural Localities
DUKI,DISTRICT,DUKI,RURAL,500 -- 999,19,13720,6782,6916,22,Rural Localities
DUKI,DISTRICT,DUKI,RURAL,200 -- 499,22,7506,4008,3496,2,Rural Localities
DUKI,DISTRICT,DUKI,RURAL,LESS THAN 200,4,357,195,162,,Rural Localities
DUKI,DISTRICT,DUKI,RURAL,UN-INHABITED,1,,,,,Rural Localities
GWADAR,DISTRICT,GWADAR,RURAL,OVERALL,88,146125,76472,69639,14,Rural Localities
GWADAR,DISTRICT,GWADAR,RURAL,"5,000 AND ABOVE",4,52407,27788,24611,8,Rural Localities
GWADAR,DISTRICT,GWADAR,RURAL,"2,000 -- 4,999",14,46672,24149,22518,5,Rural Localities
GWADAR,DISTRICT,GWADAR,RURAL,"1,000 -- 1,999",17,24044,12555,11488,1,Rural Localities
GWADAR,DISTRICT,GWADAR,RURAL,500 -- 999,22,16225,8499,7726,,Rural Localities
GWADAR,DISTRICT,GWADAR,RURAL,200 -- 499,17,5799,2979,2820,,Rural Localities
GWADAR,DISTRICT,GWADAR,RURAL,LESS THAN 200,12,978,502,476,,Rural Localities
GWADAR,DISTRICT,GWADAR,RURAL,UN-INHABITED,2,,,,,Rural Localities
HARNAI,DISTRICT,HARNAI,RURAL,OVERALL,89,94138,48654,45481,3,Rural Localities
HARNAI,DISTRICT,HARNAI,RURAL,"5,000 AND ABOVE",3,18652,9346,9306,,Rural Localities
HARNAI,DISTRICT,HARNAI,RURAL,"2,000 -- 4,999",6,19133,9556,9577,,Rural Localities
HARNAI,DISTRICT,HARNAI,RURAL,"1,000 -- 1,999",22,30434,16130,14301,3,Rural Localities
HARNAI,DISTRICT,HARNAI,RURAL,500 -- 999,22,16046,8513,7533,,Rural Localities
HARNAI,DISTRICT,HARNAI,RURAL,200 -- 499,26,8994,4658,4336,,Rural Localities
HARNAI,DISTRICT,HARNAI,RURAL,LESS THAN 200,10,879,451,428,,Rural Localities
HARNAI,DISTRICT,HARNAI,RURAL,UN-INHABITED,,,,,,Rural Localities
JAFFARABAD,DISTRICT,JAFFARABAD,RURAL,OVERALL,184,431165,218419,212743,3,Rural Localities
