name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,OVERALL,348,1086757,544465,542269,23,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,"5,000 AND ABOVE",62,675763,339680,336063,20,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,"2,000 -- 4,999",80,246522,122584,123935,3,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,"1,000 -- 1,999",63,93170,46422,46748,,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,500 -- 999,75,53196,26699,26497,,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,200 -- 499,46,16190,8046,8144,,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,LESS THAN 200,22,1916,1034,882,,Rural Localities
ABBOTTABAD,DISTRICT,ABBOTTABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
BAJAUR,DISTRICT,BAJAUR,RURAL,OVERALL,603,1287960,650798,637147,15,Rural Localities
BAJAUR,DISTRICT,BAJAUR,RURAL,"5,000 AND ABOVE",54,400335,202242,198089,4,Rural Localities
BAJAUR,DISTRICT,BAJAUR,RURAL,"2,000 -- 4,999",174,536992,272067,264922,3,Rural Localities
BAJAUR,DISTRICT,BAJAUR,RURAL,"1,000 -- 1,999",157,228383,114965,113413,5,Rural Localities
BAJAUR,DISTRICT,BAJAUR,RURAL,500 -- 999,125,92529,46523,46004,2,Rural Localities
BAJAUR,DISTRICT,BAJAUR,RURAL,200 -- 499,70,26878,13558,13319,1,Rural Localities
BAJAUR,DISTRICT,BAJAUR,RURAL,LESS THAN 200,21,2843,1443,1400,,Rural Localities
BAJAUR,DISTRICT,BAJAUR,RURAL,UN-INHABITED,2,,,,,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,OVERALL,388,1309492,680031,629449,12,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,"5,000 AND ABOVE",77,967779,503531,464238,10,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,"2,000 -- 4,999",70,218866,112715,106149,2,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,"1,000 -- 1,999",47,68967,35835,33132,,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,500 -- 999,38,27615,14319,13296,,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,200 -- 499,58,18161,9368,8793,,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,LESS THAN 200,95,8104,4263,3841,,Rural Localities
BANNU,DISTRICT,BANNU,RURAL,UN-INHABITED,3,,,,,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,OVERALL,104,554133,281298,272825,10,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,"5,000 AND ABOVE",41,330029,167181,162840,8,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,"2,000 -- 4,999",58,217471,110806,106663,2,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,"1,000 -- 1,999",4,5720,2872,2848,,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,500 -- 999,1,913,439,474,,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,200 -- 499,,,,,,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,LESS THAN 200,,,,,,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,UN-INHABITED,,,,,,Rural Localities
BUNER,DISTRICT,BUNER,RURAL,OVERALL,167,1016869,508172,508669,28,Rural Localities
BUNER,DISTRICT,BUNER,RURAL,"5,000 AND ABOVE",53,729801,364104,365672,25,Rural Localities
BUNER,DISTRICT,BUNER,RURAL,"2,000 -- 4,999",66,227359,113825,113532,2,Rural Localities
BUNER,DISTRICT,BUNER,RURAL,"1,000 -- 1,999",33,50295,25485,24809,1,Rural Localities
BUNER,DISTRICT,BUNER,RURAL,500 -- 999,10,7496,3785,3711,,Rural Localities
BUNER,DISTRICT,BUNER,RURAL,200 -- 499,5,1918,973,945,,Rural Localities
BUNER,DISTRICT,BUNER,RURAL,LESS THAN 200,,,,,,Rural Localities
BUNER,DISTRICT,BUNER,RURAL,UN-INHABITED,,,,,,Rural Localities
