name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
ATTOCK,DISTRICT,ATTOCK,RURAL,OVERALL,435,1546439,775779,770642,18,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,"5,000 AND ABOVE",103,898674,451237,447426,11,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,"2,000 -- 4,999",154,483725,242160,241558,7,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,"1,000 -- 1,999",88,127391,63783,63608,,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,500 -- 999,37,27617,13983,13634,,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,200 -- 499,21,7201,3638,3563,,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,LESS THAN 200,22,1831,978,853,,Rural Localities
ATTOCK,DISTRICT,ATTOCK,RURAL,UN-INHABITED,10,,,,,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,OVERALL,1149,2576224,1339315,1236809,100,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,"5,000 AND ABOVE",89,679390,353929,325412,49,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,"2,000 -- 4,999",413,1262671,655242,607391,38,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,"1,000 -- 1,999",327,499488,259363,240114,11,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,500 -- 999,140,105706,55293,50411,2,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,200 -- 499,65,22283,11774,10509,,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,LESS THAN 200,102,6686,3714,2972,,Rural Localities
BAHAWALNAGAR,DISTRICT,BAHAWALNAGAR,RURAL,UN-INHABITED,13,,,,,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,OVERALL,1168,2665643,1351661,1313845,137,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,"5,000 AND ABOVE",181,1483726,752502,731146,78,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,"2,000 -- 4,999",263,831481,420384,411044,53,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,"1,000 -- 1,999",172,259948,131679,128263,6,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,500 -- 999,79,58795,30129,28666,,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,200 -- 499,62,20481,10690,9791,,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,LESS THAN 200,202,11212,6277,4935,,Rural Localities
BAHAWALPUR,DISTRICT,BAHAWALPUR,RURAL,UN-INHABITED,209,,,,,Rural Localities
BHAKKAR,DISTRICT,BHAKKAR,RURAL,OVERALL,574,1605036,833202,771798,36,Rural Localities
BHAKKAR,DISTRICT,BHAKKAR,RURAL,"5,000 AND ABOVE",94,815413,423729,391662,22,Rural Localities
BHAKKAR,DISTRICT,BHAKKAR,RURAL,"2,000 -- 4,999",155,485191,251008,234171,12,Rural Localities
BHAKKAR,DISTRICT,BHAKKAR,RURAL,"1,000 -- 1,999",148,222516,115406,107109,1,Rural Localities
BHAKKAR,DISTRICT,BHAKKAR,RURAL,500 -- 999,82,61436,32153,29283,,Rural Localities
BHAKKAR,DISTRICT,BHAKKAR,RURAL,200 -- 499,46,16454,8720,7733,1,Rural Localities
BHAKKAR,DISTRICT,BHAKKAR,RURAL,LESS THAN 200,47,4026,2186,1840,,Rural Localities
BHAKKAR,DISTRICT,BHAKKAR,RURAL,UN-INHABITED,2,,,,,Rural Localities
CHAKWAL,DISTRICT,CHAKWAL,RURAL,OVERALL,420,1300049,645153,654881,15,Rural Localities
CHAKWAL,DISTRICT,CHAKWAL,RURAL,"5,000 AND ABOVE",76,678835,338653,340177,5,Rural Localities
CHAKWAL,DISTRICT,CHAKWAL,RURAL,"2,000 -- 4,999",137,437782,215968,221811,3,Rural Localities
CHAKWAL,DISTRICT,CHAKWAL,RURAL,"1,000 -- 1,999",90,132560,64868,67690,2,Rural Localities
CHAKWAL,DISTRICT,CHAKWAL,RURAL,500 -- 999,54,39977,19883,20094,,Rural Localities
CHAKWAL,DISTRICT,CHAKWAL,RURAL,200 -- 499,25,9167,4748,4414,5,Rural Localities
CHAKWAL,DISTRICT,CHAKWAL,RURAL,LESS THAN 200,21,1728,1033,695,,Rural Localities
CHAKWAL,DISTRICT,CHAKWAL,RURAL,UN-INHABITED,17,,,,,Rural Localities
CHINIOT,DISTRICT,CHINIOT,RURAL,OVERALL,353,1071352,542708,528595,49,Rural Localities
CHINIOT,DISTRICT,CHINIOT,RURAL,"5,000 AND ABOVE",65,500533,253452,247056,25,Rural Localities
CHINIOT,DISTRICT,CHINIOT,RURAL,"2,000 -- 4,999",122,415281,210144,205119,18,Rural Localities
CHINIOT,DISTRICT,CHINIOT,RURAL,"1,000 -- 1,999",76,110795,56398,54391,6,Rural Localities
CHINIOT,DISTRICT,CHINIOT,RURAL,500 -- 999,44,33266,16829,16437,,Rural Localities
CHINIOT,DISTRICT,CHINIOT,RURAL,200 -- 499,30,10206,5225,4981,,Rural Localities
CHINIOT,DISTRICT,CHINIOT,RURAL,LESS THAN 200,14,1271,660,611,,Rural Localities
