name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
BADIN,DISTRICT,BADIN,RURAL,OVERALL,465,1517232,790028,727169,35,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,"5,000 AND ABOVE",68,455140,237284,217847,9,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,"2,000 -- 4,999",287,912910,474872,438014,24,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,"1,000 -- 1,999",91,138011,71987,66023,1,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,500 -- 999,12,9493,4991,4501,1,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,200 -- 499,5,1485,802,683,,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,LESS THAN 200,1,193,92,101,,Rural Localities
BADIN,DISTRICT,BADIN,RURAL,UN-INHABITED,1,,,,,Rural Localities
DADU,DISTRICT,DADU,RURAL,OVERALL,353,1303286,662867,640382,37,Rural Localities
DADU,DISTRICT,DADU,RURAL,"5,000 AND ABOVE",103,813116,411973,401111,32,Rural Localities
DADU,DISTRICT,DADU,RURAL,"2,000 -- 4,999",110,373101,190559,182539,3,Rural Localities
DADU,DISTRICT,DADU,RURAL,"1,000 -- 1,999",47,68206,35120,33085,1,Rural Localities
DADU,DISTRICT,DADU,RURAL,500 -- 999,46,36022,18470,17552,,Rural Localities
DADU,DISTRICT,DADU,RURAL,200 -- 499,31,11148,5802,5346,,Rural Localities
DADU,DISTRICT,DADU,RURAL,LESS THAN 200,16,1693,943,749,1,Rural Localities
DADU,DISTRICT,DADU,RURAL,UN-INHABITED,,,,,,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,OVERALL,274,1393227,723551,669653,23,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,"5,000 AND ABOVE",111,907278,471426,435834,18,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,"2,000 -- 4,999",127,437954,227194,210755,5,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,"1,000 -- 1,999",28,41924,21801,20123,,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,500 -- 999,7,5743,2962,2781,,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,200 -- 499,1,328,168,160,,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,LESS THAN 200,,,,,,Rural Localities
GHOTKI,DISTRICT,GHOTKI,RURAL,UN-INHABITED,,,,,,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,OVERALL,60,410161,216720,193434,7,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,"5,000 AND ABOVE",38,339434,179527,159903,4,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,"2,000 -- 4,999",19,68562,35995,32564,3,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,"1,000 -- 1,999",1,1391,775,616,,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,500 -- 999,1,633,336,297,,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,200 -- 499,,,,,,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,LESS THAN 200,1,141,87,54,,Rural Localities
HYDERABAD,DISTRICT,HYDERABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,OVERALL,208,812180,411783,400369,28,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,"5,000 AND ABOVE",44,375827,191574,184240,13,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,"2,000 -- 4,999",107,358419,180481,177932,6,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,"1,000 -- 1,999",44,68946,35167,33771,8,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,500 -- 999,9,7114,3634,3479,1,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,200 -- 499,4,1874,927,947,,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,LESS THAN 200,,,,,,Rural Localities
JACOBABAD,DISTRICT,JACOBABAD,RURAL,UN-INHABITED,,,,,,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,OVERALL,171,595562,309656,285897,9,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,"5,000 AND ABOVE",42,376273,195495,180772,6,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,"2,000 -- 4,999",41,134761,69764,64995,2,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,"1,000 -- 1,999",42,64725,33990,30735,,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,500 -- 999,13,10474,5505,4969,,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,200 -- 499,22,7965,4163,3801,1,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,LESS THAN 200,11,1364,739,625,,Rural Localities
JAMSHORO,DISTRICT,JAMSHORO,RURAL,UN-INHABITED,,,,,,Rural Localities
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,RURAL,OVERALL,267,1093004,571677,521312,15,Rural Localities
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,RURAL,"5,000 AND ABOVE",87,647162,338659,308495,8,Rural Localities
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,RURAL,"2,000 -- 4,999",103,353822,184703,169114,5,Rural Localities
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,RURAL,"1,000 -- 1,999",48,74058,38841,35216,1,Rural Localities
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,RURAL,500 -- 999,19,15666,8259,7406,1,Rural Localities
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,RURAL,200 -- 499,3,1467,774,693,,Rural Localities
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,RURAL,LESS THAN 200,7,829,441,388,,Rural Localities
KAMBAR SHAHDAD KOT,DISTRICT,KAMBAR SHAHDAD KOT,RURAL,UN-INHABITED,,,,,,Rural Localities
KARACHI WEST,DISTRICT,KARACHI WEST,RURAL,OVERALL,6,248952,132585,116360,7,Rural Localities
KARACHI WEST,DISTRICT,KARACHI WEST,RURAL,"5,000 AND ABOVE",4,244394,129990,114397,7,Rural Localities
KARACHI WEST,DISTRICT,KARACHI WEST,RURAL,"2,000 -- 4,999",1,4184,2381,1803,,Rural Localities
KARACHI WEST,DISTRICT,KARACHI WEST,RURAL,"1,000 -- 1,999",,,,,,Rural Localities
KARACHI WEST,DISTRICT,KARACHI WEST,RURAL,500 -- 999,,,,,,Rural Localities
KARACHI WEST,DISTRICT,KARACHI WEST,RURAL,200 -- 499,1,374,214,160,,Rural Localities
KARACHI WEST,DISTRICT,KARACHI WEST,RURAL,LESS THAN 200,,,,,,Rural Localities
KARACHI WEST,DISTRICT,KARACHI WEST,RURAL,UN-INHABITED,,,,,,Rural Localities
KASHMORE,DISTRICT,KASHMORE,RURAL,OVERALL,147,962175,492641,469512,22,Rural Localities
KASHMORE,DISTRICT,KASHMORE,RURAL,"5,000 AND ABOVE",95,804630,413807,390807,16,Rural Localities
KASHMORE,DISTRICT,KASHMORE,RURAL,"2,000 -- 4,999",42,147410,73778,73626,6,Rural Localities
KASHMORE,DISTRICT,KASHMORE,RURAL,"1,000 -- 1,999",5,7214,3591,3623,,Rural Localities
KASHMORE,DISTRICT,KASHMORE,RURAL,500 -- 999,3,2778,1390,1388,,Rural Localities
KASHMORE,DISTRICT,KASHMORE,RURAL,200 -- 499,,,,,,Rural Localities
KASHMORE,DISTRICT,KASHMORE,RURAL,LESS THAN 200,2,143,75,68,,Rural Localities
KASHMORE,DISTRICT,KASHMORE,RURAL,UN-INHABITED,,,,,,Rural Localities
KHAIRPUR,DISTRICT,KHAIRPUR,RURAL,OVERALL,355,1753272,889075,864154,43,Rural Localities
KHAIRPUR,DISTRICT,KHAIRPUR,RURAL,"5,000 AND ABOVE",155,1266959,641297,625627,35,Rural Localities
KHAIRPUR,DISTRICT,KHAIRPUR,RURAL,"2,000 -- 4,999",115,407302,206734,200560,8,Rural Localities
KHAIRPUR,DISTRICT,KHAIRPUR,RURAL,"1,000 -- 1,999",35,52013,26694,25319,,Rural Localities
KHAIRPUR,DISTRICT,KHAIRPUR,RURAL,500 -- 999,27,18874,9973,8901,,Rural Localities
KHAIRPUR,DISTRICT,KHAIRPUR,RURAL,200 -- 499,18,7584,4088,3496,,Rural Localities
KHAIRPUR,DISTRICT,KHAIRPUR,RURAL,LESS THAN 200,4,540,289,251,,Rural Localities
KHAIRPUR,DISTRICT,KHAIRPUR,RURAL,UN-INHABITED,1,,,,,Rural Localities
LARKANA,DISTRICT,LARKANA,RURAL,OVERALL,181,986302,514138,472135,29,Rural Localities
LARKANA,DISTRICT,LARKANA,RURAL,"5,000 AND ABOVE",79,705866,367747,338106,13,Rural Localities
LARKANA,DISTRICT,LARKANA,RURAL,"2,000 -- 4,999",69,244941,127747,117179,15,Rural Localities
LARKANA,DISTRICT,LARKANA,RURAL,"1,000 -- 1,999",20,27961,14692,13268,1,Rural Localities
LARKANA,DISTRICT,LARKANA,RURAL,500 -- 999,8,5997,3146,2851,,Rural Localities
LARKANA,DISTRICT,LARKANA,RURAL,200 -- 499,3,1158,606,552,,Rural Localities
LARKANA,DISTRICT,LARKANA,RURAL,LESS THAN 200,2,379,200,179,,Rural Localities
LARKANA,DISTRICT,LARKANA,RURAL,UN-INHABITED,,,,,,Rural Localities
MALIR,DISTRICT,MALIR,RURAL,OVERALL,57,1265908,674145,591649,114,Rural Localities
MALIR,DISTRICT,MALIR,RURAL,"5,000 AND ABOVE",28,1216498,647749,568636,113,Rural Localities
MALIR,DISTRICT,MALIR,RURAL,"2,000 -- 4,999",10,32192,17334,14857,1,Rural Localities
MALIR,DISTRICT,MALIR,RURAL,"1,000 -- 1,999",8,11304,5923,5381,,Rural Localities
MALIR,DISTRICT,MALIR,RURAL,500 -- 999,6,4795,2530,2265,,Rural Localities
MALIR,DISTRICT,MALIR,RURAL,200 -- 499,2,811,429,382,,Rural Localities
MALIR,DISTRICT,MALIR,RURAL,LESS THAN 200,3,308,180,128,,Rural Localities
MALIR,DISTRICT,MALIR,RURAL,UN-INHABITED,,,,,,Rural Localities
MATIARI,DISTRICT,MATIARI,RURAL,OVERALL,107,646710,327876,318825,9,Rural Localities
MATIARI,DISTRICT,MATIARI,RURAL,"5,000 AND ABOVE",66,536501,271924,264569,8,Rural Localities
MATIARI,DISTRICT,MATIARI,RURAL,"2,000 -- 4,999",28,100787,51021,49765,1,Rural Localities
MATIARI,DISTRICT,MATIARI,RURAL,"1,000 -- 1,999",4,5216,2698,2518,,Rural Localities
MATIARI,DISTRICT,MATIARI,RURAL,500 -- 999,4,2987,1599,1388,,Rural Localities
MATIARI,DISTRICT,MATIARI,RURAL,200 -- 499,4,1163,608,555,,Rural Localities
MATIARI,DISTRICT,MATIARI,RURAL,LESS THAN 200,1,56,26,30,,Rural Localities
MATIARI,DISTRICT,MATIARI,RURAL,UN-INHABITED,,,,,,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,OVERALL,404,1189211,623980,565211,20,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,"5,000 AND ABOVE",47,347164,182000,165159,5,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,"2,000 -- 4,999",205,634332,333131,301193,8,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,"1,000 -- 1,999",118,181526,94900,86620,6,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,500 -- 999,32,25897,13798,12098,1,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,200 -- 499,1,292,151,141,,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,LESS THAN 200,,,,,,Rural Localities
MIRPUR KHAS,DISTRICT,MIRPUR KHAS,RURAL,UN-INHABITED,1,,,,,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,OVERALL,220,1269838,645506,624301,31,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,"5,000 AND ABOVE",112,1009678,512323,497329,26,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,"2,000 -- 4,999",61,220062,112363,107695,4,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,"1,000 -- 1,999",19,28569,14740,13828,1,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,500 -- 999,10,7409,3878,3531,,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,200 -- 499,11,3493,1849,1644,,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,LESS THAN 200,6,627,353,274,,Rural Localities
NAUSHAHRO FEROZE,DISTRICT,NAUSHAHRO FEROZE,RURAL,UN-INHABITED,1,,,,,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,OVERALL,346,1677683,853652,823997,34,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,"5,000 AND ABOVE",126,1117251,567403,549826,22,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,"2,000 -- 4,999",139,454601,231981,222611,9,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,"1,000 -- 1,999",58,90194,46124,44068,2,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,500 -- 999,19,14285,7419,6865,1,Rural Localities
SANGHAR,DISTRICT,SANGHAR,RURAL,200 -- 499,4,1352,725,627,,Rural Localities
