name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
AWARAN,AWARAN,DISTRICT,ALL AGES,178958,91623,87318,17,132122,67516,64594,12,46836,24107,22724,5
AWARAN,AWARAN,DISTRICT,UNDER 1,3399,1810,1589,,2362,1251,1111,,1037,559,478,
AWARAN,AWARAN,DISTRICT,UNDER 5,31481,16018,15463,,23171,11726,11445,,8310,4292,4018,
AWARAN,AWARAN,DISTRICT,UNDER 10,62549,31824,30725,,46573,23579,22994,,15976,8245,7731,
AWARAN,AWARAN,DISTRICT,UNDER 15,88319,45046,43271,2,65875,33535,32340,,22444,11511,10931,2
AWARAN,AWARAN,DISTRICT,05 - 24,88200,45129,43064,7,65353,33293,32058,2,22847,11836,11006,5
AWARAN,AWARAN,DISTRICT,15 - 49,75924,38493,37416,15,55324,27948,27364,12,20600,10545,10052,3
AWARAN,AWARAN,DISTRICT,15 - 64,86319,44161,42143,15,63145,32235,30898,12,23174,11926,11245,3
AWARAN,AWARAN,DISTRICT,18 - 60,72942,37171,35760,11,53399,27110,26279,10,19543,10061,9481,1
AWARAN,AWARAN,DISTRICT,18 &  ABOVE,78995,40620,38364,11,57791,29629,28152,10,21204,10991,10212,1
AWARAN,AWARAN,DISTRICT,60 &  ABOVE,6820,3891,2929,,4993,2867,2126,,1827,1024,803,
AWARAN,AWARAN,DISTRICT,65 &  ABOVE,4320,2416,1904,,3102,1746,1356,,1218,670,548,
BARKHAN,BARKHAN,DISTRICT,ALL AGES,210249,109624,100617,8,195824,102226,93591,7,14425,7398,7026,1
BARKHAN,BARKHAN,DISTRICT,UNDER 1,6341,3210,3131,,6017,3053,2964,,324,157,167,
BARKHAN,BARKHAN,DISTRICT,UNDER 5,43726,22653,21073,,41243,21391,19852,,2483,1262,1221,
BARKHAN,BARKHAN,DISTRICT,UNDER 10,84790,44269,40521,,79872,41744,38128,,4918,2525,2393,
BARKHAN,BARKHAN,DISTRICT,UNDER 15,114903,60522,54379,2,108135,56993,51140,2,6768,3529,3239,
BARKHAN,BARKHAN,DISTRICT,05 - 24,104439,55553,48880,6,97460,51895,45559,6,6979,3658,3321,
BARKHAN,BARKHAN,DISTRICT,15 - 49,77703,40167,37531,5,71426,36986,34436,4,6277,3181,3095,1
BARKHAN,BARKHAN,DISTRICT,15 - 64,89503,46156,43341,6,82232,42470,39757,5,7271,3686,3584,1
BARKHAN,BARKHAN,DISTRICT,18 - 60,75515,38504,37008,3,69440,35482,33956,2,6075,3022,3052,1
BARKHAN,BARKHAN,DISTRICT,18 &  ABOVE,83683,42688,40992,3,77038,39382,37654,2,6645,3306,3338,1
BARKHAN,BARKHAN,DISTRICT,60 &  ABOVE,8864,4549,4315,,8240,4238,4002,,624,311,313,
BARKHAN,BARKHAN,DISTRICT,65 &  ABOVE,5843,2946,2897,,5457,2763,2694,,386,183,203,
CHAGAI,CHAGAI,DISTRICT,ALL AGES,268611,139642,128964,5,248652,129430,119217,5,19959,10212,9747,
CHAGAI,CHAGAI,DISTRICT,UNDER 1,6843,3475,3368,,6452,3278,3174,,391,197,194,
CHAGAI,CHAGAI,DISTRICT,UNDER 5,52155,26833,25322,,49066,25242,23824,,3089,1591,1498,
CHAGAI,CHAGAI,DISTRICT,UNDER 10,101423,52316,49107,,95010,49030,45980,,6413,3286,3127,
CHAGAI,CHAGAI,DISTRICT,UNDER 15,140142,72426,67715,1,130932,67699,63232,1,9210,4727,4483,
CHAGAI,CHAGAI,DISTRICT,05 - 24,138936,71976,66956,4,128723,66802,61917,4,10213,5174,5039,
CHAGAI,CHAGAI,DISTRICT,15 - 49,110294,56843,53447,4,101099,52202,48893,4,9195,4641,4554,
CHAGAI,CHAGAI,DISTRICT,15 - 64,123152,64159,58989,4,112848,58909,53935,4,10304,5250,5054,
CHAGAI,CHAGAI,DISTRICT,18 - 60,102368,52986,49381,1,93835,48643,45191,1,8533,4343,4190,
CHAGAI,CHAGAI,DISTRICT,18 &  ABOVE,109954,57404,52549,1,100780,52711,48068,1,9174,4693,4481,
