name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
ABBOTTABAD,ABBOTTABAD,DISTRICT,ALL AGES,1397587,701906,695577,104,1086688,544434,542231,23,310899,157472,153346,81
ABBOTTABAD,ABBOTTABAD,DISTRICT,UNDER 1,23099,11589,11510,,18420,9261,9159,,4679,2328,2351,
ABBOTTABAD,ABBOTTABAD,DISTRICT,UNDER 5,166605,83764,82841,,132484,66635,65849,,34121,17129,16992,
ABBOTTABAD,ABBOTTABAD,DISTRICT,UNDER 10,334274,168044,166230,,264927,133096,131831,,69347,34948,34399,
ABBOTTABAD,ABBOTTABAD,DISTRICT,UNDER 15,493906,248462,245443,1,388646,195052,193593,1,105260,53410,51850,
ABBOTTABAD,ABBOTTABAD,DISTRICT,05 - 24,584427,294352,290040,35,452924,227369,225549,6,131503,66983,64491,29
ABBOTTABAD,ABBOTTABAD,DISTRICT,15 - 49,700234,347476,352672,86,538694,267376,271304,14,161540,80100,81368,72
ABBOTTABAD,ABBOTTABAD,DISTRICT,15 - 64,835932,417560,418272,100,643848,321122,322706,20,192084,96438,95566,80
ABBOTTABAD,ABBOTTABAD,DISTRICT,18 - 60,722521,359080,363345,96,556438,276411,280008,19,166083,82669,83337,77
ABBOTTABAD,ABBOTTABAD,DISTRICT,18 &  ABOVE,817926,410052,407775,99,632149,316244,315884,21,185777,93808,91891,78
ABBOTTABAD,ABBOTTABAD,DISTRICT,60 &  ABOVE,104322,55763,48556,3,82681,43562,39117,2,21641,12201,9439,1
ABBOTTABAD,ABBOTTABAD,DISTRICT,65 &  ABOVE,67749,35884,31862,3,54194,28260,25932,2,13555,7624,5930,1
BAJAUR,BAJAUR,DISTRICT,ALL AGES,1283113,648473,634625,15,1283113,648473,634625,15,,,,
BAJAUR,BAJAUR,DISTRICT,UNDER 1,23722,11951,11771,,23722,11951,11771,,,,,
BAJAUR,BAJAUR,DISTRICT,UNDER 5,237802,119626,118176,,237802,119626,118176,,,,,
BAJAUR,BAJAUR,DISTRICT,UNDER 10,466054,234850,231204,,466054,234850,231204,,,,,
BAJAUR,BAJAUR,DISTRICT,UNDER 15,643541,324611,318926,4,643541,324611,318926,4,,,,
BAJAUR,BAJAUR,DISTRICT,05 - 24,632771,319169,313590,12,632771,319169,313590,12,,,,
BAJAUR,BAJAUR,DISTRICT,15 - 49,535591,270963,264618,10,535591,270963,264618,10,,,,
BAJAUR,BAJAUR,DISTRICT,15 - 64,609469,307823,301635,11,609469,307823,301635,11,,,,
BAJAUR,BAJAUR,DISTRICT,18 - 60,516311,260995,255308,8,516311,260995,255308,8,,,,
BAJAUR,BAJAUR,DISTRICT,18 &  ABOVE,561139,284478,276653,8,561139,284478,276653,8,,,,
BAJAUR,BAJAUR,DISTRICT,60 &  ABOVE,49952,26207,23745,,49952,26207,23745,,,,,
BAJAUR,BAJAUR,DISTRICT,65 &  ABOVE,30103,16039,14064,,30103,16039,14064,,,,,
BANNU,BANNU,DISTRICT,ALL AGES,1354674,704556,650099,19,1306578,678638,627928,12,48096,25918,22171,7
BANNU,BANNU,DISTRICT,UNDER 1,24864,12839,12025,,24118,12458,11660,,746,381,365,
BANNU,BANNU,DISTRICT,UNDER 5,227460,117963,109497,,221801,115049,106752,,5659,2914,2745,
BANNU,BANNU,DISTRICT,UNDER 10,445307,234418,210889,,433542,228377,205165,,11765,6041,5724,
BANNU,BANNU,DISTRICT,UNDER 15,616518,327500,289016,2,598651,318066,280584,1,17867,9434,8432,1
BANNU,BANNU,DISTRICT,05 - 24,639421,339614,299798,9,616668,326942,289720,6,22753,12672,10078,3
BANNU,BANNU,DISTRICT,15 - 49,604751,304300,300436,15,579624,290649,288966,9,25127,13651,11470,6
BANNU,BANNU,DISTRICT,15 - 64,699840,354199,345624,17,671023,338524,332488,11,28817,15675,13136,6
BANNU,BANNU,DISTRICT,18 - 60,596481,297895,298572,14,571805,284692,287104,9,24676,13203,11468,5
BANNU,BANNU,DISTRICT,18 &  ABOVE,653990,331413,322563,14,627250,317036,310205,9,26740,14377,12358,5
BANNU,BANNU,DISTRICT,60 &  ABOVE,64754,37551,27203,,62374,36194,26180,,2380,1357,1023,
BANNU,BANNU,DISTRICT,65 &  ABOVE,38316,22857,15459,,36904,22048,14856,,1412,809,603,
BATAGRAM,BATAGRAM,DISTRICT,ALL AGES,553285,280893,272382,10,553285,280893,272382,10,,,,
BATAGRAM,BATAGRAM,DISTRICT,UNDER 1,11539,6067,5472,,11539,6067,5472,,,,,
BATAGRAM,BATAGRAM,DISTRICT,UNDER 5,86076,44755,41321,,86076,44755,41321,,,,,
BATAGRAM,BATAGRAM,DISTRICT,UNDER 10,176715,91666,85049,,176715,91666,85049,,,,,
BATAGRAM,BATAGRAM,DISTRICT,UNDER 15,251638,130950,120687,1,251638,130950,120687,1,,,,
BATAGRAM,BATAGRAM,DISTRICT,05 - 24,272930,140896,132030,4,272930,140896,132030,4,,,,
BATAGRAM,BATAGRAM,DISTRICT,15 - 49,244560,119950,124603,7,244560,119950,124603,7,,,,
BATAGRAM,BATAGRAM,DISTRICT,15 - 64,280995,138746,142240,9,280995,138746,142240,9,,,,
BATAGRAM,BATAGRAM,DISTRICT,18 - 60,237262,115888,121366,8,237262,115888,121366,8,,,,
BATAGRAM,BATAGRAM,DISTRICT,18 &  ABOVE,264450,130592,133850,8,264450,130592,133850,8,,,,
BATAGRAM,BATAGRAM,DISTRICT,60 &  ABOVE,29473,15970,13503,,29473,15970,13503,,,,,
BATAGRAM,BATAGRAM,DISTRICT,65 &  ABOVE,20652,11197,9455,,20652,11197,9455,,,,,
BUNER,BUNER,DISTRICT,ALL AGES,1016674,508079,508567,28,1016674,508079,508567,28,,,,
BUNER,BUNER,DISTRICT,UNDER 1,20278,10553,9725,,20278,10553,9725,,,,,
BUNER,BUNER,DISTRICT,UNDER 5,156094,80568,75526,,156094,80568,75526,,,,,
BUNER,BUNER,DISTRICT,UNDER 10,310484,160398,150086,,310484,160398,150086,,,,,
BUNER,BUNER,DISTRICT,UNDER 15,444419,230957,213461,1,444419,230957,213461,1,,,,
BUNER,BUNER,DISTRICT,05 - 24,497985,255773,242199,13,497985,255773,242199,13,,,,
BUNER,BUNER,DISTRICT,15 - 49,469673,223846,245800,27,469673,223846,245800,27,,,,
BUNER,BUNER,DISTRICT,15 - 64,535935,257338,278570,27,535935,257338,278570,27,,,,
BUNER,BUNER,DISTRICT,18 - 60,449544,212611,236910,23,449544,212611,236910,23,,,,
BUNER,BUNER,DISTRICT,18 &  ABOVE,498369,238819,259527,23,498369,238819,259527,23,,,,
BUNER,BUNER,DISTRICT,60 &  ABOVE,53318,28548,24770,,53318,28548,24770,,,,,
BUNER,BUNER,DISTRICT,65 &  ABOVE,36320,19784,16536,,36320,19784,16536,,,,,
CHARSADDA,CHARSADDA,DISTRICT,ALL AGES,1835136,950698,884419,19,1542721,798929,743776,16,292415,151769,140643,3
CHARSADDA,CHARSADDA,DISTRICT,UNDER 1,36129,18632,17497,,31004,16015,14989,,5125,2617,2508,
CHARSADDA,CHARSADDA,DISTRICT,UNDER 5,281332,144943,136389,,239639,123454,116185,,41693,21489,20204,
CHARSADDA,CHARSADDA,DISTRICT,UNDER 10,542879,280733,262146,,462363,239172,223191,,80516,41561,38955,
CHARSADDA,CHARSADDA,DISTRICT,UNDER 15,775547,402927,372617,3,659277,342614,316660,3,116270,60313,55957,
CHARSADDA,CHARSADDA,DISTRICT,05 - 24,834334,431166,403156,12,706024,364898,341114,12,128310,66268,62042,
