name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
ATTOCK,ATTOCK,DISTRICT,ALL AGES,2133005,1071693,1061231,81,1546356,775739,770599,18,586649,295954,290632,63
ATTOCK,ATTOCK,DISTRICT,UNDER 1,36042,18112,17930,,26655,13481,13174,,9387,4631,4756,
ATTOCK,ATTOCK,DISTRICT,UNDER 5,242301,121659,120642,,176066,88443,87623,,66235,33216,33019,
ATTOCK,ATTOCK,DISTRICT,UNDER 10,473463,237549,235914,,342189,171683,170506,,131274,65866,65408,
ATTOCK,ATTOCK,DISTRICT,UNDER 15,704284,353986,350297,1,505659,253890,251768,1,198625,100096,98529,
ATTOCK,ATTOCK,DISTRICT,05 - 24,838749,421934,416790,25,600830,301502,299320,8,237919,120432,117470,17
ATTOCK,ATTOCK,DISTRICT,15 - 49,1085185,538321,546791,73,782199,387552,394632,15,302986,150769,152159,58
ATTOCK,ATTOCK,DISTRICT,15 - 64,1311285,656132,655075,78,949693,474262,475415,16,361592,181870,179660,62
ATTOCK,ATTOCK,DISTRICT,18 - 60,1140222,567567,572584,71,826114,410873,415229,12,314108,156694,157355,59
ATTOCK,ATTOCK,DISTRICT,18 &  ABOVE,1304558,654717,649767,74,952003,477354,474636,13,352555,177363,175131,61
ATTOCK,ATTOCK,DISTRICT,60 &  ABOVE,178447,94363,84081,3,136384,71869,64514,1,42063,22494,19567,2
ATTOCK,ATTOCK,DISTRICT,65 &  ABOVE,117436,61575,55859,2,91004,47587,43416,1,26432,13988,12443,1
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,ALL AGES,3544911,1842888,1701653,370,2571296,1336950,1234246,100,973615,505938,467407,270
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,UNDER 1,82644,42545,40099,,62428,32064,30364,,20216,10481,9735,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,UNDER 5,492678,255505,237173,,372426,193408,179018,,120252,62097,58155,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,UNDER 10,971921,506050,465871,,730322,380606,349716,,241599,125444,116155,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,UNDER 15,1422368,750449,671905,14,1054742,555502,499229,11,367626,194947,172676,3
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,05 - 24,1564111,823528,740475,108,1130720,594490,536191,39,433391,229038,204284,69
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,15 - 49,1656708,843332,813067,309,1176647,599750,576820,77,480061,243582,236247,232
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,15 - 64,1978187,1013649,964189,349,1407922,721982,685852,88,570265,291667,278337,261
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,18 - 60,1699512,864400,834789,323,1210292,616534,593687,71,489220,247866,241102,252
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,18 &  ABOVE,1905181,976156,928692,333,1363059,699601,663386,72,542122,276555,265306,261
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,60 &  ABOVE,225309,122029,103265,15,167221,90600,76618,3,58088,31429,26647,12
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,65 &  ABOVE,144356,78790,65559,7,108632,59466,49165,1,35724,19324,16394,6
BAHAWALPUR,BAHAWALPUR,DISTRICT,ALL AGES,4264457,2165158,2098830,469,2662487,1350146,1312204,137,1601970,815012,786626,332
BAHAWALPUR,BAHAWALPUR,DISTRICT,UNDER 1,98488,49555,48933,,65236,33071,32165,,33252,16484,16768,
BAHAWALPUR,BAHAWALPUR,DISTRICT,UNDER 5,648391,327153,321238,,425688,214443,211245,,222703,112710,109993,
BAHAWALPUR,BAHAWALPUR,DISTRICT,UNDER 10,1231401,621096,610305,,810526,408308,402218,,420875,212788,208087,
BAHAWALPUR,BAHAWALPUR,DISTRICT,UNDER 15,1743712,880903,862791,18,1134011,572023,561978,10,609701,308880,300813,8
BAHAWALPUR,BAHAWALPUR,DISTRICT,05 - 24,1867130,942704,924269,157,1168874,589304,579525,45,698256,353400,344744,112
BAHAWALPUR,BAHAWALPUR,DISTRICT,15 - 49,2012350,1013130,998815,405,1212500,610455,601937,108,799850,402675,396878,297
BAHAWALPUR,BAHAWALPUR,DISTRICT,15 - 64,2365200,1200957,1163802,441,1427203,724072,703010,121,937997,476885,460792,320
BAHAWALPUR,BAHAWALPUR,DISTRICT,18 - 60,2047295,1036582,1010307,406,1233367,624817,608444,106,813928,411765,401863,300
BAHAWALPUR,BAHAWALPUR,DISTRICT,18 &  ABOVE,2270437,1156101,1113919,417,1375694,700450,675132,112,894743,455651,438787,305
BAHAWALPUR,BAHAWALPUR,DISTRICT,60 &  ABOVE,244347,130869,113462,16,155150,82487,72656,7,89197,48382,40806,9
BAHAWALPUR,BAHAWALPUR,DISTRICT,65 &  ABOVE,155545,83298,72237,10,101273,54051,47216,6,54272,29247,25021,4
BHAKKAR,BHAKKAR,DISTRICT,ALL AGES,1956971,1016124,940770,77,1604680,833033,771611,36,352291,183091,169159,41
BHAKKAR,BHAKKAR,DISTRICT,UNDER 1,74322,40225,34097,,61743,33508,28235,,12579,6717,5862,
BHAKKAR,BHAKKAR,DISTRICT,UNDER 5,350083,188537,161546,,290240,155990,134250,,59843,32547,27296,
BHAKKAR,BHAKKAR,DISTRICT,UNDER 10,593924,314658,279266,,493889,261481,232408,,100035,53177,46858,
BHAKKAR,BHAKKAR,DISTRICT,UNDER 15,810806,429024,381779,3,673154,355791,317360,3,137652,73233,64419,
BHAKKAR,BHAKKAR,DISTRICT,05 - 24,801860,416700,385136,24,661033,343482,317536,15,140827,73218,67600,9
BHAKKAR,BHAKKAR,DISTRICT,15 - 49,902627,456285,446278,64,732486,370118,362339,29,170141,86167,83939,35
BHAKKAR,BHAKKAR,DISTRICT,15 - 64,1070920,545969,524878,73,869179,442971,426175,33,201741,102998,98703,40
BHAKKAR,BHAKKAR,DISTRICT,18 - 60,923928,468016,455851,61,749521,379710,369785,26,174407,88306,86066,35
