name_admin_unit,part_of_district,admin_unit,sex___age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
BADIN,BADIN,DISTRICT,ALL AGES,1945417,1012056,933287,74,1516567,789709,726823,35,428850,222347,206464,39
BADIN,BADIN,DISTRICT,UNDER 1,38928,20080,18848,,30296,15620,14676,,8632,4460,4172,
BADIN,BADIN,DISTRICT,UNDER 5,310864,160091,150773,,249940,128708,121232,,60924,31383,29541,
BADIN,BADIN,DISTRICT,UNDER 10,625549,325280,300269,,502289,261435,240854,,123260,63845,59415,
BADIN,BADIN,DISTRICT,UNDER 15,855785,448254,407521,10,683230,358724,324496,10,172555,89530,83025,
BADIN,BADIN,DISTRICT,05 - 24,888152,466010,422117,25,697188,366957,330208,23,190964,99053,91909,2
BADIN,BADIN,DISTRICT,15 - 49,893428,460769,432615,44,683432,352409,331005,18,209996,108360,101610,26
BADIN,BADIN,DISTRICT,15 - 64,1030584,533981,496546,57,787426,407748,379657,21,243158,126233,116889,36
BADIN,BADIN,DISTRICT,18 - 60,897565,462125,435395,45,686042,352644,333388,10,211523,109481,102007,35
BADIN,BADIN,DISTRICT,18 &  ABOVE,980307,503716,476539,52,749913,384747,365152,14,230394,118969,111387,38
BADIN,BADIN,DISTRICT,60 &  ABOVE,90132,45850,44271,11,69513,35354,34154,5,20619,10496,10117,6
BADIN,BADIN,DISTRICT,65 &  ABOVE,59048,29821,29220,7,45911,23237,22670,4,13137,6584,6550,3
DADU,DADU,DISTRICT,ALL AGES,1742307,883787,858434,86,1303286,662867,640382,37,439021,220920,218052,49
DADU,DADU,DISTRICT,UNDER 1,27458,13876,13582,,20279,10252,10027,,7179,3624,3555,
DADU,DADU,DISTRICT,UNDER 5,273919,137720,136199,,210516,105669,104847,,63403,32051,31352,
DADU,DADU,DISTRICT,UNDER 10,543260,273544,269716,,417836,210242,207594,,125424,63302,62122,
DADU,DADU,DISTRICT,UNDER 15,758729,382647,376076,6,581611,293584,288022,5,177118,89063,88054,1
DADU,DADU,DISTRICT,05 - 24,827396,418195,409163,38,624091,316858,307212,21,203305,101337,101951,17
DADU,DADU,DISTRICT,15 - 49,801421,406396,394957,68,586727,299184,287516,27,214694,107212,107441,41
DADU,DADU,DISTRICT,15 - 64,930411,474405,455929,77,681569,348974,332563,32,248842,125431,123366,45
DADU,DADU,DISTRICT,18 - 60,793073,403701,389306,66,580131,296479,283627,25,212942,107222,105679,41
DADU,DADU,DISTRICT,18 &  ABOVE,870166,442631,427466,69,638031,325819,312187,25,232135,116812,115279,44
DADU,DADU,DISTRICT,60 &  ABOVE,84117,42818,41296,3,63072,32220,30852,,21045,10598,10444,3
DADU,DADU,DISTRICT,65 &  ABOVE,53167,26735,26429,3,40106,20309,19797,,13061,6426,6632,3
GHOTKI,GHOTKI,DISTRICT,ALL AGES,1760761,914642,846072,47,1381388,717869,663496,23,379373,196773,182576,24
GHOTKI,GHOTKI,DISTRICT,UNDER 1,30688,15868,14820,,24195,12405,11790,,6493,3463,3030,
GHOTKI,GHOTKI,DISTRICT,UNDER 5,279624,143302,136322,,227223,116078,111145,,52401,27224,25177,
GHOTKI,GHOTKI,DISTRICT,UNDER 10,564246,292467,271779,,458679,237407,221272,,105567,55060,50507,
GHOTKI,GHOTKI,DISTRICT,UNDER 15,778710,406396,372309,5,628885,328135,300745,5,149825,78261,71564,
GHOTKI,GHOTKI,DISTRICT,05 - 24,846024,444435,401571,18,669957,352665,317277,15,176067,91770,84294,3
GHOTKI,GHOTKI,DISTRICT,15 - 49,817276,422041,395199,36,625945,323563,302365,17,191331,98478,92834,19
GHOTKI,GHOTKI,DISTRICT,15 - 64,934075,484193,449841,41,714836,370650,344169,17,219239,113543,105672,24
GHOTKI,GHOTKI,DISTRICT,18 - 60,804138,414593,389513,32,614995,316946,298039,10,189143,97647,91474,22
GHOTKI,GHOTKI,DISTRICT,18 &  ABOVE,871289,448507,422747,35,667267,343501,323755,11,204022,105006,98992,24
GHOTKI,GHOTKI,DISTRICT,60 &  ABOVE,74145,37776,36366,3,57743,29586,28156,1,16402,8190,8210,2
GHOTKI,GHOTKI,DISTRICT,65 &  ABOVE,47976,24053,23922,1,37667,19084,18582,1,10309,4969,5340,
HYDERABAD,HYDERABAD,DISTRICT,ALL AGES,2432540,1289277,1143092,171,410161,216718,193436,7,2022379,1072559,949656,164
HYDERABAD,HYDERABAD,DISTRICT,UNDER 1,51873,26997,24876,,8662,4645,4017,,43211,22352,20859,
HYDERABAD,HYDERABAD,DISTRICT,UNDER 5,378448,201214,177234,,67900,36223,31677,,310548,164991,145557,
HYDERABAD,HYDERABAD,DISTRICT,UNDER 10,658813,346838,311975,,127691,67982,59709,,531122,278856,252266,
HYDERABAD,HYDERABAD,DISTRICT,UNDER 15,916127,486354,429767,6,175219,93872,81346,1,740908,392482,348421,5
HYDERABAD,HYDERABAD,DISTRICT,05 - 24,982523,520801,461663,59,181977,96984,84987,6,800546,423817,376676,53
