name_admin_unit,admin_unit,age_group,marital_status,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ISLAMABAD,DISTRICT,15 &  ABOVE,DIVORCED,4108,3021,1087,,2229,1618,611,,1879,1403,476,
ISLAMABAD,DISTRICT,15 &  ABOVE,MARRIED,1010012,489967,520045,,551818,271796,280022,,458194,218171,240023,
ISLAMABAD,DISTRICT,15 &  ABOVE,NEVER MARRIED,486220,194193,291762,265,253875,101905,151921,49,232345,92288,139841,216
ISLAMABAD,DISTRICT,15 &  ABOVE,SEPERATION,1369,781,588,,786,465,321,,583,316,267,
ISLAMABAD,DISTRICT,15 &  ABOVE,WIDOWED,44414,34710,9704,,25512,19911,5601,,18902,14799,4103,
ISLAMABAD,DISTRICT,15 - 19,DIVORCED,35,27,8,,24,19,5,,11,8,3,
ISLAMABAD,DISTRICT,15 - 19,MARRIED,10225,7689,2536,,5511,4226,1285,,4714,3463,1251,
ISLAMABAD,DISTRICT,15 - 19,NEVER MARRIED,210494,92635,117844,15,112363,50172,62187,4,98131,42463,55657,11
ISLAMABAD,DISTRICT,15 - 19,SEPERATION,27,20,7,,12,9,3,,15,11,4,
ISLAMABAD,DISTRICT,15 - 19,WIDOWED,25,14,11,,15,8,7,,10,6,4,
ISLAMABAD,DISTRICT,20 - 24,DIVORCED,151,128,23,,87,76,11,,64,52,12,
ISLAMABAD,DISTRICT,20 - 24,MARRIED,53694,37055,16639,,29604,20951,8653,,24090,16104,7986,
ISLAMABAD,DISTRICT,20 - 24,NEVER MARRIED,147781,56852,90910,19,76996,29789,47200,7,70785,27063,43710,12
ISLAMABAD,DISTRICT,20 - 24,SEPERATION,52,33,19,,29,20,9,,23,13,10,
ISLAMABAD,DISTRICT,20 - 24,WIDOWED,125,80,45,,70,43,27,,55,37,18,
ISLAMABAD,DISTRICT,25 - 29,DIVORCED,430,337,93,,262,202,60,,168,135,33,
ISLAMABAD,DISTRICT,25 - 29,MARRIED,113580,66445,47135,,63849,38172,25677,,49731,28273,21458,
ISLAMABAD,DISTRICT,25 - 29,NEVER MARRIED,77001,25453,51499,49,39298,12921,26366,11,37703,12532,25133,38
ISLAMABAD,DISTRICT,25 - 29,SEPERATION,123,69,54,,83,48,35,,40,21,19,
ISLAMABAD,DISTRICT,25 - 29,WIDOWED,339,253,86,,193,146,47,,146,107,39,
ISLAMABAD,DISTRICT,30 - 34,DIVORCED,681,493,188,,399,286,113,,282,207,75,
ISLAMABAD,DISTRICT,30 - 34,MARRIED,149094,77667,71427,,83591,43979,39612,,65503,33688,31815,
ISLAMABAD,DISTRICT,30 - 34,NEVER MARRIED,27105,9274,17749,82,13574,4473,9097,4,13531,4801,8652,78
ISLAMABAD,DISTRICT,30 - 34,SEPERATION,187,99,88,,118,60,58,,69,39,30,
ISLAMABAD,DISTRICT,30 - 34,WIDOWED,685,498,187,,404,295,109,,281,203,78,
ISLAMABAD,DISTRICT,35 - 39,DIVORCED,744,525,219,,402,277,125,,342,248,94,
ISLAMABAD,DISTRICT,35 - 39,MARRIED,152330,75075,77255,,84353,42125,42228,,67977,32950,35027,
ISLAMABAD,DISTRICT,35 - 39,NEVER MARRIED,11197,4131,7010,56,5604,1937,3653,14,5593,2194,3357,42
ISLAMABAD,DISTRICT,35 - 39,SEPERATION,245,130,115,,152,85,67,,93,45,48,
ISLAMABAD,DISTRICT,35 - 39,WIDOWED,1166,914,252,,655,524,131,,511,390,121,
ISLAMABAD,DISTRICT,40 - 44,DIVORCED,678,505,173,,347,251,96,,331,254,77,
ISLAMABAD,DISTRICT,40 - 44,MARRIED,138001,64214,73787,,74930,35006,39924,,63071,29208,33863,
ISLAMABAD,DISTRICT,40 - 44,NEVER MARRIED,5294,2176,3099,19,2619,1016,1601,2,2675,1160,1498,17
ISLAMABAD,DISTRICT,40 - 44,SEPERATION,204,117,87,,117,67,50,,87,50,37,
ISLAMABAD,DISTRICT,40 - 44,WIDOWED,2150,1792,358,,1249,1036,213,,901,756,145,
ISLAMABAD,DISTRICT,45 - 49,DIVORCED,489,364,125,,253,194,59,,236,170,66,
ISLAMABAD,DISTRICT,45 - 49,MARRIED,107965,48590,59375,,57409,26083,31326,,50556,22507,28049,
ISLAMABAD,DISTRICT,45 - 49,NEVER MARRIED,2911,1247,1653,11,1431,570,858,3,1480,677,795,8
ISLAMABAD,DISTRICT,45 - 49,SEPERATION,142,98,44,,78,57,21,,64,41,23,
ISLAMABAD,DISTRICT,45 - 49,WIDOWED,2784,2414,370,,1646,1447,199,,1138,967,171,
ISLAMABAD,DISTRICT,50 - 54,DIVORCED,357,264,93,,178,132,46,,179,132,47,
ISLAMABAD,DISTRICT,50 - 54,MARRIED,88012,38486,49526,,46690,20873,25817,,41322,17613,23709,
ISLAMABAD,DISTRICT,50 - 54,NEVER MARRIED,1680,807,865,8,754,329,422,3,926,478,443,5
ISLAMABAD,DISTRICT,50 - 54,SEPERATION,123,68,55,,57,33,24,,66,35,31,
ISLAMABAD,DISTRICT,50 - 54,WIDOWED,4477,3852,625,,2629,2250,379,,1848,1602,246,
ISLAMABAD,DISTRICT,55 - 59,DIVORCED,210,147,63,,113,74,39,,97,73,24,
ISLAMABAD,DISTRICT,55 - 59,MARRIED,68545,28713,39832,,36162,15696,20466,,32383,13017,19366,
ISLAMABAD,DISTRICT,55 - 59,NEVER MARRIED,1032,538,491,3,448,215,232,1,584,323,259,2
ISLAMABAD,DISTRICT,55 - 59,SEPERATION,98,59,39,,51,33,18,,47,26,21,
ISLAMABAD,DISTRICT,55 - 59,WIDOWED,4962,4149,813,,2898,2438,460,,2064,1711,353,
ISLAMABAD,DISTRICT,60 - 64,DIVORCED,138,95,43,,75,50,25,,63,45,18,
ISLAMABAD,DISTRICT,60 - 64,MARRIED,52747,20947,31800,,29101,11553,17548,,23646,9394,14252,
ISLAMABAD,DISTRICT,60 - 64,NEVER MARRIED,708,435,270,3,335,207,128,,373,228,142,3
ISLAMABAD,DISTRICT,60 - 64,SEPERATION,74,41,33,,37,24,13,,37,17,20,
ISLAMABAD,DISTRICT,60 - 64,WIDOWED,6361,5191,1170,,3803,3090,713,,2558,2101,457,
ISLAMABAD,DISTRICT,65 - 69,DIVORCED,87,62,25,,40,29,11,,47,33,14,
ISLAMABAD,DISTRICT,65 - 69,MARRIED,35651,12726,22925,,19699,6898,12801,,15952,5828,10124,
ISLAMABAD,DISTRICT,65 - 69,NEVER MARRIED,438,261,177,,193,104,89,,245,157,88,
