name_admin_unit,admin_unit,age_group,marital_status,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ATTOCK,DISTRICT,15 &  ABOVE,DIVORCED,7726,5854,1872,0,6023,4545,1478,0,1703,1309,394,0
ATTOCK,DISTRICT,15 &  ABOVE,MARRIED,930316,472577,457739,0,680920,346400,334520,0,249396,126177,123219,0
ATTOCK,DISTRICT,15 &  ABOVE,NEVER MARRIED,421244,177737,243427,80,301445,126830,174598,17,119799,50907,68829,63
ATTOCK,DISTRICT,15 &  ABOVE,SEPERATION,1738,855,883,0,1238,597,641,0,500,258,242,0
ATTOCK,DISTRICT,15 &  ABOVE,WIDOWED,67697,53911,13786,0,51071,40459,10612,0,16626,13452,3174,0
ATTOCK,DISTRICT,15 - 19,DIVORCED,54,50,4,0,43,40,3,0,11,10,1,0
ATTOCK,DISTRICT,15 - 19,MARRIED,12170,9662,2508,0,9312,7438,1874,0,2858,2224,634,0
ATTOCK,DISTRICT,15 - 19,NEVER MARRIED,188014,89349,98656,9,133987,64040,69942,5,54027,25309,28714,4
ATTOCK,DISTRICT,15 - 19,SEPERATION,15,11,4,0,11,8,3,0,4,3,1,0
ATTOCK,DISTRICT,15 - 19,WIDOWED,30,20,10,0,22,12,10,0,8,8,0,0
ATTOCK,DISTRICT,20 - 24,DIVORCED,389,334,55,0,298,255,43,0,91,79,12,0
ATTOCK,DISTRICT,20 - 24,MARRIED,56725,41493,15232,0,42824,31295,11529,0,13901,10198,3703,0
ATTOCK,DISTRICT,20 - 24,NEVER MARRIED,119104,46023,73066,15,84540,31944,52594,2,34564,14079,20472,13
ATTOCK,DISTRICT,20 - 24,SEPERATION,99,74,25,0,65,47,18,0,34,27,7,0
ATTOCK,DISTRICT,20 - 24,WIDOWED,166,119,47,0,135,96,39,0,31,23,8,0
ATTOCK,DISTRICT,25 - 29,DIVORCED,782,619,163,0,602,472,130,0,180,147,33,0
ATTOCK,DISTRICT,25 - 29,MARRIED,105304,65298,40006,0,77881,48077,29804,0,27423,17221,10202,0
ATTOCK,DISTRICT,25 - 29,NEVER MARRIED,59398,19038,40344,16,42526,13290,29230,6,16872,5748,11114,10
ATTOCK,DISTRICT,25 - 29,SEPERATION,158,87,71,0,107,57,50,0,51,30,21,0
ATTOCK,DISTRICT,25 - 29,WIDOWED,450,335,115,0,340,250,90,0,110,85,25,0
ATTOCK,DISTRICT,30 - 34,DIVORCED,1135,832,303,0,870,631,239,0,265,201,64,0
ATTOCK,DISTRICT,30 - 34,MARRIED,129398,71274,58124,0,93512,51269,42243,0,35886,20005,15881,0
ATTOCK,DISTRICT,30 - 34,NEVER MARRIED,24154,8416,15726,12,17390,6028,11362,0,6764,2388,4364,12
ATTOCK,DISTRICT,30 - 34,SEPERATION,256,127,129,0,184,85,99,0,72,42,30,0
ATTOCK,DISTRICT,30 - 34,WIDOWED,876,672,204,0,637,490,147,0,239,182,57,0
