name_admin_unit,admin_unit,age_group,marital_status,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BADIN,DISTRICT,15 &  ABOVE,DIVORCED,1728,1163,565,0,1024,710,314,0,704,453,251,0
BADIN,DISTRICT,15 &  ABOVE,MARRIED,795751,398523,397228,0,621423,311694,309729,0,174328,86829,87499,0
BADIN,DISTRICT,15 &  ABOVE,NEVER MARRIED,250141,93311,156766,64,179646,65652,113969,25,70495,27659,42797,39
BADIN,DISTRICT,15 &  ABOVE,SEPERATION,1213,740,473,0,840,508,332,0,373,232,141,0
BADIN,DISTRICT,15 &  ABOVE,WIDOWED,40799,32029,8770,0,30404,23763,6641,0,10395,8266,2129,0
BADIN,DISTRICT,15 - 19,DIVORCED,49,34,15,0,38,27,11,0,11,7,4,0
BADIN,DISTRICT,15 - 19,MARRIED,34046,22682,11364,0,28429,18819,9610,0,5617,3863,1754,0
BADIN,DISTRICT,15 - 19,NEVER MARRIED,147507,61358,86136,13,110592,45157,65424,11,36915,16201,20712,2
BADIN,DISTRICT,15 - 19,SEPERATION,58,27,31,0,44,20,24,0,14,7,7,0
BADIN,DISTRICT,15 - 19,WIDOWED,64,31,33,0,56,27,29,0,8,4,4,0
BADIN,DISTRICT,20 - 24,DIVORCED,168,127,41,0,109,84,25,0,59,43,16,0
BADIN,DISTRICT,20 - 24,MARRIED,104041,62162,41879,0,85276,50485,34791,0,18765,11677,7088,0
BADIN,DISTRICT,20 - 24,NEVER MARRIED,56935,18730,38203,2,39074,12159,26913,2,17861,6571,11290,0
BADIN,DISTRICT,20 - 24,SEPERATION,107,62,45,0,75,41,34,0,32,21,11,0
BADIN,DISTRICT,20 - 24,WIDOWED,256,156,100,0,205,125,80,0,51,31,20,0
BADIN,DISTRICT,25 - 29,DIVORCED,258,170,88,0,164,106,58,0,94,64,30,0
BADIN,DISTRICT,25 - 29,MARRIED,112629,57883,54746,0,88923,45175,43748,0,23706,12708,10998,0
BADIN,DISTRICT,25 - 29,NEVER MARRIED,24138,6551,17580,7,15845,4056,11787,2,8293,2495,5793,5
BADIN,DISTRICT,25 - 29,SEPERATION,114,61,53,0,76,40,36,0,38,21,17,0
BADIN,DISTRICT,25 - 29,WIDOWED,466,281,185,0,369,224,145,0,97,57,40,0
BADIN,DISTRICT,30 - 34,DIVORCED,282,193,89,0,152,108,44,0,130,85,45,0
BADIN,DISTRICT,30 - 34,MARRIED,110211,57784,52427,0,84996,44648,40348,0,25215,13136,12079,0
BADIN,DISTRICT,30 - 34,NEVER MARRIED,9738,2976,6758,4,6278,1863,4414,1,3460,1113,2344,3
BADIN,DISTRICT,30 - 34,SEPERATION,138,86,52,0,90,55,35,0,48,31,17,0
BADIN,DISTRICT,30 - 34,WIDOWED,833,572,261,0,603,418,185,0,230,154,76,0
BADIN,DISTRICT,35 - 39,DIVORCED,262,186,76,0,163,113,50,0,99,73,26,0
BADIN,DISTRICT,35 - 39,MARRIED,106283,52650,53633,0,81141,40168,40973,0,25142,12482,12660,0
BADIN,DISTRICT,35 - 39,NEVER MARRIED,5185,1582,3598,5,3404,1014,2389,1,1781,568,1209,4
BADIN,DISTRICT,35 - 39,SEPERATION,164,100,64,0,104,64,40,0,60,36,24,0
BADIN,DISTRICT,35 - 39,WIDOWED,1392,1019,373,0,1011,737,274,0,381,282,99,0
BADIN,DISTRICT,40 - 44,DIVORCED,260,166,94,0,151,110,41,0,109,56,53,0
BADIN,DISTRICT,40 - 44,MARRIED,100069,47406,52663,0,77455,36721,40734,0,22614,10685,11929,0
BADIN,DISTRICT,40 - 44,NEVER MARRIED,2860,866,1987,7,1939,574,1364,1,921,292,623,6
BADIN,DISTRICT,40 - 44,SEPERATION,156,103,53,0,102,69,33,0,54,34,20,0
BADIN,DISTRICT,40 - 44,WIDOWED,2545,1972,573,0,1911,1464,447,0,634,508,126,0
BADIN,DISTRICT,45 - 49,DIVORCED,162,110,52,0,81,54,27,0,81,56,25,0
BADIN,DISTRICT,45 - 49,MARRIED,67481,31631,35850,0,51374,24228,27146,0,16107,7403,8704,0
BADIN,DISTRICT,45 - 49,NEVER MARRIED,1534,488,1040,6,1011,323,688,0,523,165,352,6
BADIN,DISTRICT,45 - 49,SEPERATION,134,88,46,0,98,63,35,0,36,25,11,0
BADIN,DISTRICT,45 - 49,WIDOWED,2903,2322,581,0,2093,1666,427,0,810,656,154,0
