name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
ATTOCK,DISTRICT,BROTHER/SISTER,DIVORCED,1836,363,0,1451,281,0,385,82,0
ATTOCK,DISTRICT,BROTHER/SISTER,MARRIED,3082,32258,0,2135,23754,0,947,8504,0
ATTOCK,DISTRICT,BROTHER/SISTER,NEVER MARRIED,23141,24700,4,17310,18260,4,5831,6440,0
ATTOCK,DISTRICT,BROTHER/SISTER,SEPARATION,219,147,0,166,113,0,53,34,0
ATTOCK,DISTRICT,BROTHER/SISTER,WIDOWED,1866,539,0,1336,411,0,530,128,0
ATTOCK,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
ATTOCK,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,91957,2725,,69805,1971,,22152,754,
ATTOCK,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
ATTOCK,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,1,0,,0,0,,1,0,
ATTOCK,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,724,17,,560,14,,164,3,
ATTOCK,DISTRICT,FATHER/MOTHER,DIVORCED,421,29,,331,25,,90,4,
ATTOCK,DISTRICT,FATHER/MOTHER,MARRIED,21963,13083,,16703,10266,,5260,2817,
ATTOCK,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
ATTOCK,DISTRICT,FATHER/MOTHER,SEPARATION,94,9,,71,5,,23,4,
ATTOCK,DISTRICT,FATHER/MOTHER,WIDOWED,34053,3387,,25869,2658,,8184,729,
ATTOCK,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,9,1,,6,0,,3,1,
ATTOCK,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,481,316,,391,274,,90,42,
ATTOCK,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,1,18,,1,11,,0,7,
ATTOCK,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,4,1,,4,1,,0,0,
ATTOCK,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,1262,225,,1038,191,,224,34,
ATTOCK,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,15,5,0,14,5,0,1,0,0
ATTOCK,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,542,938,0,426,762,0,116,176,0
ATTOCK,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,7309,8308,1,5569,6331,0,1740,1977,1
ATTOCK,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,2,3,0,2,1,0,0,2,0
ATTOCK,DISTRICT,GRAND SON/GRAND DAUGHTER,WIDOWED,9,4,0,8,2,0,1,2,0
ATTOCK,DISTRICT,HEAD,DIVORCED,661,744,0,499,590,0,162,154,0
ATTOCK,DISTRICT,HEAD,MARRIED,14390,300522,0,10217,217459,0,4173,83063,0
ATTOCK,DISTRICT,HEAD,NEVER MARRIED,935,17042,34,700,12662,3,235,4380,31
ATTOCK,DISTRICT,HEAD,SEPARATION,117,414,0,64,299,0,53,115,0
ATTOCK,DISTRICT,HEAD,WIDOWED,10352,8446,0,7320,6450,0,3032,1996,0
ATTOCK,DISTRICT,NEPHEW/NIECE,DIVORCED,47,16,0,33,16,0,14,0,0
ATTOCK,DISTRICT,NEPHEW/NIECE,MARRIED,689,2593,0,519,2068,0,170,525,0
ATTOCK,DISTRICT,NEPHEW/NIECE,NEVER MARRIED,7009,8533,1,5332,6465,0,1677,2068,1
ATTOCK,DISTRICT,NEPHEW/NIECE,SEPARATION,4,3,0,4,2,0,0,1,0
ATTOCK,DISTRICT,NEPHEW/NIECE,WIDOWED,41,16,0,32,13,0,9,3,0
ATTOCK,DISTRICT,NON-RELATIVE,DIVORCED,29,13,0,16,12,0,13,1,0
ATTOCK,DISTRICT,NON-RELATIVE,MARRIED,921,6854,0,555,4038,0,366,2816,0
ATTOCK,DISTRICT,NON-RELATIVE,NEVER MARRIED,2279,10091,23,1322,5309,1,957,4782,22
ATTOCK,DISTRICT,NON-RELATIVE,SEPARATION,6,24,0,2,10,0,4,14,0
ATTOCK,DISTRICT,NON-RELATIVE,WIDOWED,123,116,0,82,85,0,41,31,0
ATTOCK,DISTRICT,OTHER RELATIVE,DIVORCED,367,81,0,297,60,0,70,21,0
ATTOCK,DISTRICT,OTHER RELATIVE,MARRIED,6559,5742,0,4935,4100,0,1624,1642,0
ATTOCK,DISTRICT,OTHER RELATIVE,NEVER MARRIED,4315,4996,8,3218,3524,1,1097,1472,7
ATTOCK,DISTRICT,OTHER RELATIVE,SEPARATION,61,30,0,42,26,0,19,4,0
ATTOCK,DISTRICT,OTHER RELATIVE,WIDOWED,3137,584,0,2422,454,0,715,130,0
ATTOCK,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,DIVORCED,49,8,0,37,8,0,12,0,0
ATTOCK,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,MARRIED,31127,820,0,23738,634,0,7389,186,0
ATTOCK,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,NEVER MARRIED,797,234,0,636,170,0,161,64,0
ATTOCK,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,SEPARATION,10,2,0,8,2,0,2,0,0
ATTOCK,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,1415,37,0,1122,32,0,293,5,0
ATTOCK,DISTRICT,SON/DAUGHTER,DIVORCED,2420,612,0,1861,481,0,559,131,0
ATTOCK,DISTRICT,SON/DAUGHTER,MARRIED,7089,86254,0,4932,64923,0,2157,21331,0
ATTOCK,DISTRICT,SON/DAUGHTER,NEVER MARRIED,131950,169505,9,92741,121866,8,39209,47639,1
ATTOCK,DISTRICT,SON/DAUGHTER,SEPARATION,337,250,0,234,182,0,103,68,0
ATTOCK,DISTRICT,SON/DAUGHTER,WIDOWED,928,415,0,669,302,0,259,113,0
ATTOCK,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
