name_admin_unit,part_of_district,admin_unit,age_group,rel_hh_head,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,BROTHER/SISTER,499,251,248,,258,139,119,,241,112,129,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,BROTHER/SISTER IN LAW,63,40,23,,44,28,16,,19,12,7,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,FATHER/MOTHER,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,GRANDSON/GRANDDAUGHTER,62333,30190,32143,,36204,17509,18695,,26129,12681,13448,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,HEAD,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,NEPHEW/NEICE,14637,7031,7606,,7938,3791,4147,,6699,3240,3459,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,NON-RELATIVE,1928,873,1055,,871,398,473,,1057,475,582,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,OTHER RELATIVE,2222,1051,1171,,1102,525,577,,1120,526,594,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,SON/DAUGHTER,155800,75254,80546,,87757,42601,45156,,68043,32653,35390,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,SON/DAUGHTER IN LAW,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,SPOUSE,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,05 - 09,BROTHER/SISTER,1737,890,847,,903,462,441,,834,428,406,
ISLAMABAD,ISLAMABAD,DISTRICT,05 - 09,BROTHER/SISTER IN LAW,48,28,20,,34,21,13,,14,7,7,
ISLAMABAD,ISLAMABAD,DISTRICT,05 - 09,FATHER/MOTHER,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,05 - 09,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
