name_admin_unit,part_of_district,admin_unit,age_group,rel_hh_head,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BADIN,BADIN,DISTRICT,00 - 04,BROTHER/SISTER,555,276,279,,465,230,235,,90,46,44,
BADIN,BADIN,DISTRICT,00 - 04,BROTHER/SISTER IN LAW,30,20,10,,21,12,9,,9,8,1,
BADIN,BADIN,DISTRICT,00 - 04,FATHER/MOTHER,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,00 - 04,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,00 - 04,GRANDSON/GRANDDAUGHTER,11547,5586,5961,,8006,3842,4164,,3541,1744,1797,
BADIN,BADIN,DISTRICT,00 - 04,HEAD,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,00 - 04,NEPHEW/NEICE,2810,1343,1467,,1876,880,996,,934,463,471,
BADIN,BADIN,DISTRICT,00 - 04,NON-RELATIVE,255,106,149,,231,94,137,,24,12,12,
BADIN,BADIN,DISTRICT,00 - 04,OTHER RELATIVE,1442,666,776,,1115,529,586,,327,137,190,
BADIN,BADIN,DISTRICT,00 - 04,SON/DAUGHTER,294225,142776,151449,,238226,115645,122581,,55999,27131,28868,
BADIN,BADIN,DISTRICT,00 - 04,SON/DAUGHTER IN LAW,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,00 - 04,SPOUSE,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,05 - 09,BROTHER/SISTER,2116,948,1168,,1758,778,980,,358,170,188,
BADIN,BADIN,DISTRICT,05 - 09,BROTHER/SISTER IN LAW,22,11,11,,15,7,8,,7,4,3,
BADIN,BADIN,DISTRICT,05 - 09,FATHER/MOTHER,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,05 - 09,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,05 - 09,GRANDSON/GRANDDAUGHTER,6438,3000,3438,,4264,1967,2297,,2174,1033,1141,
BADIN,BADIN,DISTRICT,05 - 09,HEAD,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,05 - 09,NEPHEW/NEICE,2551,1189,1362,,1745,797,948,,806,392,414,
BADIN,BADIN,DISTRICT,05 - 09,NON-RELATIVE,313,82,231,,221,65,156,,92,17,75,
BADIN,BADIN,DISTRICT,05 - 09,OTHER RELATIVE,1138,497,641,,841,374,467,,297,123,174,
BADIN,BADIN,DISTRICT,05 - 09,SON/DAUGHTER,302107,143769,158338,,243505,115634,127871,,58602,28135,30467,
BADIN,BADIN,DISTRICT,05 - 09,SON/DAUGHTER IN LAW,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,05 - 09,SPOUSE,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,10 - 14,BROTHER/SISTER,4710,2311,2398,1,3658,1755,1902,1,1052,556,496,
BADIN,BADIN,DISTRICT,10 - 14,BROTHER/SISTER IN LAW,39,19,20,,23,11,12,,16,8,8,
BADIN,BADIN,DISTRICT,10 - 14,FATHER/MOTHER,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,10 - 14,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,10 - 14,GRANDSON/GRANDDAUGHTER,2971,1359,1612,,1942,878,1064,,1029,481,548,
BADIN,BADIN,DISTRICT,10 - 14,HEAD,508,12,496,,441,11,430,,67,1,66,
BADIN,BADIN,DISTRICT,10 - 14,NEPHEW/NEICE,1713,785,928,,1117,493,624,,596,292,304,
BADIN,BADIN,DISTRICT,10 - 14,NON-RELATIVE,299,64,235,,177,49,128,,122,15,107,
BADIN,BADIN,DISTRICT,10 - 14,OTHER RELATIVE,961,400,561,,671,280,391,,290,120,170,
BADIN,BADIN,DISTRICT,10 - 14,SON/DAUGHTER,219035,102302,116724,9,172912,80165,92738,9,46123,22137,23986,
BADIN,BADIN,DISTRICT,10 - 14,SON/DAUGHTER IN LAW,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,10 - 14,SPOUSE,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,15 - 19,BROTHER/SISTER,6581,2649,3932,,4734,1888,2846,,1847,761,1086,
BADIN,BADIN,DISTRICT,15 - 19,BROTHER/SISTER IN LAW,512,486,26,,393,378,15,,119,108,11,
BADIN,BADIN,DISTRICT,15 - 19,FATHER/MOTHER,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,15 - 19,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,15 - 19,GRANDSON/GRANDDAUGHTER,1292,566,726,,808,335,473,,484,231,253,
BADIN,BADIN,DISTRICT,15 - 19,HEAD,9387,46,9340,1,7991,42,7948,1,1396,4,1392,
BADIN,BADIN,DISTRICT,15 - 19,NEPHEW/NEICE,1158,476,682,,687,269,418,,471,207,264,
BADIN,BADIN,DISTRICT,15 - 19,NON-RELATIVE,243,59,184,,139,46,93,,104,13,91,
BADIN,BADIN,DISTRICT,15 - 19,OTHER RELATIVE,1160,678,478,4,856,539,315,2,304,139,163,2
BADIN,BADIN,DISTRICT,15 - 19,SON/DAUGHTER,140425,58364,82053,8,106140,43256,62876,8,34285,15108,19177,
BADIN,BADIN,DISTRICT,15 - 19,SON/DAUGHTER IN LAW,3336,3191,145,,2666,2562,104,,670,629,41,
BADIN,BADIN,DISTRICT,15 - 19,SPOUSE,17630,17617,13,,14745,14735,10,,2885,2882,3,
BADIN,BADIN,DISTRICT,20 - 24,BROTHER/SISTER,5197,1755,3442,,3458,1140,2318,,1739,615,1124,
BADIN,BADIN,DISTRICT,20 - 24,BROTHER/SISTER IN LAW,964,914,50,,702,667,35,,262,247,15,
BADIN,BADIN,DISTRICT,20 - 24,FATHER/MOTHER,2,2,,,2,2,,,,,,
BADIN,BADIN,DISTRICT,20 - 24,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,20 - 24,GRANDSON/GRANDDAUGHTER,423,147,276,,273,86,187,,150,61,89,
BADIN,BADIN,DISTRICT,20 - 24,HEAD,37711,198,37513,,31659,165,31494,,6052,33,6019,
BADIN,BADIN,DISTRICT,20 - 24,NEPHEW/NEICE,501,179,322,,305,111,194,,196,68,128,
BADIN,BADIN,DISTRICT,20 - 24,NON-RELATIVE,260,52,208,,92,39,53,,168,13,155,
BADIN,BADIN,DISTRICT,20 - 24,OTHER RELATIVE,1138,734,404,,860,569,291,,278,165,113,
BADIN,BADIN,DISTRICT,20 - 24,SON/DAUGHTER,55435,17653,37780,2,38600,11532,27066,2,16835,6121,10714,
BADIN,BADIN,DISTRICT,20 - 24,SON/DAUGHTER IN LAW,4944,4735,209,,3598,3445,153,,1346,1290,56,
BADIN,BADIN,DISTRICT,20 - 24,SPOUSE,54932,54868,64,,45190,45138,52,,9742,9730,12,
BADIN,BADIN,DISTRICT,25 - 29,BROTHER/SISTER,4135,1223,2912,,2609,736,1873,,1526,487,1039,
BADIN,BADIN,DISTRICT,25 - 29,BROTHER/SISTER IN LAW,779,726,53,,519,482,37,,260,244,16,
BADIN,BADIN,DISTRICT,25 - 29,FATHER/MOTHER,11,9,2,,10,8,2,,1,1,,
BADIN,BADIN,DISTRICT,25 - 29,GRANDFATHER/GRANDMOTHER,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,25 - 29,GRANDSON/GRANDDAUGHTER,133,49,84,,80,27,53,,53,22,31,
BADIN,BADIN,DISTRICT,25 - 29,HEAD,51411,303,51106,2,41578,251,41327,,9833,52,9779,2
BADIN,BADIN,DISTRICT,25 - 29,NEPHEW/NEICE,285,90,195,,195,61,134,,90,29,61,
BADIN,BADIN,DISTRICT,25 - 29,NON-RELATIVE,264,34,227,3,98,25,73,,166,9,154,3
BADIN,BADIN,DISTRICT,25 - 29,OTHER RELATIVE,861,469,391,1,617,348,268,1,244,121,123,
BADIN,BADIN,DISTRICT,25 - 29,SON/DAUGHTER,23404,6076,17327,1,15577,3834,11742,1,7827,2242,5585,
BADIN,BADIN,DISTRICT,25 - 29,SON/DAUGHTER IN LAW,2775,2540,235,,1773,1612,161,,1002,928,74,
BADIN,BADIN,DISTRICT,25 - 29,SPOUSE,53547,53427,120,,42321,42217,104,,11226,11210,16,
