name_admin_unit,part_of_district,admin_unit,religion,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
AWARAN,AWARAN,DISTRICT,QADIANI/AHMADI,4,2,2,,3,1,2,,1,1,,
AWARAN,AWARAN,DISTRICT,CHRISTIAN,551,245,306,,377,171,206,,174,74,100,
AWARAN,AWARAN,DISTRICT,HINDU JATI,12,3,9,,7,3,4,,5,,5,
AWARAN,AWARAN,DISTRICT,MUSLIM,177173,86483,90674,16,130650,63897,66742,11,46523,22586,23932,5
AWARAN,AWARAN,DISTRICT,OTHERS,1197,577,619,1,1072,515,556,1,125,62,63,
AWARAN,AWARAN,DISTRICT,PARSI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,SCHEDULED CASTE,7,2,5,,2,1,1,,5,1,4,
AWARAN,AWARAN,DISTRICT,SIKH,14,6,8,,11,6,5,,3,,3,
BARKHAN,BARKHAN,DISTRICT,QADIANI/AHMADI,4,1,3,,4,1,3,,,,,
BARKHAN,BARKHAN,DISTRICT,CHRISTIAN,462,231,231,,456,226,230,,6,5,1,
BARKHAN,BARKHAN,DISTRICT,HINDU JATI,1,,1,,1,,1,,,,,
BARKHAN,BARKHAN,DISTRICT,MUSLIM,209755,100376,109371,8,195338,93355,101976,7,14417,7021,7395,1
BARKHAN,BARKHAN,DISTRICT,OTHERS,21,5,16,,19,5,14,,2,,2,
BARKHAN,BARKHAN,DISTRICT,PARSI,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,SCHEDULED CASTE,3,2,1,,3,2,1,,,,,
BARKHAN,BARKHAN,DISTRICT,SIKH,3,2,1,,3,2,1,,,,,
CHAGAI,CHAGAI,DISTRICT,QADIANI/AHMADI,3,,3,,2,,2,,1,,1,
CHAGAI,CHAGAI,DISTRICT,CHRISTIAN,922,464,458,,725,366,359,,197,98,99,
CHAGAI,CHAGAI,DISTRICT,HINDU JATI,892,463,429,,52,31,21,,840,432,408,
CHAGAI,CHAGAI,DISTRICT,MUSLIM,266739,128006,138728,5,247840,118803,129032,5,18899,9203,9696,
CHAGAI,CHAGAI,DISTRICT,OTHERS,24,11,13,,24,11,13,,,,,
CHAGAI,CHAGAI,DISTRICT,PARSI,1,1,,,1,1,,,,,,
CHAGAI,CHAGAI,DISTRICT,SCHEDULED CASTE,4,3,1,,4,3,1,,,,,
CHAGAI,CHAGAI,DISTRICT,SIKH,26,16,10,,4,2,2,,22,14,8,
CHAMAN,CHAMAN,DISTRICT,QADIANI/AHMADI,7,4,3,,7,4,3,,,,,
CHAMAN,CHAMAN,DISTRICT,CHRISTIAN,1245,615,630,,531,249,282,,714,366,348,
CHAMAN,CHAMAN,DISTRICT,HINDU JATI,205,97,108,,5,2,3,,200,95,105,
CHAMAN,CHAMAN,DISTRICT,MUSLIM,464564,204233,260318,13,335355,146092,189251,12,129209,58141,71067,1
CHAMAN,CHAMAN,DISTRICT,OTHERS,171,56,115,,164,51,113,,7,5,2,
CHAMAN,CHAMAN,DISTRICT,PARSI,5,2,3,,1,,1,,4,2,2,
CHAMAN,CHAMAN,DISTRICT,SCHEDULED CASTE,8,1,7,,7,1,6,,1,,1,
CHAMAN,CHAMAN,DISTRICT,SIKH,13,3,10,,9,2,7,,4,1,3,
DERA BUGTI,DERA BUGTI,DISTRICT,QADIANI/AHMADI,,,,,,,,,,,,
DERA BUGTI,DERA BUGTI,DISTRICT,CHRISTIAN,688,357,331,,442,223,219,,246,134,112,
DERA BUGTI,DERA BUGTI,DISTRICT,HINDU JATI,1095,495,600,,22,6,16,,1073,489,584,
DERA BUGTI,DERA BUGTI,DISTRICT,MUSLIM,353431,159807,193620,4,246320,108923,137394,3,107111,50884,56226,1
DERA BUGTI,DERA BUGTI,DISTRICT,OTHERS,34,8,26,,32,7,25,,2,1,1,
DERA BUGTI,DERA BUGTI,DISTRICT,PARSI,,,,,,,,,,,,
DERA BUGTI,DERA BUGTI,DISTRICT,SCHEDULED CASTE,4,,4,,3,,3,,1,,1,
DERA BUGTI,DERA BUGTI,DISTRICT,SIKH,22,15,7,,8,6,2,,14,9,5,
DUKI,DUKI,DISTRICT,QADIANI/AHMADI,8,1,6,1,8,1,6,1,,,,
DUKI,DUKI,DISTRICT,CHRISTIAN,799,366,431,2,659,301,356,2,140,65,75,
DUKI,DUKI,DISTRICT,HINDU JATI,30,13,17,,22,11,11,,8,2,6,
DUKI,DUKI,DISTRICT,MUSLIM,204086,97350,106695,41,194470,92926,101506,38,9616,4424,5189,3
DUKI,DUKI,DISTRICT,OTHERS,85,31,53,1,75,28,46,1,10,3,7,
DUKI,DUKI,DISTRICT,PARSI,10,4,6,,2,,2,,8,4,4,
DUKI,DUKI,DISTRICT,SCHEDULED CASTE,9,2,5,2,9,2,5,2,,,,
DUKI,DUKI,DISTRICT,SIKH,17,8,8,1,16,7,8,1,1,1,,
GWADAR,GWADAR,DISTRICT,QADIANI/AHMADI,3,1,2,,1,,1,,2,1,1,
GWADAR,GWADAR,DISTRICT,CHRISTIAN,814,396,418,,241,130,111,,573,266,307,
GWADAR,GWADAR,DISTRICT,HINDU JATI,826,320,505,1,278,106,172,,548,214,333,1
GWADAR,GWADAR,DISTRICT,MUSLIM,300255,141992,158233,30,145103,69143,75946,14,155152,72849,82287,16
GWADAR,GWADAR,DISTRICT,OTHERS,922,462,460,,498,258,240,,424,204,220,
GWADAR,GWADAR,DISTRICT,PARSI,,,,,,,,,,,,
GWADAR,GWADAR,DISTRICT,SCHEDULED CASTE,7,,7,,1,,1,,6,,6,
GWADAR,GWADAR,DISTRICT,SIKH,4,3,1,,3,2,1,,1,1,,
HARNAI,HARNAI,DISTRICT,QADIANI/AHMADI,2,,2,,2,,2,,,,,
HARNAI,HARNAI,DISTRICT,CHRISTIAN,589,276,312,1,266,121,145,,323,155,167,1
HARNAI,HARNAI,DISTRICT,HINDU JATI,419,213,206,,92,52,40,,327,161,166,
HARNAI,HARNAI,DISTRICT,MUSLIM,126465,59672,66790,3,93687,45265,48419,3,32778,14407,18371,
HARNAI,HARNAI,DISTRICT,OTHERS,87,38,49,,83,38,45,,4,,4,
HARNAI,HARNAI,DISTRICT,PARSI,1,,1,,1,,1,,,,,
HARNAI,HARNAI,DISTRICT,SCHEDULED CASTE,2,1,1,,2,1,1,,,,,
HARNAI,HARNAI,DISTRICT,SIKH,6,5,1,,5,4,1,,1,1,,
JAFFARABAD,JAFFARABAD,DISTRICT,QADIANI/AHMADI,5,2,3,,4,1,3,,1,1,,
JAFFARABAD,JAFFARABAD,DISTRICT,CHRISTIAN,1419,706,713,,806,397,409,,613,309,304,
JAFFARABAD,JAFFARABAD,DISTRICT,HINDU JATI,7034,3525,3509,,1820,963,857,,5214,2562,2652,
JAFFARABAD,JAFFARABAD,DISTRICT,MUSLIM,584619,288193,296416,10,427980,211080,216897,3,156639,77113,79519,7
JAFFARABAD,JAFFARABAD,DISTRICT,OTHERS,925,460,464,1,444,245,199,,481,215,265,1
JAFFARABAD,JAFFARABAD,DISTRICT,PARSI,32,15,17,,26,12,14,,6,3,3,
JAFFARABAD,JAFFARABAD,DISTRICT,SCHEDULED CASTE,345,183,162,,79,44,35,,266,139,127,
JAFFARABAD,JAFFARABAD,DISTRICT,SIKH,179,93,86,,6,1,5,,173,92,81,
JHAL MAGSI,JHAL MAGSI,DISTRICT,QADIANI/AHMADI,2,1,1,,2,1,1,,,,,
JHAL MAGSI,JHAL MAGSI,DISTRICT,CHRISTIAN,553,290,263,,474,235,239,,79,55,24,
JHAL MAGSI,JHAL MAGSI,DISTRICT,HINDU JATI,1208,604,604,,771,388,383,,437,216,221,
JHAL MAGSI,JHAL MAGSI,DISTRICT,MUSLIM,201535,99014,102508,13,177928,86670,91247,11,23607,12344,11261,2
JHAL MAGSI,JHAL MAGSI,DISTRICT,OTHERS,20,5,15,,19,5,14,,1,,1,
JHAL MAGSI,JHAL MAGSI,DISTRICT,PARSI,,,,,,,,,,,,
JHAL MAGSI,JHAL MAGSI,DISTRICT,SCHEDULED CASTE,44,16,28,,38,13,25,,6,3,3,
JHAL MAGSI,JHAL MAGSI,DISTRICT,SIKH,6,3,3,,6,3,3,,,,,
KACHHI,KACHHI,DISTRICT,QADIANI/AHMADI,9,5,4,,5,3,2,,4,2,2,
KACHHI,KACHHI,DISTRICT,CHRISTIAN,2034,923,1111,,1389,605,784,,645,318,327,
