name_admin_unit,part_of_district,admin_unit,religion,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ABBOTTABAD,ABBOTTABAD,DISTRICT,QADIANI/AHMADI,21,11,10,0,15,8,7,0,6,3,3,0
ABBOTTABAD,ABBOTTABAD,DISTRICT,CHRISTIAN,5818,3197,2620,1,3174,1809,1365,0,2644,1388,1255,1
ABBOTTABAD,ABBOTTABAD,DISTRICT,HINDU JATI,97,49,48,0,48,16,32,0,49,33,16,0
ABBOTTABAD,ABBOTTABAD,DISTRICT,MUSLIM,1391394,692187,699104,103,1083261,540293,542945,23,308133,151894,156159,80
ABBOTTABAD,ABBOTTABAD,DISTRICT,OTHERS,191,104,87,0,150,87,63,0,41,17,24,0
ABBOTTABAD,ABBOTTABAD,DISTRICT,PARSI,6,3,3,0,4,2,2,0,2,1,1,0
ABBOTTABAD,ABBOTTABAD,DISTRICT,SCHEDULED CASTE,17,7,10,0,16,7,9,0,1,0,1,0
ABBOTTABAD,ABBOTTABAD,DISTRICT,SIKH,43,19,24,0,20,9,11,0,23,10,13,0
BAJAUR,BAJAUR,DISTRICT,QADIANI/AHMADI,21,10,11,0,21,10,11,0,0,0,0,0
BAJAUR,BAJAUR,DISTRICT,CHRISTIAN,3068,1651,1417,0,3068,1651,1417,0,0,0,0,0
BAJAUR,BAJAUR,DISTRICT,HINDU JATI,34,19,15,0,34,19,15,0,0,0,0,0
BAJAUR,BAJAUR,DISTRICT,MUSLIM,1279889,632888,646986,15,1279889,632888,646986,15,0,0,0,0
BAJAUR,BAJAUR,DISTRICT,OTHERS,63,37,26,0,63,37,26,0,0,0,0,0
BAJAUR,BAJAUR,DISTRICT,PARSI,0,0,0,0,0,0,0,0,0,0,0,0
BAJAUR,BAJAUR,DISTRICT,SCHEDULED CASTE,16,8,8,0,16,8,8,0,0,0,0,0
BAJAUR,BAJAUR,DISTRICT,SIKH,22,12,10,0,22,12,10,0,0,0,0,0
BANNU,BANNU,DISTRICT,QADIANI/AHMADI,68,35,33,0,68,35,33,0,0,0,0,0
BANNU,BANNU,DISTRICT,CHRISTIAN,4844,2527,2317,0,3572,1890,1682,0,1272,637,635,0
BANNU,BANNU,DISTRICT,HINDU JATI,236,120,116,0,121,70,51,0,115,50,65,0
BANNU,BANNU,DISTRICT,MUSLIM,1349359,647333,702008,18,1302684,625863,676810,11,46675,21470,25198,7
BANNU,BANNU,DISTRICT,OTHERS,101,47,53,1,68,34,33,1,33,13,20,0
BANNU,BANNU,DISTRICT,PARSI,1,0,1,0,1,0,1,0,0,0,0,0
BANNU,BANNU,DISTRICT,SCHEDULED CASTE,43,28,15,0,42,27,15,0,1,1,0,0
BANNU,BANNU,DISTRICT,SIKH,22,9,13,0,22,9,13,0,0,0,0,0
