name_admin_unit,part_of_district,admin_unit,religion,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ATTOCK,ATTOCK,DISTRICT,QADIANI/AHMADI,175,85,90,,132,63,69,,43,22,21,
ATTOCK,ATTOCK,DISTRICT,CHRISTIAN,13286,6965,6321,,5292,2804,2488,,7994,4161,3833,
ATTOCK,ATTOCK,DISTRICT,HINDU JATI,457,237,220,,88,39,49,,369,198,171,
ATTOCK,ATTOCK,DISTRICT,MUSLIM,2118159,1053485,1064593,81,1540742,767642,773082,18,577417,285843,291511,63
ATTOCK,ATTOCK,DISTRICT,OTHERS,115,57,58,,60,33,27,,55,24,31,
ATTOCK,ATTOCK,DISTRICT,PARSI,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,SCHEDULED CASTE,44,21,23,,21,11,10,,23,10,13,
ATTOCK,ATTOCK,DISTRICT,SIKH,769,381,388,,21,7,14,,748,374,374,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,QADIANI/AHMADI,1598,772,826,,1164,562,602,,434,210,224,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,CHRISTIAN,14577,7470,7105,2,6881,3632,3249,,7696,3838,3856,2
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,HINDU JATI,2995,1495,1500,,1016,486,530,,1979,1009,970,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,MUSLIM,3525258,1691692,1833198,368,2561942,1229426,1332416,100,963316,462266,500782,268
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OTHERS,331,153,178,,189,89,100,,142,64,78,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,PARSI,2,2,,,,,,,2,2,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,SCHEDULED CASTE,111,52,59,,89,43,46,,22,9,13,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,SIKH,39,17,22,,15,8,7,,24,9,15,
BAHAWALPUR,BAHAWALPUR,DISTRICT,QADIANI/AHMADI,1234,619,615,,859,423,436,,375,196,179,
BAHAWALPUR,BAHAWALPUR,DISTRICT,CHRISTIAN,27651,14266,13382,3,8791,4718,4073,,18860,9548,9309,3
BAHAWALPUR,BAHAWALPUR,DISTRICT,HINDU JATI,46923,23168,23753,2,39974,19749,20224,1,6949,3419,3529,1
BAHAWALPUR,BAHAWALPUR,DISTRICT,MUSLIM,4185348,2059189,2125696,463,2610480,1286171,1324173,136,1574868,773018,801523,327
BAHAWALPUR,BAHAWALPUR,DISTRICT,OTHERS,1427,697,729,1,977,472,505,,450,225,224,1
