name_admin_unit,part_of_district,admin_unit,religion,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BADIN,BADIN,DISTRICT,QADIANI/AHMADI,792,332,460,,304,112,192,,488,220,268,
BADIN,BADIN,DISTRICT,CHRISTIAN,5212,2590,2622,,2442,1213,1229,,2770,1377,1393,
BADIN,BADIN,DISTRICT,HINDU JATI,393306,189831,203471,4,312803,150673,162126,4,80503,39158,41345,
BADIN,BADIN,DISTRICT,MUSLIM,1448447,693436,754945,66,1119024,535352,583645,27,329423,158084,171300,39
BADIN,BADIN,DISTRICT,OTHERS,2403,1106,1296,1,2325,1068,1256,1,78,38,40,
BADIN,BADIN,DISTRICT,PARSI,13,5,8,,13,5,8,,,,,
BADIN,BADIN,DISTRICT,SCHEDULED CASTE,95217,45970,49244,3,79636,38387,41246,3,15581,7583,7998,
BADIN,BADIN,DISTRICT,SIKH,27,17,10,,20,13,7,,7,4,3,
DADU,DADU,DISTRICT,QADIANI/AHMADI,29,15,14,,22,13,9,,7,2,5,
DADU,DADU,DISTRICT,CHRISTIAN,2482,1259,1223,,1860,936,924,,622,323,299,
DADU,DADU,DISTRICT,HINDU JATI,10104,5060,5044,,5106,2525,2581,,4998,2535,2463,
DADU,DADU,DISTRICT,MUSLIM,1728209,851348,876775,86,1295333,636422,658874,37,432876,214926,217901,49
DADU,DADU,DISTRICT,OTHERS,367,186,181,,339,171,168,,28,15,13,
DADU,DADU,DISTRICT,PARSI,1,1,,,1,1,,,,,,
DADU,DADU,DISTRICT,SCHEDULED CASTE,1095,556,539,,609,307,302,,486,249,237,
DADU,DADU,DISTRICT,SIKH,20,9,11,,16,7,9,,4,2,2,
GHOTKI,GHOTKI,DISTRICT,QADIANI/AHMADI,45,16,29,,33,11,22,,12,5,7,
GHOTKI,GHOTKI,DISTRICT,CHRISTIAN,3650,1858,1792,,1985,1034,951,,1665,824,841,
