name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
AWARAN,AWARAN,DISTRICT,00 - 04,AFGHANI,12,10,2,5,4,1,7,6,1,,,
AWARAN,AWARAN,DISTRICT,00 - 04,BENGALI,1,1,,,,,1,1,,,,
AWARAN,AWARAN,DISTRICT,00 - 04,CHINESE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,00 - 04,OTHERS,77,65,12,30,22,8,47,43,4,,,
AWARAN,AWARAN,DISTRICT,00 - 04,PAKISTANI,31391,23095,8296,15428,11419,4009,15963,11676,4287,,,
AWARAN,AWARAN,DISTRICT,05 - 09,AFGHANI,6,5,1,2,2,,4,3,1,,,
AWARAN,AWARAN,DISTRICT,05 - 09,BENGALI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,05 - 09,CHINESE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,05 - 09,OTHERS,102,84,18,42,33,9,60,51,9,,,
AWARAN,AWARAN,DISTRICT,05 - 09,PAKISTANI,30960,23313,7647,15218,11514,3704,15742,11799,3943,,,
AWARAN,AWARAN,DISTRICT,10 - 14,AFGHANI,4,4,,2,2,,2,2,,,,
AWARAN,AWARAN,DISTRICT,10 - 14,BENGALI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,10 - 14,CHINESE,1,1,,,,,1,1,,,,
AWARAN,AWARAN,DISTRICT,10 - 14,OTHERS,112,91,21,32,26,6,80,65,15,,,
AWARAN,AWARAN,DISTRICT,10 - 14,PAKISTANI,25653,19206,6447,12512,9318,3194,13139,9888,3251,2,,2
AWARAN,AWARAN,DISTRICT,15 - 19,AFGHANI,7,3,4,1,1,,6,2,4,,,
AWARAN,AWARAN,DISTRICT,15 - 19,BENGALI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,15 - 19,CHINESE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,15 - 19,OTHERS,91,65,26,37,27,10,54,38,16,,,
AWARAN,AWARAN,DISTRICT,15 - 19,PAKISTANI,17748,12805,4943,8513,6195,2318,9231,6608,2623,4,2,2
AWARAN,AWARAN,DISTRICT,20 - 24,AFGHANI,10,6,4,5,4,1,5,2,3,,,
AWARAN,AWARAN,DISTRICT,20 - 24,BENGALI,1,1,,,,,1,1,,,,
AWARAN,AWARAN,DISTRICT,20 - 24,CHINESE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,20 - 24,OTHERS,106,75,31,49,36,13,57,39,18,,,
AWARAN,AWARAN,DISTRICT,20 - 24,PAKISTANI,13399,9694,3705,6651,4900,1751,6747,4794,1953,1,,1
AWARAN,AWARAN,DISTRICT,25 - 29,AFGHANI,6,4,2,5,4,1,1,,1,,,
AWARAN,AWARAN,DISTRICT,25 - 29,BENGALI,1,1,,,,,1,1,,,,
AWARAN,AWARAN,DISTRICT,25 - 29,CHINESE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,25 - 29,OTHERS,59,52,7,26,24,2,33,28,5,,,
AWARAN,AWARAN,DISTRICT,25 - 29,PAKISTANI,12141,8871,3270,5949,4285,1664,6187,4581,1606,5,5,
AWARAN,AWARAN,DISTRICT,30 - 34,AFGHANI,8,4,4,5,3,2,3,1,2,,,
AWARAN,AWARAN,DISTRICT,30 - 34,BENGALI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,30 - 34,CHINESE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,30 - 34,OTHERS,50,35,15,22,15,7,28,20,8,,,
AWARAN,AWARAN,DISTRICT,30 - 34,PAKISTANI,9486,6825,2661,4897,3555,1342,4585,3266,1319,4,4,
AWARAN,AWARAN,DISTRICT,35 - 39,AFGHANI,4,3,1,,,,4,3,1,,,
AWARAN,AWARAN,DISTRICT,35 - 39,BENGALI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,35 - 39,CHINESE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,35 - 39,OTHERS,47,36,11,32,25,7,15,11,4,,,
AWARAN,AWARAN,DISTRICT,35 - 39,PAKISTANI,9759,7243,2516,4892,3608,1284,4867,3635,1232,,,
AWARAN,AWARAN,DISTRICT,40 - 44,AFGHANI,6,6,,3,3,,3,3,,,,
AWARAN,AWARAN,DISTRICT,40 - 44,BENGALI,1,,1,,,,1,,1,,,
AWARAN,AWARAN,DISTRICT,40 - 44,CHINESE,1,1,,1,1,,,,,,,
AWARAN,AWARAN,DISTRICT,40 - 44,OTHERS,23,22,1,15,14,1,8,8,,,,
AWARAN,AWARAN,DISTRICT,40 - 44,PAKISTANI,7765,5640,2125,3863,2799,1064,3901,2840,1061,1,1,
AWARAN,AWARAN,DISTRICT,45 - 49,AFGHANI,4,3,1,1,,1,3,3,,,,
AWARAN,AWARAN,DISTRICT,45 - 49,BENGALI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,45 - 49,CHINESE,1,1,,,,,1,1,,,,
AWARAN,AWARAN,DISTRICT,45 - 49,OTHERS,15,12,3,6,5,1,9,7,2,,,
AWARAN,AWARAN,DISTRICT,45 - 49,PAKISTANI,5185,3916,1269,2443,1860,583,2742,2056,686,,,
AWARAN,AWARAN,DISTRICT,50 - 54,AFGHANI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,50 - 54,BENGALI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,50 - 54,CHINESE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,50 - 54,OTHERS,16,9,7,8,5,3,8,4,4,,,
AWARAN,AWARAN,DISTRICT,50 - 54,PAKISTANI,4614,3489,1125,2207,1654,553,2407,1835,572,,,
AWARAN,AWARAN,DISTRICT,55 - 59,AFGHANI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,55 - 59,BENGALI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,55 - 59,CHINESE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,55 - 59,OTHERS,16,14,2,12,12,,4,2,2,,,
AWARAN,AWARAN,DISTRICT,55 - 59,PAKISTANI,3249,2418,831,1475,1093,382,1774,1325,449,,,
AWARAN,AWARAN,DISTRICT,60 - 64,AFGHANI,1,1,,,,,1,1,,,,
AWARAN,AWARAN,DISTRICT,60 - 64,BENGALI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,60 - 64,CHINESE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,60 - 64,OTHERS,8,6,2,2,1,1,6,5,1,,,
AWARAN,AWARAN,DISTRICT,60 - 64,PAKISTANI,2491,1884,607,1023,769,254,1468,1115,353,,,
AWARAN,AWARAN,DISTRICT,65 - 69,AFGHANI,1,,1,,,,1,,1,,,
AWARAN,AWARAN,DISTRICT,65 - 69,BENGALI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,65 - 69,CHINESE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,65 - 69,OTHERS,6,3,3,4,3,1,2,,2,,,
AWARAN,AWARAN,DISTRICT,65 - 69,PAKISTANI,1763,1285,478,788,573,215,975,712,263,,,
AWARAN,AWARAN,DISTRICT,70 - 74,AFGHANI,1,1,,1,1,,,,,,,
AWARAN,AWARAN,DISTRICT,70 - 74,BENGALI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,70 - 74,CHINESE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,70 - 74,OTHERS,4,2,2,,,,4,2,2,,,
AWARAN,AWARAN,DISTRICT,70 - 74,PAKISTANI,1322,951,371,604,429,175,718,522,196,,,
AWARAN,AWARAN,DISTRICT,75 & ABOVE,AFGHANI,1,,1,,,,1,,1,,,
AWARAN,AWARAN,DISTRICT,75 & ABOVE,BENGALI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,75 & ABOVE,CHINESE,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,75 & ABOVE,OTHERS,11,3,8,4,,4,7,3,4,,,
AWARAN,AWARAN,DISTRICT,75 & ABOVE,PAKISTANI,1211,857,354,503,350,153,708,507,201,,,
AWARAN,AWARAN,DISTRICT,ALL AGES,AFGHANI,71,50,21,30,24,6,41,26,15,,,
AWARAN,AWARAN,DISTRICT,ALL AGES,BENGALI,4,3,1,,,,4,3,1,,,
AWARAN,AWARAN,DISTRICT,ALL AGES,CHINESE,3,3,,1,1,,2,2,,,,
AWARAN,AWARAN,DISTRICT,ALL AGES,OTHERS,743,574,169,321,248,73,422,326,96,,,
AWARAN,AWARAN,DISTRICT,ALL AGES,PAKISTANI,178137,131492,46645,86966,64321,22645,91154,67159,23995,17,12,5
BARKHAN,BARKHAN,DISTRICT,00 - 04,AFGHANI,15,14,1,8,8,,7,6,1,,,
BARKHAN,BARKHAN,DISTRICT,00 - 04,BENGALI,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,00 - 04,CHINESE,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,00 - 04,OTHERS,22,21,1,7,7,,15,14,1,,,
BARKHAN,BARKHAN,DISTRICT,00 - 04,PAKISTANI,43689,41208,2481,21058,19837,1221,22631,21371,1260,,,
BARKHAN,BARKHAN,DISTRICT,05 - 09,AFGHANI,10,10,,5,5,,5,5,,,,
BARKHAN,BARKHAN,DISTRICT,05 - 09,BENGALI,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,05 - 09,CHINESE,1,1,,,,,1,1,,,,
BARKHAN,BARKHAN,DISTRICT,05 - 09,OTHERS,18,17,1,9,8,1,9,9,,,,
BARKHAN,BARKHAN,DISTRICT,05 - 09,PAKISTANI,41035,38601,2434,19434,18263,1171,21601,20338,1263,,,
BARKHAN,BARKHAN,DISTRICT,10 - 14,AFGHANI,8,8,,3,3,,5,5,,,,
BARKHAN,BARKHAN,DISTRICT,10 - 14,BENGALI,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,10 - 14,CHINESE,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,10 - 14,OTHERS,11,11,,3,3,,8,8,,,,
BARKHAN,BARKHAN,DISTRICT,10 - 14,PAKISTANI,30094,28244,1850,13852,13006,846,16240,15236,1004,2,2,
BARKHAN,BARKHAN,DISTRICT,15 - 19,AFGHANI,7,6,1,2,1,1,5,5,,,,
BARKHAN,BARKHAN,DISTRICT,15 - 19,BENGALI,1,1,,1,1,,,,,,,
BARKHAN,BARKHAN,DISTRICT,15 - 19,CHINESE,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,15 - 19,OTHERS,8,8,,4,4,,4,4,,,,
BARKHAN,BARKHAN,DISTRICT,15 - 19,PAKISTANI,18496,16984,1512,8324,7641,683,10169,9340,829,3,3,
BARKHAN,BARKHAN,DISTRICT,20 - 24,AFGHANI,5,4,1,2,1,1,3,3,,,,
BARKHAN,BARKHAN,DISTRICT,20 - 24,BENGALI,1,1,,1,1,,,,,,,
BARKHAN,BARKHAN,DISTRICT,20 - 24,CHINESE,,,,,,,,,,,,
