name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,AFGHANI,7856,2002,5854,3946,987,2959,3910,1015,2895,,,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,BENGALI,6,1,5,3,1,2,3,,3,,,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,CHINESE,14,1,13,6,,6,8,1,7,,,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,OTHERS,270,114,156,131,58,73,139,56,83,,,
ISLAMABAD,ISLAMABAD,DISTRICT,00 - 04,PAKISTANI,229336,132056,97280,110604,63945,46659,118732,68111,50621,,,
ISLAMABAD,ISLAMABAD,DISTRICT,05 - 09,AFGHANI,8510,2210,6300,3921,1043,2878,4589,1167,3422,,,
ISLAMABAD,ISLAMABAD,DISTRICT,05 - 09,BENGALI,9,2,7,5,1,4,4,1,3,,,
ISLAMABAD,ISLAMABAD,DISTRICT,05 - 09,CHINESE,24,1,23,15,1,14,9,,9,,,
ISLAMABAD,ISLAMABAD,DISTRICT,05 - 09,OTHERS,295,106,189,144,49,95,151,57,94,,,
ISLAMABAD,ISLAMABAD,DISTRICT,05 - 09,PAKISTANI,239924,134012,105912,115722,65201,50521,124202,68811,55391,,,
ISLAMABAD,ISLAMABAD,DISTRICT,10 - 14,AFGHANI,7068,1883,5185,3185,881,2304,3883,1002,2881,,,
ISLAMABAD,ISLAMABAD,DISTRICT,10 - 14,BENGALI,4,,4,3,,3,1,,1,,,
ISLAMABAD,ISLAMABAD,DISTRICT,10 - 14,CHINESE,20,7,13,11,5,6,9,2,7,,,
ISLAMABAD,ISLAMABAD,DISTRICT,10 - 14,OTHERS,315,137,178,154,73,81,161,64,97,,,
ISLAMABAD,ISLAMABAD,DISTRICT,10 - 14,PAKISTANI,243470,133492,109978,113452,63225,50227,130013,70266,59747,5,1,4
ISLAMABAD,ISLAMABAD,DISTRICT,15 - 19,AFGHANI,5589,1469,4120,2454,659,1795,3135,810,2325,,,
ISLAMABAD,ISLAMABAD,DISTRICT,15 - 19,BENGALI,2,2,,,,,2,2,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,15 - 19,CHINESE,12,1,11,4,1,3,8,,8,,,
ISLAMABAD,ISLAMABAD,DISTRICT,15 - 19,OTHERS,266,93,173,112,40,72,154,53,101,,,
ISLAMABAD,ISLAMABAD,DISTRICT,15 - 19,PAKISTANI,214937,116360,98577,97815,53734,44081,117107,62622,54485,15,4,11
ISLAMABAD,ISLAMABAD,DISTRICT,20 - 24,AFGHANI,4704,1267,3437,2190,620,1570,2514,647,1867,,,
ISLAMABAD,ISLAMABAD,DISTRICT,20 - 24,BENGALI,5,3,2,2,2,,3,1,2,,,
ISLAMABAD,ISLAMABAD,DISTRICT,20 - 24,CHINESE,21,1,20,7,,7,14,1,13,,,
ISLAMABAD,ISLAMABAD,DISTRICT,20 - 24,OTHERS,298,115,183,138,60,78,160,55,105,,,
ISLAMABAD,ISLAMABAD,DISTRICT,20 - 24,PAKISTANI,196775,105400,91375,91811,50197,41614,104945,55196,49749,19,7,12
ISLAMABAD,ISLAMABAD,DISTRICT,25 - 29,AFGHANI,4192,1090,3102,2035,533,1502,2157,557,1600,,,
ISLAMABAD,ISLAMABAD,DISTRICT,25 - 29,BENGALI,6,2,4,2,1,1,4,1,3,,,
ISLAMABAD,ISLAMABAD,DISTRICT,25 - 29,CHINESE,45,,45,22,,22,23,,23,,,
ISLAMABAD,ISLAMABAD,DISTRICT,25 - 29,OTHERS,309,117,192,152,76,76,157,41,116,,,
ISLAMABAD,ISLAMABAD,DISTRICT,25 - 29,PAKISTANI,186921,102476,84445,90346,50879,39467,96526,51586,44940,49,11,38
ISLAMABAD,ISLAMABAD,DISTRICT,30 - 34,AFGHANI,3362,948,2414,1662,478,1184,1700,470,1230,,,
ISLAMABAD,ISLAMABAD,DISTRICT,30 - 34,BENGALI,9,1,8,7,1,6,2,,2,,,
ISLAMABAD,ISLAMABAD,DISTRICT,30 - 34,CHINESE,52,5,47,14,3,11,38,2,36,,,
ISLAMABAD,ISLAMABAD,DISTRICT,30 - 34,OTHERS,289,119,170,160,74,86,129,45,84,,,
ISLAMABAD,ISLAMABAD,DISTRICT,30 - 34,PAKISTANI,174040,97013,77027,86188,48537,37651,87770,48472,39298,82,4,78
ISLAMABAD,ISLAMABAD,DISTRICT,35 - 39,AFGHANI,2569,756,1813,1185,335,850,1384,421,963,,,
ISLAMABAD,ISLAMABAD,DISTRICT,35 - 39,BENGALI,5,,5,1,,1,4,,4,,,
ISLAMABAD,ISLAMABAD,DISTRICT,35 - 39,CHINESE,52,6,46,13,3,10,39,3,36,,,
ISLAMABAD,ISLAMABAD,DISTRICT,35 - 39,OTHERS,322,125,197,184,77,107,138,48,90,,,
ISLAMABAD,ISLAMABAD,DISTRICT,35 - 39,PAKISTANI,162734,90279,72455,79392,44533,34859,83286,45732,37554,56,14,42
ISLAMABAD,ISLAMABAD,DISTRICT,40 - 44,AFGHANI,2227,614,1613,1007,266,741,1220,348,872,,,
ISLAMABAD,ISLAMABAD,DISTRICT,40 - 44,BENGALI,7,1,6,3,1,2,4,,4,,,
ISLAMABAD,ISLAMABAD,DISTRICT,40 - 44,CHINESE,44,3,41,14,1,13,30,2,28,,,
ISLAMABAD,ISLAMABAD,DISTRICT,40 - 44,OTHERS,269,76,193,138,40,98,131,36,95,,,
ISLAMABAD,ISLAMABAD,DISTRICT,40 - 44,PAKISTANI,143780,78568,65212,67642,37068,30574,76119,41498,34621,19,2,17
ISLAMABAD,ISLAMABAD,DISTRICT,45 - 49,AFGHANI,1699,451,1248,809,212,597,890,239,651,,,
ISLAMABAD,ISLAMABAD,DISTRICT,45 - 49,BENGALI,7,1,6,4,,4,3,1,2,,,
ISLAMABAD,ISLAMABAD,DISTRICT,45 - 49,CHINESE,37,4,33,14,2,12,23,2,21,,,
ISLAMABAD,ISLAMABAD,DISTRICT,45 - 49,OTHERS,252,72,180,113,42,71,139,30,109,,,
ISLAMABAD,ISLAMABAD,DISTRICT,45 - 49,PAKISTANI,112296,60289,52007,51773,28095,23678,60512,32191,28321,11,3,8
ISLAMABAD,ISLAMABAD,DISTRICT,50 - 54,AFGHANI,1353,372,981,623,167,456,730,205,525,,,
ISLAMABAD,ISLAMABAD,DISTRICT,50 - 54,BENGALI,2,,2,1,,1,1,,1,,,
ISLAMABAD,ISLAMABAD,DISTRICT,50 - 54,CHINESE,34,1,33,5,1,4,29,,29,,,
ISLAMABAD,ISLAMABAD,DISTRICT,50 - 54,OTHERS,213,77,136,104,43,61,109,34,75,,,
ISLAMABAD,ISLAMABAD,DISTRICT,50 - 54,PAKISTANI,93047,49858,43189,42744,23406,19338,50295,26449,23846,8,3,5
ISLAMABAD,ISLAMABAD,DISTRICT,55 - 59,AFGHANI,974,248,726,478,121,357,496,127,369,,,
ISLAMABAD,ISLAMABAD,DISTRICT,55 - 59,BENGALI,1,,1,,,,1,,1,,,
ISLAMABAD,ISLAMABAD,DISTRICT,55 - 59,CHINESE,18,2,16,5,1,4,13,1,12,,,
ISLAMABAD,ISLAMABAD,DISTRICT,55 - 59,OTHERS,138,44,94,56,18,38,82,26,56,,,
ISLAMABAD,ISLAMABAD,DISTRICT,55 - 59,PAKISTANI,73716,39378,34338,33067,18316,14751,40646,21061,19585,3,1,2
ISLAMABAD,ISLAMABAD,DISTRICT,60 - 64,AFGHANI,813,209,604,395,103,292,418,106,312,,,
ISLAMABAD,ISLAMABAD,DISTRICT,60 - 64,BENGALI,5,,5,2,,2,3,,3,,,
ISLAMABAD,ISLAMABAD,DISTRICT,60 - 64,CHINESE,7,2,5,3,1,2,4,1,3,,,
ISLAMABAD,ISLAMABAD,DISTRICT,60 - 64,OTHERS,126,51,75,59,27,32,67,24,43,,,
ISLAMABAD,ISLAMABAD,DISTRICT,60 - 64,PAKISTANI,59077,33089,25988,26250,14793,11457,32824,18296,14528,3,,3
ISLAMABAD,ISLAMABAD,DISTRICT,65 - 69,AFGHANI,538,130,408,192,50,142,346,80,266,,,
ISLAMABAD,ISLAMABAD,DISTRICT,65 - 69,BENGALI,3,3,,1,1,,2,2,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,65 - 69,CHINESE,5,,5,2,,2,3,,3,,,
ISLAMABAD,ISLAMABAD,DISTRICT,65 - 69,OTHERS,61,28,33,28,11,17,33,17,16,,,
ISLAMABAD,ISLAMABAD,DISTRICT,65 - 69,PAKISTANI,41742,23337,18405,17580,9709,7871,24162,13628,10534,,,
ISLAMABAD,ISLAMABAD,DISTRICT,70 - 74,AFGHANI,329,99,230,125,43,82,204,56,148,,,
ISLAMABAD,ISLAMABAD,DISTRICT,70 - 74,BENGALI,2,1,1,1,1,,1,,1,,,
ISLAMABAD,ISLAMABAD,DISTRICT,70 - 74,CHINESE,1,,1,1,,1,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,70 - 74,OTHERS,45,19,26,17,6,11,28,13,15,,,
ISLAMABAD,ISLAMABAD,DISTRICT,70 - 74,PAKISTANI,28935,15907,13028,12182,6557,5625,16753,9350,7403,,,
ISLAMABAD,ISLAMABAD,DISTRICT,75 & ABOVE,AFGHANI,273,87,186,105,37,68,168,50,118,,,
ISLAMABAD,ISLAMABAD,DISTRICT,75 & ABOVE,BENGALI,1,,1,,,,1,,1,,,
ISLAMABAD,ISLAMABAD,DISTRICT,75 & ABOVE,CHINESE,2,,2,,,,2,,2,,,
ISLAMABAD,ISLAMABAD,DISTRICT,75 & ABOVE,OTHERS,59,17,42,35,10,25,24,7,17,,,
ISLAMABAD,ISLAMABAD,DISTRICT,75 & ABOVE,PAKISTANI,26469,13534,12935,11198,5703,5495,15271,7831,7440,,,
ISLAMABAD,ISLAMABAD,DISTRICT,ALL AGES,AFGHANI,52056,13835,38221,24312,6535,17777,27744,7300,20444,,,
ISLAMABAD,ISLAMABAD,DISTRICT,ALL AGES,BENGALI,74,17,57,35,9,26,39,8,31,,,
ISLAMABAD,ISLAMABAD,DISTRICT,ALL AGES,CHINESE,388,34,354,136,19,117,252,15,237,,,
ISLAMABAD,ISLAMABAD,DISTRICT,ALL AGES,OTHERS,3527,1310,2217,1725,704,1021,1802,606,1196,,,
ISLAMABAD,ISLAMABAD,DISTRICT,ALL AGES,PAKISTANI,2227199,1225048,1002151,1047766,583898,463868,1179163,641100,538063,270,50,220
