name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,AFGHANI,2727,1413,1314,1366,709,657,1361,704,657,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,BENGALI,1,1,,1,1,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,CHINESE,1,1,,1,1,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,OTHERS,153,113,40,82,65,17,71,48,23,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,00 - 04,PAKISTANI,163723,130956,32767,81391,65073,16318,82332,65883,16449,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,05 - 09,AFGHANI,2869,1564,1305,1379,749,630,1490,815,675,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,05 - 09,BENGALI,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,05 - 09,CHINESE,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,05 - 09,OTHERS,113,82,31,58,44,14,55,38,17,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,05 - 09,PAKISTANI,164687,130797,33890,81952,65189,16763,82735,65608,17127,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,10 - 14,AFGHANI,2559,1401,1158,1286,721,565,1273,680,593,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,10 - 14,BENGALI,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,10 - 14,CHINESE,1,1,,1,1,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,10 - 14,OTHERS,82,58,24,50,38,12,32,20,12,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,10 - 14,PAKISTANI,156990,122259,34731,77876,61002,16874,79113,61256,17857,1,1,
ABBOTTABAD,ABBOTTABAD,DISTRICT,15 - 19,AFGHANI,2172,1178,994,1065,573,492,1106,605,501,1,,1
ABBOTTABAD,ABBOTTABAD,DISTRICT,15 - 19,BENGALI,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,15 - 19,CHINESE,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,15 - 19,OTHERS,62,44,18,29,20,9,33,24,9,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,15 - 19,PAKISTANI,135762,104771,30991,67139,52114,15025,68616,52655,15961,7,2,5
ABBOTTABAD,ABBOTTABAD,DISTRICT,20 - 24,AFGHANI,1699,869,830,838,439,399,861,430,431,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,20 - 24,BENGALI,1,,1,1,,1,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,20 - 24,CHINESE,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,20 - 24,OTHERS,94,68,26,66,48,18,27,20,7,1,,1
ABBOTTABAD,ABBOTTABAD,DISTRICT,20 - 24,PAKISTANI,117336,89832,27504,58300,44611,13689,59011,45218,13793,25,3,22
ABBOTTABAD,ABBOTTABAD,DISTRICT,25 - 29,AFGHANI,1303,645,658,615,307,308,688,338,350,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,25 - 29,BENGALI,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,25 - 29,CHINESE,2,2,,1,1,,1,1,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,25 - 29,OTHERS,94,77,17,57,47,10,37,30,7,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,25 - 29,PAKISTANI,105541,82671,22870,54578,42636,11942,50950,40034,10916,13,1,12
ABBOTTABAD,ABBOTTABAD,DISTRICT,30 - 34,AFGHANI,920,488,432,461,258,203,459,230,229,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,30 - 34,BENGALI,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,30 - 34,CHINESE,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,30 - 34,OTHERS,108,85,23,72,59,13,36,26,10,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,30 - 34,PAKISTANI,96121,75182,20939,50298,39298,11000,45808,35881,9927,15,3,12
ABBOTTABAD,ABBOTTABAD,DISTRICT,35 - 39,AFGHANI,837,433,404,409,218,191,428,215,213,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,35 - 39,BENGALI,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,35 - 39,CHINESE,2,2,,1,1,,1,1,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,35 - 39,OTHERS,93,73,20,58,46,12,35,27,8,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,35 - 39,PAKISTANI,92384,71329,21055,47456,36542,10914,44920,34786,10134,8,1,7
ABBOTTABAD,ABBOTTABAD,DISTRICT,40 - 44,AFGHANI,730,396,334,373,202,171,357,194,163,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,40 - 44,BENGALI,3,2,1,2,2,,1,,1,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,40 - 44,CHINESE,1,1,,1,1,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,40 - 44,OTHERS,60,45,15,42,31,11,18,14,4,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,40 - 44,PAKISTANI,80612,61786,18826,39681,30219,9462,40921,31564,9357,10,3,7
ABBOTTABAD,ABBOTTABAD,DISTRICT,45 - 49,AFGHANI,546,297,249,247,123,124,299,174,125,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,45 - 49,BENGALI,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,45 - 49,CHINESE,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,45 - 49,OTHERS,66,48,18,36,26,10,30,22,8,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,45 - 49,PAKISTANI,63685,48370,15315,30846,23482,7364,32833,24887,7946,6,1,5
ABBOTTABAD,ABBOTTABAD,DISTRICT,50 - 54,AFGHANI,415,210,205,167,87,80,248,123,125,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,50 - 54,BENGALI,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,50 - 54,CHINESE,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,50 - 54,OTHERS,46,33,13,27,22,5,19,11,8,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,50 - 54,PAKISTANI,53656,41357,12299,26463,20623,5840,27185,20730,6455,8,4,4
ABBOTTABAD,ABBOTTABAD,DISTRICT,55 - 59,AFGHANI,303,154,149,158,85,73,145,69,76,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,55 - 59,BENGALI,1,,1,1,,1,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,55 - 59,CHINESE,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,55 - 59,OTHERS,44,38,6,28,25,3,16,13,3,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,55 - 59,PAKISTANI,44660,34875,9785,22062,17375,4687,22592,17498,5094,6,2,4
ABBOTTABAD,ABBOTTABAD,DISTRICT,60 - 64,AFGHANI,243,121,122,103,48,55,140,73,67,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,60 - 64,BENGALI,1,1,,1,1,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,60 - 64,CHINESE,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,60 - 64,OTHERS,26,22,4,13,12,1,13,10,3,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,60 - 64,PAKISTANI,36303,28343,7960,16577,13124,3453,19726,15219,4507,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,65 - 69,AFGHANI,148,84,64,58,34,24,90,50,40,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,65 - 69,BENGALI,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,65 - 69,CHINESE,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,65 - 69,OTHERS,20,11,9,12,5,7,8,6,2,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,65 - 69,PAKISTANI,25950,20394,5556,12098,9682,2416,13852,10712,3140,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,70 - 74,AFGHANI,114,63,51,46,28,18,68,35,33,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,70 - 74,BENGALI,1,,1,,,,1,,1,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,70 - 74,CHINESE,1,,1,1,,1,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,70 - 74,OTHERS,24,14,10,12,8,4,12,6,6,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,70 - 74,PAKISTANI,20488,16528,3960,9644,7911,1733,10843,8617,2226,1,,1
ABBOTTABAD,ABBOTTABAD,DISTRICT,75 & ABOVE,AFGHANI,119,63,56,50,27,23,69,36,33,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,75 & ABOVE,BENGALI,1,1,,1,1,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,75 & ABOVE,CHINESE,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,75 & ABOVE,OTHERS,25,20,5,11,9,2,14,11,3,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,75 & ABOVE,PAKISTANI,20858,17016,3842,9929,8227,1702,10927,8787,2140,2,2,
ABBOTTABAD,ABBOTTABAD,DISTRICT,ALL AGES,AFGHANI,17704,9379,8325,8621,4608,4013,9082,4771,4311,1,,1
ABBOTTABAD,ABBOTTABAD,DISTRICT,ALL AGES,BENGALI,9,5,4,7,5,2,2,,2,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,ALL AGES,CHINESE,8,7,1,6,5,1,2,2,,,,
