name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
ATTOCK,ATTOCK,DISTRICT,00 - 04,AFGHANI,12156,7340,4816,6153,3722,2431,6003,3618,2385,,,
ATTOCK,ATTOCK,DISTRICT,00 - 04,BENGALI,4,2,2,1,1,,3,1,2,,,
ATTOCK,ATTOCK,DISTRICT,00 - 04,CHINESE,1,1,,,,,1,1,,,,
ATTOCK,ATTOCK,DISTRICT,00 - 04,OTHERS,123,68,55,67,37,30,56,31,25,,,
ATTOCK,ATTOCK,DISTRICT,00 - 04,PAKISTANI,230017,168655,61362,114421,83863,30558,115596,84792,30804,,,
ATTOCK,ATTOCK,DISTRICT,05 - 09,AFGHANI,11143,6604,4539,5504,3227,2277,5639,3377,2262,,,
ATTOCK,ATTOCK,DISTRICT,05 - 09,BENGALI,4,4,,,,,4,4,,,,
ATTOCK,ATTOCK,DISTRICT,05 - 09,CHINESE,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,05 - 09,OTHERS,121,63,58,55,31,24,66,32,34,,,
ATTOCK,ATTOCK,DISTRICT,05 - 09,PAKISTANI,219894,159452,60442,109713,79625,30088,110181,79827,30354,,,
ATTOCK,ATTOCK,DISTRICT,10 - 14,AFGHANI,9779,5407,4372,4924,2716,2208,4855,2691,2164,,,
ATTOCK,ATTOCK,DISTRICT,10 - 14,BENGALI,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,10 - 14,CHINESE,2,2,,,,,2,2,,,,
ATTOCK,ATTOCK,DISTRICT,10 - 14,OTHERS,99,37,62,52,19,33,47,18,29,,,
ATTOCK,ATTOCK,DISTRICT,10 - 14,PAKISTANI,220941,158024,62917,109407,78527,30880,111533,79496,32037,1,1,
ATTOCK,ATTOCK,DISTRICT,15 - 19,AFGHANI,7454,4075,3379,3716,2016,1700,3738,2059,1679,,,
ATTOCK,ATTOCK,DISTRICT,15 - 19,BENGALI,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,15 - 19,CHINESE,2,1,1,1,,1,1,1,,,,
ATTOCK,ATTOCK,DISTRICT,15 - 19,OTHERS,92,45,47,54,29,25,38,16,22,,,
ATTOCK,ATTOCK,DISTRICT,15 - 19,PAKISTANI,192735,139254,53481,95321,69493,25828,97405,69756,27649,9,5,4
ATTOCK,ATTOCK,DISTRICT,20 - 24,AFGHANI,6166,3471,2695,3053,1719,1334,3113,1752,1361,,,
ATTOCK,ATTOCK,DISTRICT,20 - 24,BENGALI,2,1,1,2,1,1,,,,,,
ATTOCK,ATTOCK,DISTRICT,20 - 24,CHINESE,2,2,,2,2,,,,,,,
ATTOCK,ATTOCK,DISTRICT,20 - 24,OTHERS,65,29,36,30,14,16,35,15,20,,,
ATTOCK,ATTOCK,DISTRICT,20 - 24,PAKISTANI,170248,124359,45889,84956,61901,23055,85277,62456,22821,15,2,13
ATTOCK,ATTOCK,DISTRICT,25 - 29,AFGHANI,5081,2922,2159,2511,1429,1082,2570,1493,1077,,,
ATTOCK,ATTOCK,DISTRICT,25 - 29,BENGALI,3,2,1,2,1,1,1,1,,,,
ATTOCK,ATTOCK,DISTRICT,25 - 29,CHINESE,3,3,,2,2,,1,1,,,,
ATTOCK,ATTOCK,DISTRICT,25 - 29,OTHERS,74,37,37,48,25,23,26,12,14,,,
ATTOCK,ATTOCK,DISTRICT,25 - 29,PAKISTANI,160931,118492,42439,82814,60689,22125,78101,57797,20304,16,6,10
ATTOCK,ATTOCK,DISTRICT,30 - 34,AFGHANI,3711,2029,1682,1874,987,887,1837,1042,795,,,
ATTOCK,ATTOCK,DISTRICT,30 - 34,BENGALI,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,30 - 34,CHINESE,1,1,,1,1,,,,,,,
ATTOCK,ATTOCK,DISTRICT,30 - 34,OTHERS,74,38,36,46,25,21,28,13,15,,,
ATTOCK,ATTOCK,DISTRICT,30 - 34,PAKISTANI,152033,110525,41508,79400,57490,21910,72621,53035,19586,12,,12
ATTOCK,ATTOCK,DISTRICT,35 - 39,AFGHANI,3101,1629,1472,1484,759,725,1617,870,747,,,
ATTOCK,ATTOCK,DISTRICT,35 - 39,BENGALI,3,1,2,2,,2,1,1,,,,
ATTOCK,ATTOCK,DISTRICT,35 - 39,CHINESE,1,,1,1,,1,,,,,,
ATTOCK,ATTOCK,DISTRICT,35 - 39,OTHERS,53,28,25,39,22,17,14,6,8,,,
ATTOCK,ATTOCK,DISTRICT,35 - 39,PAKISTANI,146301,105509,40792,74373,53576,20797,71918,51932,19986,10,1,9
ATTOCK,ATTOCK,DISTRICT,40 - 44,AFGHANI,2651,1374,1277,1276,656,620,1375,718,657,,,
ATTOCK,ATTOCK,DISTRICT,40 - 44,BENGALI,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,40 - 44,CHINESE,2,1,1,1,,1,1,1,,,,
ATTOCK,ATTOCK,DISTRICT,40 - 44,OTHERS,49,22,27,40,19,21,9,3,6,,,
ATTOCK,ATTOCK,DISTRICT,40 - 44,PAKISTANI,127885,91795,36090,63892,46033,17859,63987,45762,18225,6,,6
ATTOCK,ATTOCK,DISTRICT,45 - 49,AFGHANI,1993,1037,956,915,461,454,1078,576,502,,,
ATTOCK,ATTOCK,DISTRICT,45 - 49,BENGALI,3,3,,1,1,,2,2,,,,
ATTOCK,ATTOCK,DISTRICT,45 - 49,CHINESE,1,1,,,,,1,1,,,,
ATTOCK,ATTOCK,DISTRICT,45 - 49,OTHERS,54,36,18,26,18,8,28,18,10,,,
ATTOCK,ATTOCK,DISTRICT,45 - 49,PAKISTANI,104411,75477,28934,50908,37263,13645,53498,38213,15285,5,1,4
ATTOCK,ATTOCK,DISTRICT,50 - 54,AFGHANI,1497,772,725,759,387,372,738,385,353,,,
ATTOCK,ATTOCK,DISTRICT,50 - 54,BENGALI,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,50 - 54,CHINESE,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,50 - 54,OTHERS,43,24,19,23,13,10,20,11,9,,,
ATTOCK,ATTOCK,DISTRICT,50 - 54,PAKISTANI,88094,65210,22884,43357,32401,10956,44733,32808,11925,4,1,3
ATTOCK,ATTOCK,DISTRICT,55 - 59,AFGHANI,1222,640,582,567,291,276,655,349,306,,,
ATTOCK,ATTOCK,DISTRICT,55 - 59,BENGALI,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,55 - 59,CHINESE,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,55 - 59,OTHERS,22,11,11,11,3,8,11,8,3,,,
ATTOCK,ATTOCK,DISTRICT,55 - 59,PAKISTANI,74211,55457,18754,35345,26590,8755,38866,28867,9999,,,
ATTOCK,ATTOCK,DISTRICT,60 - 64,AFGHANI,957,482,475,425,224,201,532,258,274,,,
ATTOCK,ATTOCK,DISTRICT,60 - 64,BENGALI,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,60 - 64,CHINESE,1,,1,1,,1,,,,,,
ATTOCK,ATTOCK,DISTRICT,60 - 64,OTHERS,26,15,11,14,8,6,12,7,5,,,
ATTOCK,ATTOCK,DISTRICT,60 - 64,PAKISTANI,60027,44883,15144,27782,20866,6916,32244,24017,8227,1,,1
ATTOCK,ATTOCK,DISTRICT,65 - 69,AFGHANI,697,365,332,335,163,172,362,202,160,,,
ATTOCK,ATTOCK,DISTRICT,65 - 69,BENGALI,,,,,,,,,,,,
