name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
AWARAN,AWARAN,DISTRICT,BALOCHI,176418,86064,90337,17,130160,63618,66530,12,46258,22446,23807,5
AWARAN,AWARAN,DISTRICT,BALTI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,BRAHVI,2095,1062,1033,,1626,835,791,,469,227,242,
AWARAN,AWARAN,DISTRICT,HINDKO,2,,2,,2,,2,,,,,
AWARAN,AWARAN,DISTRICT,KALASHA,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,KASHMIRI,82,45,37,,54,28,26,,28,17,11,
AWARAN,AWARAN,DISTRICT,KOHIOSTANI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,MEWATI,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,OTHERS,90,32,58,,86,31,55,,4,1,3,
AWARAN,AWARAN,DISTRICT,PUNJABI,12,6,6,,8,4,4,,4,2,2,
AWARAN,AWARAN,DISTRICT,PUSHTO,8,5,3,,7,5,2,,1,,1,
AWARAN,AWARAN,DISTRICT,SARAIKI,2,1,1,,,,,,2,1,1,
AWARAN,AWARAN,DISTRICT,SHINA,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,SINDHI,30,14,16,,3,2,1,,27,12,15,
AWARAN,AWARAN,DISTRICT,TOTAL,178958,87318,91623,17,132122,64594,67516,12,46836,22724,24107,5
AWARAN,AWARAN,DISTRICT,URDU,219,89,130,,176,71,105,,43,18,25,
BARKHAN,BARKHAN,DISTRICT,BALOCHI,207354,99133,108213,8,194405,92862,101536,7,12949,6271,6677,1
BARKHAN,BARKHAN,DISTRICT,BALTI,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,BRAHVI,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,HINDKO,,,,,,,,,,,,
BARKHAN,BARKHAN,DISTRICT,KALASHA,,,,,,,,,,,,
