name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ABBOTTABAD,ABBOTTABAD,DISTRICT,BALOCHI,269,120,149,,61,30,31,,208,90,118,
ABBOTTABAD,ABBOTTABAD,DISTRICT,BALTI,160,84,76,,36,25,11,,124,59,65,
ABBOTTABAD,ABBOTTABAD,DISTRICT,BRAHVI,521,265,256,,406,204,202,,115,61,54,
ABBOTTABAD,ABBOTTABAD,DISTRICT,HINDKO,1221957,608717,613200,40,983134,490493,492627,14,238823,118224,120573,26
ABBOTTABAD,ABBOTTABAD,DISTRICT,KALASHA,8,5,3,,8,5,3,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,KASHMIRI,1080,522,556,2,451,232,219,,629,290,337,2
ABBOTTABAD,ABBOTTABAD,DISTRICT,KOHIOSTANI,11744,5577,6167,,9372,4469,4903,,2372,1108,1264,
ABBOTTABAD,ABBOTTABAD,DISTRICT,MEWATI,14,8,6,,13,7,6,,1,1,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,OTHERS,22545,11392,11153,,20477,10396,10081,,2068,996,1072,
ABBOTTABAD,ABBOTTABAD,DISTRICT,PUNJABI,10401,5111,5278,12,2075,1125,950,,8326,3986,4328,12
ABBOTTABAD,ABBOTTABAD,DISTRICT,PUSHTO,81731,39748,41951,32,40835,19987,20847,1,40896,19761,21104,31
ABBOTTABAD,ABBOTTABAD,DISTRICT,SARAIKI,1722,838,873,11,562,283,272,7,1160,555,601,4
ABBOTTABAD,ABBOTTABAD,DISTRICT,SHINA,1971,948,1023,,1220,576,644,,751,372,379,
ABBOTTABAD,ABBOTTABAD,DISTRICT,SINDHI,730,326,401,3,52,24,28,,678,302,373,3
ABBOTTABAD,ABBOTTABAD,DISTRICT,TOTAL,1397587,695577,701906,104,1086688,542231,544434,23,310899,153346,157472,81
ABBOTTABAD,ABBOTTABAD,DISTRICT,URDU,42734,21916,20814,4,27986,14375,13610,1,14748,7541,7204,3
BAJAUR,BAJAUR,DISTRICT,BALOCHI,1059,559,500,,1059,559,500,,,,,
BAJAUR,BAJAUR,DISTRICT,BALTI,,,,,,,,,,,,
BAJAUR,BAJAUR,DISTRICT,BRAHVI,1,1,,,1,1,,,,,,
BAJAUR,BAJAUR,DISTRICT,HINDKO,21,12,9,,21,12,9,,,,,
BAJAUR,BAJAUR,DISTRICT,KALASHA,,,,,,,,,,,,
