name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ATTOCK,ATTOCK,DISTRICT,BALOCHI,1105,500,605,,669,305,364,,436,195,241,
ATTOCK,ATTOCK,DISTRICT,BALTI,171,85,86,,119,64,55,,52,21,31,
ATTOCK,ATTOCK,DISTRICT,BRAHVI,125,64,61,,82,45,37,,43,19,24,
ATTOCK,ATTOCK,DISTRICT,HINDKO,307305,153945,153357,3,248629,124597,124032,,58676,29348,29325,3
ATTOCK,ATTOCK,DISTRICT,KALASHA,20,8,12,,13,8,5,,7,,7,
ATTOCK,ATTOCK,DISTRICT,KASHMIRI,4224,1976,2248,,2778,1280,1498,,1446,696,750,
ATTOCK,ATTOCK,DISTRICT,KOHIOSTANI,5798,2869,2929,,3486,1699,1787,,2312,1170,1142,
ATTOCK,ATTOCK,DISTRICT,MEWATI,100,48,52,,1,,1,,99,48,51,
ATTOCK,ATTOCK,DISTRICT,OTHERS,17442,8726,8716,,3976,1928,2048,,13466,6798,6668,
ATTOCK,ATTOCK,DISTRICT,PUNJABI,1391285,692849,698372,64,1027310,512958,514335,17,363975,179891,184037,47
ATTOCK,ATTOCK,DISTRICT,PUSHTO,332481,163827,168651,3,232930,114706,118223,1,99551,49121,50428,2
ATTOCK,ATTOCK,DISTRICT,SARAIKI,8665,3894,4771,,4891,2116,2775,,3774,1778,1996,
ATTOCK,ATTOCK,DISTRICT,SHINA,782,398,384,,580,304,276,,202,94,108,
ATTOCK,ATTOCK,DISTRICT,SINDHI,6379,3278,3101,,3155,1681,1474,,3224,1597,1627,
ATTOCK,ATTOCK,DISTRICT,TOTAL,2133005,1061231,1071693,81,1546356,770599,775739,18,586649,290632,295954,63
ATTOCK,ATTOCK,DISTRICT,URDU,57123,28764,28348,11,17737,8908,8829,,39386,19856,19519,11
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,BALOCHI,708,349,359,,353,170,183,,355,179,176,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,BALTI,12,6,6,,5,2,920,,7,4,3,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,BRAHVI,71,41,30,,3,2,1,,68,39,29,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,HINDKO,958,472,486,,923,457,466,,35,15,20,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,KALASHA,2,1,1,,1,,1,,1,1,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,KASHMIRI,57,26,31,,35,19,16,,22,7,15,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,KOHIOSTANI,1,,1,,1,,3755,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,MEWATI,2592,1238,1354,,1752,832,1,,840,406,434,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OTHERS,9488,4579,4909,,7203,3448,,,2285,1131,1154,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,PUNJABI,3334877,1599601,1734927,349,2464148,1182330,1281721,97,870729,417271,453206,252
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,PUSHTO,10959,5140,5819,,8532,4065,4467,,2427,1075,1352,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,SARAIKI,61735,29677,32056,2,58584,28193,30390,1,3151,1484,1666,1
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,SHINA,,,,,,,3,,,,,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,SINDHI,4668,2493,2173,2,3466,1859,1606,1,1202,634,567,1
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,TOTAL,3544911,1701653,1842888,370,2571296,1234246,1336950,100,973615,467407,505938,270
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URDU,118783,58030,60736,17,26290,12869,13420,1,92493,45161,47316,16
BAHAWALPUR,BAHAWALPUR,DISTRICT,BALOCHI,3420,1480,1940,,1924,905,1019,,1496,575,921,
