name_admin_unit,part_of_district,admin_unit,language,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BADIN,BADIN,DISTRICT,BALOCHI,4335,2063,2272,,3703,1745,1958,,632,318,314,
BADIN,BADIN,DISTRICT,BALTI,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,BRAHVI,1419,686,733,,1299,632,667,,120,54,66,
BADIN,BADIN,DISTRICT,HINDKO,21626,10389,11236,1,18713,8987,9725,1,2913,1402,1511,
BADIN,BADIN,DISTRICT,KALASHA,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,KASHMIRI,166,80,85,1,22,12,10,,144,68,75,1
BADIN,BADIN,DISTRICT,KOHIOSTANI,221,99,122,,110,47,63,,111,52,59,
BADIN,BADIN,DISTRICT,MEWATI,1683,831,852,,1664,822,842,,19,9,10,
BADIN,BADIN,DISTRICT,OTHERS,6225,2988,3237,,4185,1962,2223,,2040,1026,1014,
BADIN,BADIN,DISTRICT,PUNJABI,53514,25586,27926,2,26342,12542,13799,1,27172,13044,14127,1
BADIN,BADIN,DISTRICT,PUSHTO,8424,3995,4428,1,2846,1394,1452,,5578,2601,2976,1
BADIN,BADIN,DISTRICT,SARAIKI,7650,3649,4001,,5396,2580,2816,,2254,1069,1185,
BADIN,BADIN,DISTRICT,SHINA,5,3,2,,,,,,5,3,2,
BADIN,BADIN,DISTRICT,SINDHI,1825829,875974,949786,69,1449282,694671,754578,33,376547,181303,195208,36
BADIN,BADIN,DISTRICT,TOTAL,1945417,933287,1012056,74,1516567,726823,789709,35,428850,206464,222347,39
BADIN,BADIN,DISTRICT,URDU,14320,6944,7376,,3005,1429,1576,,11315,5515,5800,
DADU,DADU,DISTRICT,BALOCHI,5974,2924,3050,,5791,2827,2964,,183,97,86,
DADU,DADU,DISTRICT,BALTI,,,,,,,,,,,,
DADU,DADU,DISTRICT,BRAHVI,760,359,401,,651,306,345,,109,53,56,
DADU,DADU,DISTRICT,HINDKO,401,207,194,,377,193,184,,24,14,10,
DADU,DADU,DISTRICT,KALASHA,,,,,,,,,,,,
DADU,DADU,DISTRICT,KASHMIRI,11,7,4,,10,6,4,,1,1,,
DADU,DADU,DISTRICT,KOHIOSTANI,,,,,,,,,,,,
DADU,DADU,DISTRICT,MEWATI,,,,,,,,,,,,
DADU,DADU,DISTRICT,OTHERS,425,233,192,,250,138,112,,175,95,80,
DADU,DADU,DISTRICT,PUNJABI,1962,987,975,,1227,636,591,,735,351,384,
DADU,DADU,DISTRICT,PUSHTO,1262,661,601,,926,498,428,,336,163,173,
DADU,DADU,DISTRICT,SARAIKI,2072,942,1130,,1235,564,671,,837,378,459,
DADU,DADU,DISTRICT,SHINA,1,,1,,1,,1,,,,,
DADU,DADU,DISTRICT,SINDHI,1725321,850068,875167,86,1291998,634800,657161,37,433323,215268,218006,49
DADU,DADU,DISTRICT,TOTAL,1742307,858434,883787,86,1303286,640382,662867,37,439021,218052,220920,49
DADU,DADU,DISTRICT,URDU,4118,2046,2072,,820,414,406,,3298,1632,1666,
GHOTKI,GHOTKI,DISTRICT,BALOCHI,13576,6525,7050,1,12397,5982,6414,1,1179,543,636,
GHOTKI,GHOTKI,DISTRICT,BALTI,1,,1,,,,,,1,,1,
GHOTKI,GHOTKI,DISTRICT,BRAHVI,304,151,153,,281,140,141,,23,11,12,
GHOTKI,GHOTKI,DISTRICT,HINDKO,3799,1806,1993,,2606,1246,1360,,1193,560,633,
GHOTKI,GHOTKI,DISTRICT,KALASHA,,,,,,,,,,,,
GHOTKI,GHOTKI,DISTRICT,KASHMIRI,34,14,20,,9,2,7,,25,12,13,
GHOTKI,GHOTKI,DISTRICT,KOHIOSTANI,,,,,,,,,,,,
GHOTKI,GHOTKI,DISTRICT,MEWATI,283,122,161,,95,42,53,,188,80,108,
GHOTKI,GHOTKI,DISTRICT,OTHERS,1122,525,597,,806,362,444,,316,163,153,
GHOTKI,GHOTKI,DISTRICT,PUNJABI,13605,6602,7003,,5552,2698,2854,,8053,3904,4149,
GHOTKI,GHOTKI,DISTRICT,PUSHTO,4141,2013,2128,,3002,1460,1542,,1139,553,586,
GHOTKI,GHOTKI,DISTRICT,SARAIKI,5812,2830,2982,,2705,1333,1372,,3107,1497,1610,
GHOTKI,GHOTKI,DISTRICT,SHINA,5,2,3,,,,,,5,2,3,
GHOTKI,GHOTKI,DISTRICT,SINDHI,1686586,810214,876330,42,1346798,646753,700023,22,339788,163461,176307,20
GHOTKI,GHOTKI,DISTRICT,TOTAL,1760761,846072,914642,47,1381388,663496,717869,23,379373,182576,196773,24
GHOTKI,GHOTKI,DISTRICT,URDU,31493,15268,16221,4,7137,3478,3659,,24356,11790,12562,4
HYDERABAD,HYDERABAD,DISTRICT,BALOCHI,17558,8228,9328,2,3794,1759,2035,,13764,6469,7293,2
HYDERABAD,HYDERABAD,DISTRICT,BALTI,83,34,49,,,,,,83,34,49,
HYDERABAD,HYDERABAD,DISTRICT,BRAHVI,5479,2592,2887,,2126,1025,1101,,3353,1567,1786,
HYDERABAD,HYDERABAD,DISTRICT,HINDKO,18546,8755,9790,1,3598,1715,1883,,14948,7040,7907,1
HYDERABAD,HYDERABAD,DISTRICT,KALASHA,122,59,63,,,,,,122,59,63,
HYDERABAD,HYDERABAD,DISTRICT,KASHMIRI,575,247,327,1,14,7,7,,561,240,320,1
HYDERABAD,HYDERABAD,DISTRICT,KOHIOSTANI,170,78,92,,,,,,170,78,92,
HYDERABAD,HYDERABAD,DISTRICT,MEWATI,3205,1450,1754,1,71,34,37,,3134,1416,1717,1
HYDERABAD,HYDERABAD,DISTRICT,OTHERS,56380,27130,29243,7,14080,6620,7460,,42300,20510,21783,7
HYDERABAD,HYDERABAD,DISTRICT,PUNJABI,75959,35841,40098,20,3294,1563,1731,,72665,34278,38367,20
HYDERABAD,HYDERABAD,DISTRICT,PUSHTO,68878,31592,37284,2,2423,1129,1294,,66455,30463,35990,2
HYDERABAD,HYDERABAD,DISTRICT,SARAIKI,19442,9097,10342,3,3567,1681,1886,,15875,7416,8456,3
HYDERABAD,HYDERABAD,DISTRICT,SHINA,236,97,139,,135,49,86,,101,48,53,
HYDERABAD,HYDERABAD,DISTRICT,SINDHI,1048906,487109,561742,55,374714,176755,197952,7,674192,310354,363790,48
HYDERABAD,HYDERABAD,DISTRICT,TOTAL,2432540,1143092,1289277,171,410161,193436,216718,7,2022379,949656,1072559,164
HYDERABAD,HYDERABAD,DISTRICT,URDU,1117001,530783,586139,79,2345,1099,1246,,1114656,529684,584893,79
JACOBABAD,JACOBABAD,DISTRICT,BALOCHI,76552,37508,39040,4,64081,31361,32716,4,12471,6147,6324,
JACOBABAD,JACOBABAD,DISTRICT,BALTI,5,2,3,,5,2,3,,,,,
JACOBABAD,JACOBABAD,DISTRICT,BRAHVI,25113,12627,12486,,22609,11369,11240,,2504,1258,1246,
JACOBABAD,JACOBABAD,DISTRICT,HINDKO,553,262,291,,311,141,170,,242,121,121,
JACOBABAD,JACOBABAD,DISTRICT,KALASHA,,,,,,,,,,,,
JACOBABAD,JACOBABAD,DISTRICT,KASHMIRI,55,25,30,,47,21,26,,8,4,4,
JACOBABAD,JACOBABAD,DISTRICT,KOHIOSTANI,,,,,,,,,,,,
JACOBABAD,JACOBABAD,DISTRICT,MEWATI,10,7,3,,5,4,1,,5,3,2,
JACOBABAD,JACOBABAD,DISTRICT,OTHERS,529,245,284,,261,118,143,,268,127,141,
JACOBABAD,JACOBABAD,DISTRICT,PUNJABI,2543,1269,1273,1,2067,1025,1041,1,476,244,232,
JACOBABAD,JACOBABAD,DISTRICT,PUSHTO,3510,1747,1763,,2680,1351,1329,,830,396,434,
JACOBABAD,JACOBABAD,DISTRICT,SARAIKI,8444,4289,4154,1,4171,2139,2032,,4273,2150,2122,1
JACOBABAD,JACOBABAD,DISTRICT,SHINA,3,2,1,,3,2,1,,,,,
JACOBABAD,JACOBABAD,DISTRICT,SINDHI,1052864,518276,534485,103,714845,352305,362517,23,338019,165971,171968,80
JACOBABAD,JACOBABAD,DISTRICT,TOTAL,1174097,578201,595787,109,812180,400369,411783,28,361917,177832,184004,81
JACOBABAD,JACOBABAD,DISTRICT,URDU,3916,1942,1974,,1095,531,564,,2821,1411,1410,
JAMSHORO,JAMSHORO,DISTRICT,BALOCHI,16348,7955,8392,1,12562,6136,6425,1,3786,1819,1967,
JAMSHORO,JAMSHORO,DISTRICT,BALTI,5,3,2,,,,,,5,3,2,
JAMSHORO,JAMSHORO,DISTRICT,BRAHVI,1992,983,1009,,389,182,207,,1603,801,802,
JAMSHORO,JAMSHORO,DISTRICT,HINDKO,4372,2095,2277,,2230,1050,1180,,2142,1045,1097,
JAMSHORO,JAMSHORO,DISTRICT,KALASHA,,,,,,,,,,,,
JAMSHORO,JAMSHORO,DISTRICT,KASHMIRI,229,108,121,,35,14,21,,194,94,100,
JAMSHORO,JAMSHORO,DISTRICT,KOHIOSTANI,94,45,49,,9,6,3,,85,39,46,
JAMSHORO,JAMSHORO,DISTRICT,MEWATI,397,172,225,,38,16,22,,359,156,203,
JAMSHORO,JAMSHORO,DISTRICT,OTHERS,2087,1001,1086,,975,461,514,,1112,540,572,
JAMSHORO,JAMSHORO,DISTRICT,PUNJABI,26141,12486,13654,1,2302,1105,1197,,23839,11381,12457,1
JAMSHORO,JAMSHORO,DISTRICT,PUSHTO,20880,10078,10800,2,1070,524,546,,19810,9554,10254,2
JAMSHORO,JAMSHORO,DISTRICT,SARAIKI,4613,2184,2429,,689,343,346,,3924,1841,2083,
JAMSHORO,JAMSHORO,DISTRICT,SHINA,2,1,1,,,,,,2,1,1,
JAMSHORO,JAMSHORO,DISTRICT,SINDHI,999091,482060,516968,63,574084,275509,298567,8,425007,206551,218401,55
JAMSHORO,JAMSHORO,DISTRICT,TOTAL,1117216,539157,577992,67,595470,285849,309612,9,521746,253308,268380,58
JAMSHORO,JAMSHORO,DISTRICT,URDU,40965,19986,20979,,1087,503,584,,39878,19483,20395,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,BALOCHI,11317,5409,5908,,7144,3446,3698,,4173,1963,2210,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,BALTI,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,BRAHVI,39034,19014,20020,,28322,13774,14548,,10712,5240,5472,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,HINDKO,385,163,222,,325,136,189,,60,27,33,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,KALASHA,2,1,1,,1,,1,,1,1,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,KASHMIRI,10,4,6,,8,3,5,,2,1,1,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,KOHIOSTANI,,,,,,,,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,MEWATI,380,175,205,,380,175,205,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,OTHERS,160,75,85,,89,44,45,,71,31,40,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,PUNJABI,967,450,517,,214,107,107,,753,343,410,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,PUSHTO,1364,672,692,,812,408,404,,552,264,288,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,SARAIKI,1955,917,1038,,732,319,413,,1223,598,625,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,SHINA,3,1,2,,3,1,2,,,,,
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,SINDHI,1457464,695917,761504,43,1054714,502761,551938,15,402750,193156,209566,28
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,TOTAL,1514869,723710,791116,43,1093004,521312,571677,15,421865,202398,219439,28
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,URDU,1828,912,916,,260,138,122,,1568,774,794,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,BALOCHI,33638,15273,18351,14,,,,,33638,15273,18351,14
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,BALTI,2438,1107,1330,1,,,,,2438,1107,1330,1
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,BRAHVI,6111,2816,3295,,,,,,6111,2816,3295,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,HINDKO,31693,14452,17238,3,,,,,31693,14452,17238,3
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,KALASHA,109,48,60,1,,,,,109,48,60,1
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,KASHMIRI,6493,2636,3857,,,,,,6493,2636,3857,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,KOHIOSTANI,3767,1682,2085,,,,,,3767,1682,2085,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,MEWATI,4134,1908,2226,,,,,,4134,1908,2226,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,OTHERS,100841,47845,52972,24,,,,,100841,47845,52972,24
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,PUNJABI,154238,70190,83928,120,,,,,154238,70190,83928,120
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,PUSHTO,177748,76651,101080,17,,,,,177748,76651,101080,17
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,SARAIKI,148299,64664,83548,87,,,,,148299,64664,83548,87
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,SHINA,2205,930,1275,,,,,,2205,930,1275,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,SINDHI,84881,35393,49468,20,,,,,84881,35393,49468,20
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,TOTAL,3820388,1801639,2018186,563,,,,,3820388,1801639,2018186,563
