name_admin_unit,part_of_district,admin_unit,vars,all_sexes_overall,male_overall,female_overall,tgend_overall,all_sexes_rural,male_rural,female_rural,tgend_rural,all_sexes_urban,male_urban,female_urban,tgend_urban
AWARAN,AWARAN,DISTRICT,Population >=5,147477,75605,71855,17,108951,55790,53149,12,38526,19815,18706,5
AWARAN,AWARAN,DISTRICT,Population >=10,116409,59799,56593,17,85549,43937,41600,12,30860,15862,14993,5
AWARAN,AWARAN,DISTRICT,Literate >=10,42298,26477,15816,5,28432,18173,10257,2,13866,8304,5559,3
AWARAN,AWARAN,DISTRICT,Literate %,36.34,44.28,27.95,29.41,33.23,41.36,24.66,16.67,44.93,52.35,37.08,60
AWARAN,AWARAN,DISTRICT,Ever Attended,55636,32925,22707,4,37831,22720,15110,1,17805,10205,7597,3
AWARAN,AWARAN,DISTRICT,Primary Completed,4608,2628,1980,,3220,1924,1296,,1388,704,684,
AWARAN,AWARAN,DISTRICT,Enrolment Primary,21642,11014,10628,,16366,8476,7890,,5276,2538,2738,
AWARAN,AWARAN,DISTRICT,Enrolment Middle,6554,3706,2848,,4117,2396,1721,,2437,1310,1127,
AWARAN,AWARAN,DISTRICT,Enrolment Matric,2654,1493,1160,1,1610,962,648,,1044,531,512,1
AWARAN,AWARAN,DISTRICT,Enrolment Intermidiate,2144,1276,865,3,1355,856,498,1,789,420,367,2
AWARAN,AWARAN,DISTRICT,Enrolment Graduation above,1868,1227,641,,1013,705,308,,855,522,333,
AWARAN,AWARAN,DISTRICT,Never to School (all),91841,42680,49148,13,71120,33070,38039,11,20721,9610,11109,2
AWARAN,AWARAN,DISTRICT,Drop Out (5 - 16),2511,1290,1221,,1772,919,853,,739,371,368,
AWARAN,AWARAN,DISTRICT,Never to School (5-16),30940,15393,15546,1,24400,11951,12449,,6540,3442,3097,1
AWARAN,AWARAN,DISTRICT,Out of School Children (5-16),33451,16683,16767,1,26172,12870,13302,,7279,3813,3465,1
BARKHAN,BARKHAN,DISTRICT,Population >=5,166523,86971,79544,8,154581,80835,73739,7,11942,6136,5805,1
BARKHAN,BARKHAN,DISTRICT,Population >=10,125459,65355,60096,8,115952,60482,55463,7,9507,4873,4633,1
BARKHAN,BARKHAN,DISTRICT,Literate >=10,42185,27205,14979,1,36678,23793,12884,1,5507,3412,2095,
BARKHAN,BARKHAN,DISTRICT,Literate %,33.62,41.63,24.93,12.5,31.63,39.34,23.23,14.29,57.93,70.02,45.22,
BARKHAN,BARKHAN,DISTRICT,Ever Attended,54468,39483,14984,1,47051,34940,12110,1,7417,4543,2874,
BARKHAN,BARKHAN,DISTRICT,Primary Completed,3720,2412,1308,,3258,2116,1142,,462,296,166,
BARKHAN,BARKHAN,DISTRICT,Enrolment Primary,26723,19964,6759,,24408,18638,5770,,2315,1326,989,
BARKHAN,BARKHAN,DISTRICT,Enrolment Middle,4448,2862,1586,,3710,2431,1279,,738,431,307,
BARKHAN,BARKHAN,DISTRICT,Enrolment Matric,1879,1213,666,,1600,1085,515,,279,128,151,
BARKHAN,BARKHAN,DISTRICT,Enrolment Intermidiate,1573,1046,527,,1300,912,388,,273,134,139,
BARKHAN,BARKHAN,DISTRICT,Enrolment Graduation above,1644,1184,459,1,1329,1010,318,1,315,174,141,
BARKHAN,BARKHAN,DISTRICT,Never to School (all),112055,47488,64560,7,107530,45895,61629,6,4525,1593,2931,1
BARKHAN,BARKHAN,DISTRICT,Drop Out (5 - 16),2932,1851,1081,,2401,1440,961,,531,411,120,
BARKHAN,BARKHAN,DISTRICT,Never to School (5-16),43232,16226,27002,4,42162,15868,26290,4,1070,358,712,
BARKHAN,BARKHAN,DISTRICT,Out of School Children (5-16),46164,18077,28083,4,44563,17308,27251,4,1601,769,832,
CHAGAI,CHAGAI,DISTRICT,Population >=5,216456,112809,103642,5,199586,104188,95393,5,16870,8621,8249,
CHAGAI,CHAGAI,DISTRICT,Population >=10,167188,87326,79857,5,153642,80400,73237,5,13546,6926,6620,
CHAGAI,CHAGAI,DISTRICT,Literate >=10,55416,36590,18824,2,47576,32019,15555,2,7840,4571,3269,
CHAGAI,CHAGAI,DISTRICT,Literate %,33.15,41.9,23.57,40,30.97,39.82,21.24,40,57.88,66,49.38,
CHAGAI,CHAGAI,DISTRICT,Ever Attended,67648,43079,24567,2,59475,38370,21103,2,8173,4709,3464,
CHAGAI,CHAGAI,DISTRICT,Primary Completed,7763,4835,2928,,7065,4474,2591,,698,361,337,
CHAGAI,CHAGAI,DISTRICT,Enrolment Primary,24039,12978,11061,,22230,12147,10083,,1809,831,978,
CHAGAI,CHAGAI,DISTRICT,Enrolment Middle,4909,3096,1813,,3971,2587,1384,,938,509,429,
CHAGAI,CHAGAI,DISTRICT,Enrolment Matric,1798,1143,655,,1418,947,471,,380,196,184,
CHAGAI,CHAGAI,DISTRICT,Enrolment Intermidiate,1574,1046,528,,1201,849,352,,373,197,176,
CHAGAI,CHAGAI,DISTRICT,Enrolment Graduation above,1048,690,358,,768,525,243,,280,165,115,
CHAGAI,CHAGAI,DISTRICT,Never to School (all),148808,69730,79075,3,140111,65818,74290,3,8697,3912,4785,
CHAGAI,CHAGAI,DISTRICT,Drop Out (5 - 16),5485,3047,2437,1,5020,2801,2218,1,465,246,219,
CHAGAI,CHAGAI,DISTRICT,Never to School (5-16),62706,30909,31794,3,59184,29052,30129,3,3522,1857,1665,
CHAGAI,CHAGAI,DISTRICT,Out of School Children (5-16),68191,33956,34231,4,64204,31853,32347,4,3987,2103,1884,
CHAMAN,CHAMAN,DISTRICT,Population >=5,370295,204850,165432,13,264478,147477,116989,12,105817,57373,48443,1
CHAMAN,CHAMAN,DISTRICT,Population >=10,284174,155350,128811,13,200105,110149,89944,12,84069,45201,38867,1
CHAMAN,CHAMAN,DISTRICT,Literate >=10,113577,74154,39420,3,70403,46459,23941,3,43174,27695,15479,
