name_admin_unit,part_of_district,admin_unit,vars,all_sexes_overall,male_overall,female_overall,tgend_overall,all_sexes_rural,male_rural,female_rural,tgend_rural,all_sexes_urban,male_urban,female_urban,tgend_urban
ISLAMABAD,ISLAMABAD,DISTRICT,Population >=5,2045762,1086208,959284,270,1106070,579846,526174,50,939692,506362,433110,220
ISLAMABAD,ISLAMABAD,DISTRICT,Population >=10,1797000,957253,839477,270,969739,509810,459879,50,827261,447443,379598,220
ISLAMABAD,ISLAMABAD,DISTRICT,Literate >=10,1508916,844545,664244,127,823071,454401,368646,24,685845,390144,295598,103
ISLAMABAD,ISLAMABAD,DISTRICT,Literate %,83.97,88.23,79.13,47.04,84.88,89.13,80.16,48,82.91,87.19,77.87,46.82
ISLAMABAD,ISLAMABAD,DISTRICT,Ever Attended,1708958,951633,757204,121,935795,514288,421483,24,773163,437345,335721,97
ISLAMABAD,ISLAMABAD,DISTRICT,Primary Completed,144971,76360,68599,12,83232,42627,40602,3,61739,33733,27997,9
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,275427,145524,129903,,152562,79984,72578,,122865,65540,57325,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,129238,68805,60429,4,71930,37489,34440,1,57308,31316,25989,3
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,79643,41570,38069,4,44545,22841,21703,1,35098,18729,16366,3
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,60748,32772,27976,,33250,17692,15558,,27498,15080,12418,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,94117,47972,46141,4,46158,23124,23031,3,47959,24848,23110,1
ISLAMABAD,ISLAMABAD,DISTRICT,Never to School (all),336804,134575,202080,149,170275,65558,104691,26,166529,69017,97389,123
ISLAMABAD,ISLAMABAD,DISTRICT,Drop Out (5 - 16),48650,27905,20744,1,25120,13971,11149,,23530,13934,9595,1
ISLAMABAD,ISLAMABAD,DISTRICT,Never to School (5-16),40477,19944,20531,2,18552,9444,9107,1,21925,10500,11424,1
ISLAMABAD,ISLAMABAD,DISTRICT,Out of School Children (5-16),89127,47849,41275,3,43672,23415,20256,1,45455,24434,21019,2
