name_admin_unit,part_of_district,admin_unit,vars,all_sexes_overall,male_overall,female_overall,tgend_overall,all_sexes_rural,male_rural,female_rural,tgend_rural,all_sexes_urban,male_urban,female_urban,tgend_urban
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population >=5,1230982,618142,612736,104,954204,477799,476382,23,276778,140343,136354,81
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population >=10,1063313,533862,529347,104,821761,411338,410400,23,241552,122524,118947,81
ABBOTTABAD,ABBOTTABAD,DISTRICT,Literate >=10,822410,460172,362194,44,617557,349404,268139,14,204853,110768,94055,30
ABBOTTABAD,ABBOTTABAD,DISTRICT,Literate %,77.34,86.2,68.42,42.31,75.15000000000001,84.94,65.34,60.87,84.81,90.41,79.06999999999999,37.04
ABBOTTABAD,ABBOTTABAD,DISTRICT,Ever Attended,973225,537430,435756,39,738532,411265,327257,10,234693,126165,108499,29
ABBOTTABAD,ABBOTTABAD,DISTRICT,Primary Completed,112363,53631,58723,9,94705,45289,49413,3,17658,8342,9310,6
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Primary,193388,97757,95631,,153506,77654,75852,,39882,20103,19779,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Middle,87369,44833,42536,,67575,34635,32940,,19794,10198,9596,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Matric,49289,25383,23903,3,36705,19083,17620,2,12584,6300,6283,1
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Intermidiate,34065,18066,15999,,24134,12816,11318,,9931,5250,4681,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Graduation above,34155,16797,17356,2,19305,9746,9557,2,14850,7051,7799,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Never to School (all),257757,80712,176980,65,215672,66534,149125,13,42085,14178,27855,52
ABBOTTABAD,ABBOTTABAD,DISTRICT,Drop Out (5 - 16),26506,12369,14136,1,21859,9845,12014,,4647,2524,2122,1
