name_admin_unit,part_of_district,admin_unit,vars,all_sexes_overall,male_overall,female_overall,tgend_overall,all_sexes_rural,male_rural,female_rural,tgend_rural,all_sexes_urban,male_urban,female_urban,tgend_urban
ATTOCK,ATTOCK,DISTRICT,Population >=5,1890704,950034,940589,81,1370290,687296,682976,18,520414,262738,257613,63
ATTOCK,ATTOCK,DISTRICT,Population >=10,1659542,834144,825317,81,1204167,604056,600093,18,455375,230088,225224,63
ATTOCK,ATTOCK,DISTRICT,Literate >=10,1165399,664721,500631,47,809399,469630,339756,13,356000,195091,160875,34
ATTOCK,ATTOCK,DISTRICT,Literate %,70.22,79.69,60.66,58.02,67.22,77.75,56.62,72.22,78.18000000000001,84.79000000000001,71.43000000000001,53.97
ATTOCK,ATTOCK,DISTRICT,Ever Attended,1350821,761535,589239,47,945205,540859,404333,13,405616,220676,184906,34
ATTOCK,ATTOCK,DISTRICT,Primary Completed,190969,96242,94720,7,147698,74296,73400,2,43271,21946,21320,5
ATTOCK,ATTOCK,DISTRICT,Enrolment Primary,254799,130710,124088,1,185510,95331,90179,,69289,35379,33909,1
ATTOCK,ATTOCK,DISTRICT,Enrolment Middle,120545,61132,59413,,85668,43675,41993,,34877,17457,17420,
ATTOCK,ATTOCK,DISTRICT,Enrolment Matric,68621,35187,33433,1,46190,23777,22412,1,22431,11410,11021,
ATTOCK,ATTOCK,DISTRICT,Enrolment Intermidiate,37189,18856,18331,2,22611,11377,11232,2,14578,7479,7099,
ATTOCK,ATTOCK,DISTRICT,Enrolment Graduation above,28239,12018,16221,,14586,6116,8470,,13653,5902,7751,
ATTOCK,ATTOCK,DISTRICT,Never to School (all),539883,188499,351350,34,425085,146437,278643,5,114798,42062,72707,29
ATTOCK,ATTOCK,DISTRICT,Drop Out (5 - 16),51281,26382,24896,3,38376,19183,19192,1,12905,7199,5704,2
ATTOCK,ATTOCK,DISTRICT,Never to School (5-16),45514,19531,25983,,30620,12150,18470,,14894,7381,7513,
ATTOCK,ATTOCK,DISTRICT,Out of School Children (5-16),96795,45913,50879,3,68996,31333,37662,1,27799,14580,13217,2
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Population >=5,3052233,1587383,1464480,370,2198870,1143542,1055228,100,853363,443841,409252,270
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Population >=10,2572990,1336838,1235782,370,1840974,956344,884530,100,732016,380494,351252,270
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Literate >=10,1466956,849522,617265,169,948364,564611,383729,24,518592,284911,233536,145
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Literate %,57.01,63.55,49.95,45.68,51.51,59.04,43.38,24,70.84,74.88,66.48999999999999,53.7
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Ever Attended,1768286,1011655,756510,121,1159763,679083,480664,16,608523,332572,275846,105
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Primary Completed,308833,174875,133932,26,219569,125283,94281,5,89264,49592,39651,21
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Enrolment Primary,448294,238815,209478,1,322619,172332,150287,,125675,66483,59191,1
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Enrolment Middle,174042,92763,81275,4,117351,64009,53340,2,56691,28754,27935,2
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Enrolment Matric,86397,45086,41310,1,51834,28226,23607,1,34563,16860,17703,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Enrolment Intermidiate,45624,23336,22287,1,25348,13606,11742,,20276,9730,10545,1
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Enrolment Graduation above,45036,20641,24394,1,20863,10337,10526,,24173,10304,13868,1
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Never to School (all),1283947,575728,707970,249,1039107,464459,574564,84,244840,111269,133406,165
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Drop Out (5 - 16),113073,64779,48293,1,84740,47325,37414,1,28333,17454,10879,
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Never to School (5-16),231808,115622,116164,22,197597,96216,101364,17,34211,19406,14800,5
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Out of School Children (5-16),344881,180401,164457,23,282337,143541,138778,18,62544,36860,25679,5
BAHAWALPUR,BAHAWALPUR,DISTRICT,Population >=5,3616066,1838005,1777592,469,2236799,1135703,1100959,137,1379267,702302,676633,332
BAHAWALPUR,BAHAWALPUR,DISTRICT,Population >=10,3033056,1544062,1488525,469,1851961,941838,909986,137,1181095,602224,578539,332
BAHAWALPUR,BAHAWALPUR,DISTRICT,Literate >=10,1618280,917138,700943,199,818743,484758,333945,40,799537,432380,366998,159
BAHAWALPUR,BAHAWALPUR,DISTRICT,Literate %,53.35,59.4,47.09,42.43,44.21,51.47,36.7,29.2,67.69,71.8,63.44,47.89
BAHAWALPUR,BAHAWALPUR,DISTRICT,Ever Attended,1934371,1080286,853900,185,996780,575413,421328,39,937591,504873,432572,146
BAHAWALPUR,BAHAWALPUR,DISTRICT,Primary Completed,286915,164098,122762,55,172433,101762,70665,6,114482,62336,52097,49
BAHAWALPUR,BAHAWALPUR,DISTRICT,Enrolment Primary,492608,253881,238727,,290719,148909,141810,,201889,104972,96917,
BAHAWALPUR,BAHAWALPUR,DISTRICT,Enrolment Middle,163590,80815,82767,8,85279,43937,41341,1,78311,36878,41426,7
BAHAWALPUR,BAHAWALPUR,DISTRICT,Enrolment Matric,93014,47279,45731,4,41390,21937,19450,3,51624,25342,26281,1
BAHAWALPUR,BAHAWALPUR,DISTRICT,Enrolment Intermidiate,54710,27625,27084,1,21882,11280,10602,,32828,16345,16482,1
BAHAWALPUR,BAHAWALPUR,DISTRICT,Enrolment Graduation above,81124,39243,41878,3,21399,10411,10988,,59725,28832,30890,3
BAHAWALPUR,BAHAWALPUR,DISTRICT,Never to School (all),1681695,757719,923692,284,1240019,560290,679631,98,441676,197429,244061,186
BAHAWALPUR,BAHAWALPUR,DISTRICT,Drop Out (5 - 16),111783,59776,52002,5,74161,38888,35270,3,37622,20888,16732,2
BAHAWALPUR,BAHAWALPUR,DISTRICT,Never to School (5-16),375981,180622,195337,22,305572,146944,158617,11,70409,33678,36720,11
BAHAWALPUR,BAHAWALPUR,DISTRICT,Out of School Children (5-16),487764,240398,247339,27,379733,185832,193887,14,108031,54566,53452,13
BHAKKAR,BHAKKAR,DISTRICT,Population >=5,1606888,827587,779224,77,1314440,677043,637361,36,292448,150544,141863,41
BHAKKAR,BHAKKAR,DISTRICT,Population >=10,1363047,701466,661504,77,1110791,571552,539203,36,252256,129914,122301,41
BHAKKAR,BHAKKAR,DISTRICT,Literate >=10,758886,468657,290207,22,578101,366341,211748,12,180785,102316,78459,10
BHAKKAR,BHAKKAR,DISTRICT,Literate %,55.68,66.81,43.87,28.57,52.04,64.09999999999999,39.27,33.33,71.67,78.76000000000001,64.15000000000001,24.39
BHAKKAR,BHAKKAR,DISTRICT,Ever Attended,928955,560466,368468,21,716692,442435,274243,14,212263,118031,94225,7
BHAKKAR,BHAKKAR,DISTRICT,Primary Completed,153390,85994,67394,2,124607,70490,54115,2,28783,15504,13279,
BHAKKAR,BHAKKAR,DISTRICT,Enrolment Primary,243902,130401,113501,,200459,108321,92138,,43443,22080,21363,
BHAKKAR,BHAKKAR,DISTRICT,Enrolment Middle,91170,50512,40656,2,72143,40967,31174,2,19027,9545,9482,
BHAKKAR,BHAKKAR,DISTRICT,Enrolment Matric,48656,28619,20036,1,36910,22489,14420,1,11746,6130,5616,
BHAKKAR,BHAKKAR,DISTRICT,Enrolment Intermidiate,25549,14743,10805,1,18010,10948,7061,1,7539,3795,3744,
BHAKKAR,BHAKKAR,DISTRICT,Enrolment Graduation above,24029,12618,11409,2,15354,8739,6613,2,8675,3879,4796,
BHAKKAR,BHAKKAR,DISTRICT,Never to School (all),677933,267121,410756,56,597748,234608,363118,22,80185,32513,47638,34
BHAKKAR,BHAKKAR,DISTRICT,Drop Out (5 - 16),50087,26249,23837,1,43375,22164,21211,,6712,4085,2626,1
BHAKKAR,BHAKKAR,DISTRICT,Never to School (5-16),104265,45660,58601,4,94197,39564,54629,4,10068,6096,3972,
BHAKKAR,BHAKKAR,DISTRICT,Out of School Children (5-16),154352,71909,82438,5,137572,61728,75840,4,16780,10181,6598,1
CHAKWAL,CHAKWAL,DISTRICT,Population >=5,1508682,752385,756208,89,1132623,562234,570374,15,376059,190151,185834,74
CHAKWAL,CHAKWAL,DISTRICT,Population >=10,1333288,663978,669221,89,1003541,497029,506497,15,329747,166949,162724,74
CHAKWAL,CHAKWAL,DISTRICT,Literate >=10,1037126,571819,465260,47,771903,428840,343053,10,265223,142979,122207,37
CHAKWAL,CHAKWAL,DISTRICT,Literate %,77.79000000000001,86.12,69.52,52.81,76.92,86.28,67.73,66.67,80.43000000000001,85.64,75.09999999999999,50
CHAKWAL,CHAKWAL,DISTRICT,Ever Attended,1182981,648833,534112,36,880427,487415,393005,7,302554,161418,141107,29
CHAKWAL,CHAKWAL,DISTRICT,Primary Completed,154910,68352,86548,10,121857,52292,69565,,33053,16060,16983,10
CHAKWAL,CHAKWAL,DISTRICT,Enrolment Primary,193050,100092,92958,,143690,75422,68268,,49360,24670,24690,
CHAKWAL,CHAKWAL,DISTRICT,Enrolment Middle,92698,48873,43825,,69190,36420,32770,,23508,12453,11055,
CHAKWAL,CHAKWAL,DISTRICT,Enrolment Matric,58681,31469,27211,1,42614,22787,19826,1,16067,8682,7385,
CHAKWAL,CHAKWAL,DISTRICT,Enrolment Intermidiate,32851,16693,16156,2,22368,11212,11155,1,10483,5481,5001,1
CHAKWAL,CHAKWAL,DISTRICT,Enrolment Graduation above,24187,8866,15320,1,14882,5057,9825,,9305,3809,5495,1
CHAKWAL,CHAKWAL,DISTRICT,Never to School (all),325701,103552,222096,53,252196,74819,177369,8,73505,28733,44727,45
