name_admin_unit,part_of_district,admin_unit,vars,all_sexes_overall,male_overall,female_overall,tgend_overall,all_sexes_rural,male_rural,female_rural,tgend_rural,all_sexes_urban,male_urban,female_urban,tgend_urban
BADIN,BADIN,DISTRICT,Population >=5,1634553,851965,782514,74,1266627,661001,605591,35,367926,190964,176923,39
BADIN,BADIN,DISTRICT,Population >=10,1319868,686776,633018,74,1014278,528274,485969,35,305590,158502,147049,39
BADIN,BADIN,DISTRICT,Literate >=10,483693,319073,164601,19,319681,219561,100112,8,164012,99512,64489,11
BADIN,BADIN,DISTRICT,Literate %,36.65,46.46,26,25.68,31.52,41.56,20.6,22.86,53.67,62.78,43.86,28.21
BADIN,BADIN,DISTRICT,Ever Attended,537883,363222,174644,17,352365,248905,103454,6,185518,114317,71190,11
BADIN,BADIN,DISTRICT,Primary Completed,99627,63312,36308,7,70994,46933,24058,3,28633,16379,12250,4
BADIN,BADIN,DISTRICT,Enrolment Primary,172897,108082,64815,,122356,78333,44023,,50541,29749,20792,
BADIN,BADIN,DISTRICT,Enrolment Middle,47182,32032,15150,,32322,23450,8872,,14860,8582,6278,
BADIN,BADIN,DISTRICT,Enrolment Matric,18822,12949,5871,2,11170,8212,2956,2,7652,4737,2915,
BADIN,BADIN,DISTRICT,Enrolment Intermidiate,15446,10986,4460,,9144,7222,1922,,6302,3764,2538,
BADIN,BADIN,DISTRICT,Enrolment Graduation above,15145,10557,4588,,7460,5999,1461,,7685,4558,3127,
BADIN,BADIN,DISTRICT,Never to School (all),1096670,488743,607870,57,914262,412096,502137,29,182408,76647,105733,28
BADIN,BADIN,DISTRICT,Drop Out (5 - 16),29241,15526,13713,2,21473,11492,9979,2,7768,4034,3734,
BADIN,BADIN,DISTRICT,Never to School (5-16),352143,161155,190973,15,304584,141015,163555,14,47559,20140,27418,1
BADIN,BADIN,DISTRICT,Out of School Children (5-16),381384,176681,204686,17,326057,152507,173534,16,55327,24174,31152,1
DADU,DADU,DISTRICT,Population >=5,1468388,746067,722235,86,1092770,557198,535535,37,375618,188869,186700,49
DADU,DADU,DISTRICT,Population >=10,1199047,610243,588718,86,885450,452625,432788,37,313597,157618,155930,49
