name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,10 - 12,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,13 - 14,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,15 - 24,79569,39557,40008,4,39250,19778,19469,3,40319,19779,20539,1
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,15 - 49,93858,46065,47789,4,46035,22996,23036,3,47823,23069,24753,1
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,25 - 40,13759,6306,7453,,6539,3128,3411,,7220,3178,4042,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,41 - 60,735,264,471,,337,114,223,,398,150,248,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,5 - 16,2273,1287,986,,1078,576,502,,1195,711,484,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,5 - 9,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,>18,75736,36506,39226,4,36910,18162,18745,3,38826,18344,20481,1
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,>60,54,14,40,,32,11,21,,22,3,19,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,10 - 12,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,13 - 14,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,15 - 24,59183,27384,31799,,32424,15240,17184,,26759,12144,14615,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,15 - 49,60603,27937,32666,,33170,15539,17631,,27433,12398,15035,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,25 - 40,1233,473,760,,650,260,390,,583,213,370,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,41 - 60,288,104,184,,155,51,104,,133,53,80,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,5 - 16,22640,11404,11236,,12003,6037,5966,,10637,5367,5270,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,5 - 9,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,>18,13969,5591,8378,,7752,3196,4556,,6217,2395,3822,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,>60,44,15,29,,21,7,14,,23,8,15,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,10 - 12,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,13 - 14,39085,20623,18461,1,20686,11205,9481,,18399,9418,8980,1
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,15 - 24,40558,17446,23109,3,23859,10498,13360,1,16699,6948,9749,2
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,15 - 49,40558,17446,23109,3,23859,10498,13360,1,16699,6948,9749,2
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,25 - 40,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,41 - 60,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,5 - 16,68972,34102,34867,3,38419,19329,19089,1,30553,14773,15778,2
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,5 - 9,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,>18,2510,900,1609,1,1281,538,743,,1229,362,866,1
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,>60,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,10 - 12,80479,38892,41587,,44772,22164,22608,,35707,16728,18979,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,13 - 14,38228,17086,21140,2,21364,9749,11615,,16864,7337,9525,2
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,15 - 24,10531,4451,6078,2,5794,2527,3266,1,4737,1924,2812,1
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,15 - 49,10531,4451,6078,2,5794,2527,3266,1,4737,1924,2812,1
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,25 - 40,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,41 - 60,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,5 - 16,127192,59527,67662,3,70819,33942,36877,,56373,25585,30785,3
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,5 - 9,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,>18,516,233,283,,277,120,157,,239,113,126,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,>60,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,10 - 12,50940,22463,28477,,28500,12838,15662,,22440,9625,12815,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,13 - 14,5122,2016,3106,,2709,1082,1627,,2413,934,1479,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,15 - 24,1059,457,602,,520,236,284,,539,221,318,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,15 - 49,1059,457,602,,520,236,284,,539,221,318,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,25 - 40,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,41 - 60,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Primary,5 - 16,275109,129743,145366,,152404,72495,79909,,122705,57248,65457,
