name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Graduation above,10 - 12,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Graduation above,13 - 14,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Graduation above,15 - 24,30913,15983,14928,2,17566,8829,8735,2,13347,7154,6193,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Graduation above,15 - 49,34039,17336,16701,2,19254,9546,9706,2,14785,7790,6995,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Graduation above,25 - 40,2946,1287,1659,,1593,682,911,,1353,605,748,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Graduation above,41 - 60,277,85,192,,142,45,97,,135,40,95,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Graduation above,5 - 16,789,466,323,,595,351,244,,194,115,79,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Graduation above,5 - 9,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Graduation above,>18,26708,13526,13180,2,14291,7031,7258,2,12417,6495,5922,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Graduation above,>60,19,1,18,,4,1,3,,15,,15,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Intermidiate,10 - 12,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Intermidiate,13 - 14,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Intermidiate,15 - 24,33294,15726,17568,,23552,11122,12430,,9742,4604,5138,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Intermidiate,15 - 49,33970,15977,17993,,24068,11303,12765,,9902,4674,5228,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Intermidiate,25 - 40,515,197,318,,395,144,251,,120,53,67,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Intermidiate,41 - 60,225,68,157,,166,47,119,,59,21,38,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Intermidiate,5 - 16,12138,6114,6024,,9057,4538,4519,,3081,1576,1505,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Intermidiate,5 - 9,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Intermidiate,>18,6901,2986,3915,,4815,2068,2747,,2086,918,1168,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Intermidiate,>60,31,8,23,,21,5,16,,10,3,7,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Matric,10 - 12,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Matric,13 - 14,20750,10619,10130,1,15625,7842,7782,1,5125,2777,2348,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Matric,15 - 24,28539,13284,15253,2,21080,9778,11301,1,7459,3506,3952,1
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Matric,15 - 49,28539,13284,15253,2,21080,9778,11301,1,7459,3506,3952,1
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Matric,25 - 40,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Matric,41 - 60,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Matric,5 - 16,42617,20903,21712,2,31662,15352,16309,1,10955,5551,5403,1
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Matric,5 - 9,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Matric,>18,1080,458,622,,809,348,461,,271,110,161,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Matric,>60,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Middle,10 - 12,50269,25252,25017,,38673,19461,19212,,11596,5791,5805,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Middle,13 - 14,29969,14281,15688,,23284,11099,12185,,6685,3182,3503,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Middle,15 - 24,7131,3003,4128,,5618,2380,3238,,1513,623,890,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Middle,15 - 49,7131,3003,4128,,5618,2380,3238,,1513,623,890,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Middle,25 - 40,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Middle,41 - 60,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Middle,5 - 16,86231,42033,44198,,66667,32542,34125,,19564,9491,10073,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Middle,5 - 9,,,,,,,,,,,,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Middle,>18,301,132,169,,244,109,135,,57,23,34,
ABBOTTABAD,ABBOTTABAD,DISTRICT,Enrolment Middle,>60,,,,,,,,,,,,
