name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
AWARAN,AWARAN,DISTRICT,Enrolment Graduation ab,11 - 13,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Graduation ab,14 - 15,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Graduation ab,15 - 24,1560,534,1026,,822,254,568,,738,280,458,
AWARAN,AWARAN,DISTRICT,Enrolment Graduation ab,15 - 49,1862,639,1223,,1008,306,702,,854,333,521,
AWARAN,AWARAN,DISTRICT,Enrolment Graduation ab,25 - 40,286,99,187,,174,48,126,,112,51,61,
AWARAN,AWARAN,DISTRICT,Enrolment Graduation ab,41 - 60,22,8,14,,17,6,11,,5,2,3,
AWARAN,AWARAN,DISTRICT,Enrolment Graduation ab,5,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Graduation ab,5 - 16,117,56,61,,58,27,31,,59,29,30,
AWARAN,AWARAN,DISTRICT,Enrolment Graduation ab,6 - 10,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Graduation ab,>18,1274,410,864,,701,199,502,,573,211,362,
AWARAN,AWARAN,DISTRICT,Enrolment Graduation ab,>60,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Intermidiate,11 - 13,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Intermidiate,14 - 15,510,215,295,,274,103,171,,236,112,124,
AWARAN,AWARAN,DISTRICT,Enrolment Intermidiate,15 - 24,1982,811,1168,3,1228,460,767,1,754,351,401,2
AWARAN,AWARAN,DISTRICT,Enrolment Intermidiate,15 - 49,2125,860,1262,3,1338,493,844,1,787,367,418,2
AWARAN,AWARAN,DISTRICT,Enrolment Intermidiate,25 - 40,127,44,83,,96,28,68,,31,16,15,
AWARAN,AWARAN,DISTRICT,Enrolment Intermidiate,41 - 60,32,9,23,,29,9,20,,3,,3,
AWARAN,AWARAN,DISTRICT,Enrolment Intermidiate,5,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Intermidiate,5 - 16,961,404,555,2,560,219,340,1,401,185,215,1
AWARAN,AWARAN,DISTRICT,Enrolment Intermidiate,6 - 10,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Intermidiate,>18,549,188,361,,385,113,272,,164,75,89,
AWARAN,AWARAN,DISTRICT,Enrolment Intermidiate,>60,3,1,2,,2,1,1,,1,,1,
AWARAN,AWARAN,DISTRICT,Enrolment Matric,11 - 13,599,268,331,,347,139,208,,252,129,123,
AWARAN,AWARAN,DISTRICT,Enrolment Matric,14 - 15,1353,588,764,1,796,325,471,,557,263,293,1
AWARAN,AWARAN,DISTRICT,Enrolment Matric,15 - 24,1130,481,649,,737,290,447,,393,191,202,
AWARAN,AWARAN,DISTRICT,Enrolment Matric,15 - 49,1130,481,649,,737,290,447,,393,191,202,
AWARAN,AWARAN,DISTRICT,Enrolment Matric,25 - 40,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Matric,41 - 60,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Matric,5,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Matric,5 - 16,2232,977,1254,1,1323,538,785,,909,439,469,1
AWARAN,AWARAN,DISTRICT,Enrolment Matric,6 - 10,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Matric,>18,164,71,93,,119,49,70,,45,22,23,
AWARAN,AWARAN,DISTRICT,Enrolment Matric,>60,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Middle,11 - 13,4068,1790,2278,,2446,1044,1402,,1622,746,876,
AWARAN,AWARAN,DISTRICT,Enrolment Middle,14 - 15,889,404,485,,644,276,368,,245,128,117,
AWARAN,AWARAN,DISTRICT,Enrolment Middle,15 - 24,783,326,457,,566,223,343,,217,103,114,
AWARAN,AWARAN,DISTRICT,Enrolment Middle,15 - 49,783,326,457,,566,223,343,,217,103,114,
AWARAN,AWARAN,DISTRICT,Enrolment Middle,25 - 40,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Middle,41 - 60,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Middle,5,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Middle,5 - 16,6301,2753,3548,,3938,1657,2281,,2363,1096,1267,
AWARAN,AWARAN,DISTRICT,Enrolment Middle,6 - 10,1157,493,664,,702,288,414,,455,205,250,
AWARAN,AWARAN,DISTRICT,Enrolment Middle,>18,94,33,61,,62,24,38,,32,9,23,
AWARAN,AWARAN,DISTRICT,Enrolment Middle,>60,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Primary,11 - 13,1581,761,820,,1225,586,639,,356,175,181,
AWARAN,AWARAN,DISTRICT,Enrolment Primary,14 - 15,230,118,112,,174,87,87,,56,31,25,
AWARAN,AWARAN,DISTRICT,Enrolment Primary,15 - 24,190,92,98,,152,64,88,,38,28,10,
AWARAN,AWARAN,DISTRICT,Enrolment Primary,15 - 49,190,92,98,,152,64,88,,38,28,10,
AWARAN,AWARAN,DISTRICT,Enrolment Primary,25 - 40,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Primary,41 - 60,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Enrolment Primary,5,2745,1361,1384,,1951,932,1019,,794,429,365,
AWARAN,AWARAN,DISTRICT,Enrolment Primary,5 - 16,21559,10595,10964,,16298,7868,8430,,5261,2727,2534,
AWARAN,AWARAN,DISTRICT,Enrolment Primary,6 - 10,16965,8334,8631,,12922,6251,6671,,4043,2083,1960,
AWARAN,AWARAN,DISTRICT,Enrolment Primary,>18,37,15,22,,28,8,20,,9,7,2,
AWARAN,AWARAN,DISTRICT,Enrolment Primary,>60,,,,,,,,,,,,
AWARAN,AWARAN,DISTRICT,Ever Attended,11 - 13,6955,3159,3796,,4526,2008,2518,,2429,1151,1278,
AWARAN,AWARAN,DISTRICT,Ever Attended,14 - 15,3828,1747,2080,1,2469,1077,1392,,1359,670,688,1
AWARAN,AWARAN,DISTRICT,Ever Attended,15 - 24,11628,4692,6933,3,7367,2819,4547,1,4261,1873,2386,2
AWARAN,AWARAN,DISTRICT,Ever Attended,15 - 49,23397,7931,15463,3,14801,4674,10126,1,8596,3257,5337,2
AWARAN,AWARAN,DISTRICT,Ever Attended,25 - 40,9311,2856,6455,,5901,1626,4275,,3410,1230,2180,
