name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,11 - 13,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,14 - 15,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,15 - 24,79569,39557,40008,4,39250,19778,19469,3,40319,19779,20539,1
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,15 - 49,93858,46065,47789,4,46035,22996,23036,3,47823,23069,24753,1
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,25 - 40,13759,6306,7453,,6539,3128,3411,,7220,3178,4042,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,41 - 60,735,264,471,,337,114,223,,398,150,248,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,5,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,5 - 16,2273,1287,986,,1078,576,502,,1195,711,484,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,6 - 10,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,>18,75736,36506,39226,4,36910,18162,18745,3,38826,18344,20481,1
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Graduation above,>60,54,14,40,,32,11,21,,22,3,19,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,11 - 13,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,14 - 15,9037,4696,4341,,4555,2410,2145,,4482,2286,2196,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,15 - 24,59183,27384,31799,,32424,15240,17184,,26759,12144,14615,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,15 - 49,60603,27937,32666,,33170,15539,17631,,27433,12398,15035,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,25 - 40,1233,473,760,,650,260,390,,583,213,370,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,41 - 60,288,104,184,,155,51,104,,133,53,80,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,5,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,5 - 16,22640,11404,11236,,12003,6037,5966,,10637,5367,5270,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,6 - 10,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,>18,13969,5591,8378,,7752,3196,4556,,6217,2395,3822,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Intermidiate,>60,44,15,29,,21,7,14,,23,8,15,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,11 - 13,13947,7765,6182,,7192,4185,3007,,6755,3580,3175,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,14 - 15,42858,21049,21806,3,23987,11902,12084,1,18871,9147,9722,2
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,15 - 24,40558,17446,23109,3,23859,10498,13360,1,16699,6948,9749,2
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,15 - 49,40558,17446,23109,3,23859,10498,13360,1,16699,6948,9749,2
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,25 - 40,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,41 - 60,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,5,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,5 - 16,68972,34102,34867,3,38419,19329,19089,1,30553,14773,15778,2
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,6 - 10,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,>18,2510,900,1609,1,1281,538,743,,1229,362,866,1
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Matric,>60,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,11 - 13,90424,43040,47384,,50337,24557,25780,,40087,18483,21604,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,14 - 15,19738,8381,11355,2,11017,4795,6222,,8721,3586,5133,2
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,15 - 24,10531,4451,6078,2,5794,2527,3266,1,4737,1924,2812,1
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,15 - 49,10531,4451,6078,2,5794,2527,3266,1,4737,1924,2812,1
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,25 - 40,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,41 - 60,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,5,,,,,,,,,,,,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,5 - 16,127192,59527,67662,3,70819,33942,36877,,56373,25585,30785,3
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,6 - 10,14403,7049,7354,,8073,3990,4083,,6330,3059,3271,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,>18,516,233,283,,277,120,157,,239,113,126,
ISLAMABAD,ISLAMABAD,DISTRICT,Enrolment Middle,>60,,,,,,,,,,,,
