name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
ATTOCK,ATTOCK,DISTRICT,Enrolment Graduation above,11 - 13,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,Enrolment Graduation above,14 - 15,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,Enrolment Graduation above,15 - 24,24525,14258,10267,,12706,7460,5246,,11819,6798,5021,
ATTOCK,ATTOCK,DISTRICT,Enrolment Graduation above,15 - 49,28156,16205,11951,,14545,8463,6082,,13611,7742,5869,
ATTOCK,ATTOCK,DISTRICT,Enrolment Graduation above,25 - 40,3473,1891,1582,,1771,984,787,,1702,907,795,
ATTOCK,ATTOCK,DISTRICT,Enrolment Graduation above,41 - 60,223,70,153,,99,25,74,,124,45,79,
ATTOCK,ATTOCK,DISTRICT,Enrolment Graduation above,5,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,Enrolment Graduation above,5 - 16,687,457,230,,416,281,135,,271,176,95,
ATTOCK,ATTOCK,DISTRICT,Enrolment Graduation above,6 - 10,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,Enrolment Graduation above,>18,22237,12588,9649,,11119,6382,4737,,11118,6206,4912,
ATTOCK,ATTOCK,DISTRICT,Enrolment Graduation above,>60,18,2,16,,10,1,9,,8,1,7,
ATTOCK,ATTOCK,DISTRICT,Enrolment Intermidiate,11 - 13,,,,,,,,,,,,
ATTOCK,ATTOCK,DISTRICT,Enrolment Intermidiate,14 - 15,4634,2533,2100,1,3042,1643,1398,1,1592,890,702,
ATTOCK,ATTOCK,DISTRICT,Enrolment Intermidiate,15 - 24,36224,17982,18240,2,21990,11020,10968,2,14234,6962,7272,
ATTOCK,ATTOCK,DISTRICT,Enrolment Intermidiate,15 - 49,37095,18303,18790,2,22543,11210,11331,2,14552,7093,7459,
ATTOCK,ATTOCK,DISTRICT,Enrolment Intermidiate,25 - 40,713,266,447,,451,158,293,,262,108,154,
