name_admin_unit,part_of_district,admin_unit,vars,age_bracket,all_sexes_overall,female_overall,male_overall,tgend_overall,all_sexes_rural,female_rural,male_rural,tgend_rural,all_sexes_urban,female_urban,male_urban,tgend_urban
BADIN,BADIN,DISTRICT,Enrolment Graduation above,11 - 13,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Graduation above,14 - 15,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Graduation above,15 - 24,12704,3968,8736,,6258,1271,4987,,6446,2697,3749,
BADIN,BADIN,DISTRICT,Enrolment Graduation above,15 - 49,15046,4572,10474,,7418,1459,5959,,7628,3113,4515,
BADIN,BADIN,DISTRICT,Enrolment Graduation above,25 - 40,2175,573,1602,,1075,178,897,,1100,395,705,
BADIN,BADIN,DISTRICT,Enrolment Graduation above,41 - 60,253,43,210,,124,12,112,,129,31,98,
BADIN,BADIN,DISTRICT,Enrolment Graduation above,5,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Graduation above,5 - 16,636,239,397,,368,97,271,,268,142,126,
BADIN,BADIN,DISTRICT,Enrolment Graduation above,6 - 10,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Graduation above,>18,11265,3403,7862,,5340,1034,4306,,5925,2369,3556,
BADIN,BADIN,DISTRICT,Enrolment Graduation above,>60,13,4,9,,3,,3,,10,4,6,
BADIN,BADIN,DISTRICT,Enrolment Intermidiate,11 - 13,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Intermidiate,14 - 15,2465,775,1690,,1504,340,1164,,961,435,526,
BADIN,BADIN,DISTRICT,Enrolment Intermidiate,15 - 24,14827,4296,10531,,8788,1842,6946,,6039,2454,3585,
BADIN,BADIN,DISTRICT,Enrolment Intermidiate,15 - 49,15377,4445,10932,,9108,1914,7194,,6269,2531,3738,
BADIN,BADIN,DISTRICT,Enrolment Intermidiate,25 - 40,433,126,307,,261,65,196,,172,61,111,
BADIN,BADIN,DISTRICT,Enrolment Intermidiate,41 - 60,166,35,131,,84,13,71,,82,22,60,
BADIN,BADIN,DISTRICT,Enrolment Intermidiate,5,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Intermidiate,5 - 16,6213,1913,4300,,3777,863,2914,,2436,1050,1386,
BADIN,BADIN,DISTRICT,Enrolment Intermidiate,6 - 10,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Intermidiate,>18,3531,978,2553,,2109,449,1660,,1422,529,893,
BADIN,BADIN,DISTRICT,Enrolment Intermidiate,>60,20,3,17,,11,2,9,,9,1,8,
BADIN,BADIN,DISTRICT,Enrolment Matric,11 - 13,2993,1091,1902,,1718,617,1101,,1275,474,801,
BADIN,BADIN,DISTRICT,Enrolment Matric,14 - 15,9477,3007,6468,2,5604,1481,4121,2,3873,1526,2347,
BADIN,BADIN,DISTRICT,Enrolment Matric,15 - 24,10056,2880,7176,,6018,1367,4651,,4038,1513,2525,
BADIN,BADIN,DISTRICT,Enrolment Matric,15 - 49,10056,2880,7176,,6018,1367,4651,,4038,1513,2525,
BADIN,BADIN,DISTRICT,Enrolment Matric,25 - 40,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Matric,41 - 60,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Matric,5,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Matric,5 - 16,15413,4936,10475,2,9055,2474,6579,2,6358,2462,3896,
BADIN,BADIN,DISTRICT,Enrolment Matric,6 - 10,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Matric,>18,948,260,688,,611,145,466,,337,115,222,
BADIN,BADIN,DISTRICT,Enrolment Matric,>60,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Middle,11 - 13,29895,9766,20129,,20596,5712,14884,,9299,4054,5245,
BADIN,BADIN,DISTRICT,Enrolment Middle,14 - 15,9223,2811,6412,,6010,1556,4454,,3213,1255,1958,
BADIN,BADIN,DISTRICT,Enrolment Middle,15 - 24,6964,2036,4928,,4727,1163,3564,,2237,873,1364,
BADIN,BADIN,DISTRICT,Enrolment Middle,15 - 49,6964,2036,4928,,4727,1163,3564,,2237,873,1364,
BADIN,BADIN,DISTRICT,Enrolment Middle,25 - 40,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Middle,41 - 60,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Middle,5,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Middle,5 - 16,45447,14597,30850,,31071,8523,22548,,14376,6074,8302,
BADIN,BADIN,DISTRICT,Enrolment Middle,6 - 10,4360,1506,2854,,3120,956,2164,,1240,550,690,
BADIN,BADIN,DISTRICT,Enrolment Middle,>18,506,170,336,,364,112,252,,142,58,84,
BADIN,BADIN,DISTRICT,Enrolment Middle,>60,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Primary,11 - 13,23210,8554,14656,,16487,5700,10787,,6723,2854,3869,
BADIN,BADIN,DISTRICT,Enrolment Primary,14 - 15,2963,843,2120,,2252,563,1689,,711,280,431,
BADIN,BADIN,DISTRICT,Enrolment Primary,15 - 24,1779,518,1261,,1384,356,1028,,395,162,233,
BADIN,BADIN,DISTRICT,Enrolment Primary,15 - 49,1779,518,1261,,1384,356,1028,,395,162,233,
BADIN,BADIN,DISTRICT,Enrolment Primary,25 - 40,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Primary,41 - 60,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Enrolment Primary,5,19343,7893,11450,,13611,5432,8179,,5732,2461,3271,
BADIN,BADIN,DISTRICT,Enrolment Primary,5 - 16,172505,64667,107838,,122049,43921,78128,,50456,20746,29710,
BADIN,BADIN,DISTRICT,Enrolment Primary,6 - 10,126530,47261,79269,,89338,32142,57196,,37192,15119,22073,
BADIN,BADIN,DISTRICT,Enrolment Primary,>18,146,56,90,,115,41,74,,31,15,16,
BADIN,BADIN,DISTRICT,Enrolment Primary,>60,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Ever Attended,11 - 13,64796,23728,41068,,45353,15268,30085,,19443,8460,10983,
BADIN,BADIN,DISTRICT,Ever Attended,14 - 15,33608,11762,21843,3,22492,7155,15334,3,11116,4607,6509,
BADIN,BADIN,DISTRICT,Ever Attended,15 - 24,120499,40321,80175,3,77877,22535,55339,3,42622,17786,24836,
BADIN,BADIN,DISTRICT,Ever Attended,15 - 49,266593,79702,186881,10,166672,41689,124979,4,99921,38013,61902,6
BADIN,BADIN,DISTRICT,Ever Attended,25 - 40,107386,30783,76598,5,65342,15214,50127,1,42044,15569,26471,4
BADIN,BADIN,DISTRICT,Ever Attended,41 - 60,59627,12305,47317,5,35072,5358,29714,,24555,6947,17603,5
BADIN,BADIN,DISTRICT,Ever Attended,5,19763,8087,11676,,13883,5554,8329,,5880,2533,3347,
BADIN,BADIN,DISTRICT,Ever Attended,5 - 16,270305,100471,169830,4,188485,66214,122267,4,81820,34257,47563,
BADIN,BADIN,DISTRICT,Ever Attended,6 - 10,136342,51360,84982,,96215,34906,61309,,40127,16454,23673,
BADIN,BADIN,DISTRICT,Ever Attended,>18,240342,65081,175248,13,146060,32096,113962,2,94282,32985,61286,11
BADIN,BADIN,DISTRICT,Ever Attended,>60,11339,1585,9752,2,6502,628,5874,,4837,957,3878,2
BADIN,BADIN,DISTRICT,Literate,11 - 13,67002,25356,41646,,47361,16720,30641,,19641,8636,11005,
BADIN,BADIN,DISTRICT,Literate,14 - 15,36333,13232,23097,4,24733,8357,16372,4,11600,4875,6725,
BADIN,BADIN,DISTRICT,Literate,15 - 24,139370,50259,89107,4,92770,30411,62355,4,46600,19848,26752,
BADIN,BADIN,DISTRICT,Literate,15 - 49,324878,109770,215097,11,211405,64700,146700,5,113473,45070,68397,6
BADIN,BADIN,DISTRICT,Literate,25 - 40,134931,44957,89969,5,86260,25906,60353,1,48671,19051,29616,4
BADIN,BADIN,DISTRICT,Literate,41 - 60,80774,22581,58188,5,50824,12916,37908,,29950,9665,20280,5
BADIN,BADIN,DISTRICT,Literate,5,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Literate,5 - 16,221019,86464,134549,6,156926,57983,98937,6,64093,28481,35612,
BADIN,BADIN,DISTRICT,Literate,6 - 10,100161,41469,58692,,72921,28891,44030,,27240,12578,14662,
BADIN,BADIN,DISTRICT,Literate,>18,307867,99203,208651,13,197256,57813,139441,2,110611,41390,69210,11
BADIN,BADIN,DISTRICT,Literate,>60,17950,4714,13234,2,11395,2886,8509,,6555,1828,4725,2
BADIN,BADIN,DISTRICT,Literate %,11 - 13,50.36,41.01,58.48,,45.75,35.07,54.87,,66.54000000000001,61.01,71.63,
BADIN,BADIN,DISTRICT,Literate %,14 - 15,46.3,37.12,53.96,25,40.76,30.58,49.12,26.67,65.18000000000001,58.55,71.01000000000001,
BADIN,BADIN,DISTRICT,Literate %,15 - 24,40.61,30.39,50.1,26.67,35.15,23.96,45.53,30.77,58.74,51.65,65.40000000000001,
BADIN,BADIN,DISTRICT,Literate %,15 - 49,36.36,25.37,46.68,25,30.93,19.55,41.63,27.78,54.04,44.36,63.12,23.08
BADIN,BADIN,DISTRICT,Literate %,25 - 40,34.52,23.49,45.09,29.41,28.98,17.76,39.77,25,52.19,41.91,61.98,30.77
BADIN,BADIN,DISTRICT,Literate %,41 - 60,29.62,17.65,40.18,20,24.45,13.22,34.41,,46.19,32.03,58.55,23.81
BADIN,BADIN,DISTRICT,Literate %,5,,,,,,,,,,,,
BADIN,BADIN,DISTRICT,Literate %,5 - 16,35.51,29.67,40.65,31.58,31.83,25.24,37.58,33.33,49.54,46.18,52.6,
BADIN,BADIN,DISTRICT,Literate %,6 - 10,32.88,28.74,36.61,,29.79,25.01,34.07,,45.51,43.74,47.15,
BADIN,BADIN,DISTRICT,Literate %,>18,32.75,21.69,43.21,25,27.46,16.52,37.86,14.29,49.86,38.58,60.44,28.95
BADIN,BADIN,DISTRICT,Literate %,>60,21.69,11.46,31.82,28.57,17.84,9.09,26.51,,34.74,19.49,49.8,66.67
BADIN,BADIN,DISTRICT,Never to School (all),11 - 13,68242,38101,30141,,58168,32407,25761,,10074,5694,4380,
BADIN,BADIN,DISTRICT,Never to School (all),14 - 15,44863,23889,20961,13,38182,20170,18000,12,6681,3719,2961,1
BADIN,BADIN,DISTRICT,Never to School (all),15 - 24,222732,125048,97672,12,186021,104409,81602,10,36711,20639,16070,2
BADIN,BADIN,DISTRICT,Never to School (all),15 - 49,626835,352913,273888,34,516760,289316,227430,14,110075,63597,46458,20
BADIN,BADIN,DISTRICT,Never to School (all),25 - 40,283530,160566,122952,12,232320,130679,101638,3,51210,29887,21314,9
BADIN,BADIN,DISTRICT,Never to School (all),41 - 60,213116,115599,97497,20,172834,92368,80462,4,40282,23231,17035,16
BADIN,BADIN,DISTRICT,Never to School (all),5,47758,24002,23756,,40388,20255,20133,,7370,3747,3623,
BADIN,BADIN,DISTRICT,Never to School (all),5 - 16,352143,190973,161155,15,304584,163555,141015,14,47559,27418,20140,1
BADIN,BADIN,DISTRICT,Never to School (all),6 - 10,168253,92924,75329,,148530,80622,67908,,19723,12302,7421,
BADIN,BADIN,DISTRICT,Never to School (all),>18,699831,392204,307588,39,572278,317901,254365,12,127553,74303,53223,27
BADIN,BADIN,DISTRICT,Never to School (all),>60,71403,39559,31839,5,57369,31136,26229,4,14034,8423,5610,1
BADIN,BADIN,DISTRICT,Population,11 - 13,133038,61829,71209,,103521,47675,55846,,29517,14154,15363,
BADIN,BADIN,DISTRICT,Population,14 - 15,78471,35651,42804,16,60674,27325,33334,15,17797,8326,9470,1
BADIN,BADIN,DISTRICT,Population,15 - 24,343231,165369,177847,15,263898,126944,136941,13,79333,38425,40906,2
BADIN,BADIN,DISTRICT,Population,15 - 49,893428,432615,460769,44,683432,331005,352409,18,209996,101610,108360,26
BADIN,BADIN,DISTRICT,Population,25 - 40,390916,191349,199550,17,297662,145893,151765,4,93254,45456,47785,13
BADIN,BADIN,DISTRICT,Population,41 - 60,272743,127904,144814,25,207906,97726,110176,4,64837,30178,34638,21
BADIN,BADIN,DISTRICT,Population,5,67521,32089,35432,,54271,25809,28462,,13250,6280,6970,
BADIN,BADIN,DISTRICT,Population,5 - 16,622448,291444,330985,19,493069,229769,263282,18,129379,61675,67703,1
BADIN,BADIN,DISTRICT,Population,6 - 10,304595,144284,160311,,244745,115528,129217,,59850,28756,31094,
BADIN,BADIN,DISTRICT,Population,>18,940173,457285,482836,52,718338,349997,368327,14,221835,107288,114509,38
