name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
ABBOTTABAD,ABBOTTABAD,DISTRICT,Population,1397587,702010,695577,1086688,544457,542231,310899,157553,153346
ABBOTTABAD,ABBOTTABAD,DISTRICT,Disability,58860,31032,27828,50955,26686,24269,7905,4346,3559
ABBOTTABAD,ABBOTTABAD,DISTRICT,Functional limitation,153573,80712,72861,124631,64932,59699,28942,15780,13162
ABBOTTABAD,ABBOTTABAD,DISTRICT,Seeing,30200,15924,14276,24703,12909,11794,5497,3015,2482
ABBOTTABAD,ABBOTTABAD,DISTRICT,Hearing,32168,16814,15354,26159,13511,12648,6009,3303,2706
ABBOTTABAD,ABBOTTABAD,DISTRICT,Walking/ Climbing,52258,27755,24503,42598,22496,20102,9660,5259,4401
ABBOTTABAD,ABBOTTABAD,DISTRICT,Communication,19762,10726,9036,16505,8895,7610,3257,1831,1426
ABBOTTABAD,ABBOTTABAD,DISTRICT,Memorization/ Focus,25739,13741,11998,21025,11163,9862,4714,2578,2136
ABBOTTABAD,ABBOTTABAD,DISTRICT,Self care etc,16448,8511,7937,13236,6724,6512,3212,1787,1425
BAJAUR,BAJAUR,DISTRICT,Population,1283113,648488,634625,1283113,648488,634625,,,
BAJAUR,BAJAUR,DISTRICT,Disability,41372,22124,19248,41372,22124,19248,,,
BAJAUR,BAJAUR,DISTRICT,Functional limitation,81055,41214,39841,81055,41214,39841,,,
BAJAUR,BAJAUR,DISTRICT,Seeing,15032,7696,7336,15032,7696,7336,,,
BAJAUR,BAJAUR,DISTRICT,Hearing,15314,7700,7614,15314,7700,7614,,,
BAJAUR,BAJAUR,DISTRICT,Walking/ Climbing,28682,14960,13722,28682,14960,13722,,,
BAJAUR,BAJAUR,DISTRICT,Communication,10962,5849,5113,10962,5849,5113,,,
BAJAUR,BAJAUR,DISTRICT,Memorization/ Focus,13634,7130,6504,13634,7130,6504,,,
BAJAUR,BAJAUR,DISTRICT,Self care etc,9322,4681,4641,9322,4681,4641,,,
BANNU,BANNU,DISTRICT,Population,1354674,704575,650099,1306578,678650,627928,48096,25925,22171
BANNU,BANNU,DISTRICT,Disability,50511,26134,24377,49177,25450,23727,1334,684,650
BANNU,BANNU,DISTRICT,Functional limitation,163357,82639,80718,157576,79631,77945,5781,3008,2773
BANNU,BANNU,DISTRICT,Seeing,30366,15717,14649,29239,15119,14120,1127,598,529
BANNU,BANNU,DISTRICT,Hearing,33088,16778,16310,31865,16138,15727,1223,640,583
BANNU,BANNU,DISTRICT,Walking/ Climbing,53244,27243,26001,51266,26217,25049,1978,1026,952
BANNU,BANNU,DISTRICT,Communication,16914,8996,7918,16360,8681,7679,554,315,239
BANNU,BANNU,DISTRICT,Memorization/ Focus,24661,12854,11807,23760,12362,11398,901,492,409
BANNU,BANNU,DISTRICT,Self care etc,18075,8905,9170,17490,8598,8892,585,307,278
BATAGRAM,BATAGRAM,DISTRICT,Population,553285,280903,272382,553285,280903,272382,,,
BATAGRAM,BATAGRAM,DISTRICT,Disability,15904,7725,8179,15904,7725,8179,,,
BATAGRAM,BATAGRAM,DISTRICT,Functional limitation,47923,24130,23793,47923,24130,23793,,,
BATAGRAM,BATAGRAM,DISTRICT,Seeing,10034,5267,4767,10034,5267,4767,,,
BATAGRAM,BATAGRAM,DISTRICT,Hearing,10704,5559,5145,10704,5559,5145,,,
BATAGRAM,BATAGRAM,DISTRICT,Walking/ Climbing,16982,8737,8245,16982,8737,8245,,,
BATAGRAM,BATAGRAM,DISTRICT,Communication,6734,3623,3111,6734,3623,3111,,,
BATAGRAM,BATAGRAM,DISTRICT,Memorization/ Focus,8405,4390,4015,8405,4390,4015,,,
BATAGRAM,BATAGRAM,DISTRICT,Self care etc,4558,2114,2444,4558,2114,2444,,,
BUNER,BUNER,DISTRICT,Population,1016674,508107,508567,1016674,508107,508567,,,
BUNER,BUNER,DISTRICT,Disability,38872,20366,18506,38872,20366,18506,,,
BUNER,BUNER,DISTRICT,Functional limitation,96662,47252,49410,96662,47252,49410,,,
BUNER,BUNER,DISTRICT,Seeing,17888,8807,9081,17888,8807,9081,,,
BUNER,BUNER,DISTRICT,Hearing,19076,9264,9812,19076,9264,9812,,,
BUNER,BUNER,DISTRICT,Walking/ Climbing,33079,16668,16411,33079,16668,16411,,,
BUNER,BUNER,DISTRICT,Communication,12280,6437,5843,12280,6437,5843,,,
BUNER,BUNER,DISTRICT,Memorization/ Focus,16071,8107,7964,16071,8107,7964,,,
BUNER,BUNER,DISTRICT,Self care etc,10584,5031,5553,10584,5031,5553,,,
CHARSADDA,CHARSADDA,DISTRICT,Population,1835136,950717,884419,1542721,798945,743776,292415,151772,140643
CHARSADDA,CHARSADDA,DISTRICT,Disability,61736,32333,29403,52498,27420,25078,9238,4913,4325
CHARSADDA,CHARSADDA,DISTRICT,Functional limitation,172675,94946,77729,143854,78964,64890,28821,15982,12839
CHARSADDA,CHARSADDA,DISTRICT,Seeing,31773,17666,14107,25913,14403,11510,5860,3263,2597
CHARSADDA,CHARSADDA,DISTRICT,Hearing,33628,18803,14825,28076,15665,12411,5552,3138,2414
CHARSADDA,CHARSADDA,DISTRICT,Walking/ Climbing,57739,31774,25965,48306,26540,21766,9433,5234,4199
CHARSADDA,CHARSADDA,DISTRICT,Communication,19942,11142,8800,16433,9181,7252,3509,1961,1548
CHARSADDA,CHARSADDA,DISTRICT,Memorization/ Focus,27266,15314,11952,22626,12639,9987,4640,2675,1965
CHARSADDA,CHARSADDA,DISTRICT,Self care etc,18872,10077,8795,15864,8439,7425,3008,1638,1370
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,Population,1822916,956249,866667,1451454,760626,690828,371462,195623,175839
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,Disability,47328,31764,15564,37244,24836,12408,10084,6928,3156
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,Functional limitation,134380,72827,61553,103396,55945,47451,30984,16882,14102
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,Seeing,25955,13685,12270,20139,10572,9567,5816,3113,2703
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,Hearing,27130,13910,13220,20624,10517,10107,6506,3393,3113
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,Walking/ Climbing,46384,25720,20664,35784,19714,16070,10600,6006,4594
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,Communication,16399,9593,6806,12696,7515,5181,3703,2078,1625
