name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
ATTOCK,ATTOCK,DISTRICT,Population,2133005,1071774,1061231,1546356,775757,770599,586649,296017,290632
ATTOCK,ATTOCK,DISTRICT,Disability,91912,49319,42593,70933,37665,33268,20979,11654,9325
ATTOCK,ATTOCK,DISTRICT,Functional limitation,220659,106155,114504,167087,79891,87196,53572,26264,27308
ATTOCK,ATTOCK,DISTRICT,Seeing,41161,19794,21367,31034,14990,16044,10127,4804,5323
ATTOCK,ATTOCK,DISTRICT,Hearing,43115,20354,22761,32349,15282,17067,10766,5072,5694
ATTOCK,ATTOCK,DISTRICT,Walking/ Climbing,74888,37106,37782,56150,27675,28475,18738,9431,9307
ATTOCK,ATTOCK,DISTRICT,Communication,26930,13789,13141,20561,10441,10120,6369,3348,3021
ATTOCK,ATTOCK,DISTRICT,Memorization/ Focus,34328,17069,17259,25932,12744,13188,8396,4325,4071
ATTOCK,ATTOCK,DISTRICT,Self care etc,25066,11936,13130,19102,8937,10165,5964,2999,2965
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Population,3544911,1843258,1701653,2571296,1337050,1234246,973615,506208,467407
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Disability,148459,78310,70149,109352,58127,51225,39107,20183,18924
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Functional limitation,341006,178141,162865,249185,130575,118610,91821,47566,44255
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Seeing,61733,32465,29268,45616,24033,21583,16117,8432,7685
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Hearing,66741,35151,31590,49379,26056,23323,17362,9095,8267
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Walking/ Climbing,116775,61814,54961,84868,44993,39875,31907,16821,15086
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Communication,42506,23261,19245,30786,16871,13915,11720,6390,5330
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Memorization/ Focus,52563,27951,24612,38289,20432,17857,14274,7519,6755
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,Self care etc,38923,19886,19037,28272,14633,13639,10651,5253,5398
BAHAWALPUR,BAHAWALPUR,DISTRICT,Population,4264457,2165627,2098830,2662487,1350283,1312204,1601970,815344,786626
BAHAWALPUR,BAHAWALPUR,DISTRICT,Disability,157181,93363,63818,105071,61916,43155,52110,31447,20663
BAHAWALPUR,BAHAWALPUR,DISTRICT,Functional limitation,356787,200913,155874,228708,128111,100597,128079,72802,55277
BAHAWALPUR,BAHAWALPUR,DISTRICT,Seeing,64455,35869,28586,41152,22856,18296,23303,13013,10290
BAHAWALPUR,BAHAWALPUR,DISTRICT,Hearing,71063,39437,31626,45315,25081,20234,25748,14356,11392
BAHAWALPUR,BAHAWALPUR,DISTRICT,Walking/ Climbing,119861,68642,51219,75441,42773,32668,44420,25869,18551
BAHAWALPUR,BAHAWALPUR,DISTRICT,Communication,45760,26380,19380,29842,17075,12767,15918,9305,6613
BAHAWALPUR,BAHAWALPUR,DISTRICT,Memorization/ Focus,57082,32213,24869,37249,20938,16311,19833,11275,8558
BAHAWALPUR,BAHAWALPUR,DISTRICT,Self care etc,41482,23364,18118,26929,15217,11712,14553,8147,6406
BHAKKAR,BHAKKAR,DISTRICT,Population,1956971,1016201,940770,1604680,833069,771611,352291,183132,169159
BHAKKAR,BHAKKAR,DISTRICT,Disability,94200,52206,41994,77428,43082,34346,16772,9124,7648
BHAKKAR,BHAKKAR,DISTRICT,Functional limitation,237416,136155,101261,193827,111392,82435,43589,24763,18826
BHAKKAR,BHAKKAR,DISTRICT,Seeing,43351,24788,18563,35628,20362,15266,7723,4426,3297
BHAKKAR,BHAKKAR,DISTRICT,Hearing,46889,27225,19664,38318,22310,16008,8571,4915,3656
BHAKKAR,BHAKKAR,DISTRICT,Walking/ Climbing,79615,45306,34309,65145,37176,27969,14470,8130,6340
BHAKKAR,BHAKKAR,DISTRICT,Communication,27726,16158,11568,22403,13112,9291,5323,3046,2277
BHAKKAR,BHAKKAR,DISTRICT,Memorization/ Focus,36429,21030,15399,29395,16976,12419,7034,4054,2980
BHAKKAR,BHAKKAR,DISTRICT,Self care etc,26930,15273,11657,22092,12496,9596,4838,2777,2061
CHAKWAL,CHAKWAL,DISTRICT,Population,1731689,862598,869091,1296931,643671,653260,434758,218927,215831
CHAKWAL,CHAKWAL,DISTRICT,Disability,86432,49333,37099,68698,39000,29698,17734,10333,7401
CHAKWAL,CHAKWAL,DISTRICT,Functional limitation,188201,102949,85252,147136,79973,67163,41065,22976,18089
CHAKWAL,CHAKWAL,DISTRICT,Seeing,33031,17904,15127,25936,13954,11982,7095,3950,3145
CHAKWAL,CHAKWAL,DISTRICT,Hearing,35422,19138,16284,27784,14834,12950,7638,4304,3334
CHAKWAL,CHAKWAL,DISTRICT,Walking/ Climbing,64943,35791,29152,50055,27354,22701,14888,8437,6451
CHAKWAL,CHAKWAL,DISTRICT,Communication,23386,13202,10184,18592,10481,8111,4794,2721,2073
CHAKWAL,CHAKWAL,DISTRICT,Memorization/ Focus,28921,15958,12963,23002,12630,10372,5919,3328,2591
CHAKWAL,CHAKWAL,DISTRICT,Self care etc,21596,11807,9789,16853,9260,7593,4743,2547,2196
CHINIOT,CHINIOT,DISTRICT,Population,1563024,790898,772126,1071352,542757,528595,491672,248141,243531
CHINIOT,CHINIOT,DISTRICT,Disability,59679,33857,25822,44171,24794,19377,15508,9063,6445
CHINIOT,CHINIOT,DISTRICT,Functional limitation,145424,80047,65377,103082,56493,46589,42342,23554,18788
CHINIOT,CHINIOT,DISTRICT,Seeing,26354,14427,11927,18452,10045,8407,7902,4382,3520
CHINIOT,CHINIOT,DISTRICT,Hearing,28623,15587,13036,20444,11134,9310,8179,4453,3726
CHINIOT,CHINIOT,DISTRICT,Walking/ Climbing,49434,27541,21893,34460,19116,15344,14974,8425,6549
CHINIOT,CHINIOT,DISTRICT,Communication,18420,10331,8089,13338,7474,5864,5082,2857,2225
CHINIOT,CHINIOT,DISTRICT,Memorization/ Focus,22410,12449,9961,15937,8831,7106,6473,3618,2855
CHINIOT,CHINIOT,DISTRICT,Self care etc,16290,8865,7425,11735,6343,5392,4555,2522,2033
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Population,3386575,1709631,1676944,2581903,1302395,1279508,804672,407236,397436
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Disability,117462,61010,56452,90170,46763,43407,27292,14247,13045
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,Functional limitation,303568,153196,150372,227017,114274,112743,76551,38922,37629
