name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
BADIN,BADIN,DISTRICT,Population,1945417,1012130,933287,1516567,789744,726823,428850,222386,206464
BADIN,BADIN,DISTRICT,Disability,39454,21785,17669,31482,17419,14063,7972,4366,3606
BADIN,BADIN,DISTRICT,Functional limitation,152688,84357,68331,118498,65406,53092,34190,18951,15239
BADIN,BADIN,DISTRICT,Seeing,30937,17039,13898,23981,13222,10759,6956,3817,3139
BADIN,BADIN,DISTRICT,Hearing,33489,18659,14830,25884,14370,11514,7605,4289,3316
BADIN,BADIN,DISTRICT,Walking/ Climbing,49763,27610,22153,38532,21333,17199,11231,6277,4954
BADIN,BADIN,DISTRICT,Communication,17427,9921,7506,13142,7530,5612,4285,2391,1894
BADIN,BADIN,DISTRICT,Memorization/ Focus,24034,13475,10559,18533,10390,8143,5501,3085,2416
BADIN,BADIN,DISTRICT,Self care etc,15830,8608,7222,12553,6765,5788,3277,1843,1434
DADU,DADU,DISTRICT,Population,1742307,883873,858434,1303286,662904,640382,439021,220969,218052
DADU,DADU,DISTRICT,Disability,29596,17491,12105,21520,12679,8841,8076,4812,3264
DADU,DADU,DISTRICT,Functional limitation,97979,44310,53669,72143,32494,39649,25836,11816,14020
DADU,DADU,DISTRICT,Seeing,19235,8847,10388,14227,6504,7723,5008,2343,2665
DADU,DADU,DISTRICT,Hearing,21286,9358,11928,15797,6903,8894,5489,2455,3034
DADU,DADU,DISTRICT,Walking/ Climbing,32620,15763,16857,23800,11419,12381,8820,4344,4476
DADU,DADU,DISTRICT,Communication,12007,6131,5876,8856,4563,4293,3151,1568,1583
DADU,DADU,DISTRICT,Memorization/ Focus,15592,7423,8169,11433,5435,5998,4159,1988,2171
DADU,DADU,DISTRICT,Self care etc,10258,4515,5743,7628,3377,4251,2630,1138,1492
GHOTKI,GHOTKI,DISTRICT,Population,1760761,914689,846072,1381388,717892,663496,379373,196797,182576
GHOTKI,GHOTKI,DISTRICT,Disability,33663,17320,16343,27750,14071,13679,5913,3249,2664
GHOTKI,GHOTKI,DISTRICT,Functional limitation,140010,69654,70356,109216,54171,55045,30794,15483,15311
GHOTKI,GHOTKI,DISTRICT,Seeing,26665,13443,13222,20781,10454,10327,5884,2989,2895
GHOTKI,GHOTKI,DISTRICT,Hearing,30466,15399,15067,23489,11786,11703,6977,3613,3364
GHOTKI,GHOTKI,DISTRICT,Walking/ Climbing,45879,23486,22393,35521,18090,17431,10358,5396,4962
GHOTKI,GHOTKI,DISTRICT,Communication,16058,8547,7511,12493,6726,5767,3565,1821,1744
GHOTKI,GHOTKI,DISTRICT,Memorization/ Focus,20984,10677,10307,16261,8220,8041,4723,2457,2266
GHOTKI,GHOTKI,DISTRICT,Self care etc,14398,6848,7550,11493,5405,6088,2905,1443,1462
HYDERABAD,HYDERABAD,DISTRICT,Population,2432540,1289448,1143092,410161,216725,193436,2022379,1072723,949656
HYDERABAD,HYDERABAD,DISTRICT,Disability,70624,34652,35972,8580,4024,4556,62044,30628,31416
HYDERABAD,HYDERABAD,DISTRICT,Functional limitation,251880,130600,121280,35659,18030,17629,216221,112570,103651
HYDERABAD,HYDERABAD,DISTRICT,Seeing,47067,24979,22088,6428,3318,3110,40639,21661,18978
HYDERABAD,HYDERABAD,DISTRICT,Hearing,52496,27761,24735,7298,3747,3551,45198,24014,21184
HYDERABAD,HYDERABAD,DISTRICT,Walking/ Climbing,80108,41708,38400,11586,5727,5859,68522,35981,32541
HYDERABAD,HYDERABAD,DISTRICT,Communication,25553,13753,11800,3649,1961,1688,21904,11792,10112
HYDERABAD,HYDERABAD,DISTRICT,Memorization/ Focus,37525,19980,17545,5305,2861,2444,32220,17119,15101
HYDERABAD,HYDERABAD,DISTRICT,Self care etc,28881,14505,14376,4214,2115,2099,24667,12390,12277
JACOBABAD,JACOBABAD,DISTRICT,Population,1174097,595896,578201,812180,411811,400369,361917,184085,177832
JACOBABAD,JACOBABAD,DISTRICT,Disability,25460,12737,12723,15795,8144,7651,9665,4593,5072
JACOBABAD,JACOBABAD,DISTRICT,Functional limitation,82546,43021,39525,54313,28599,25714,28233,14422,13811
JACOBABAD,JACOBABAD,DISTRICT,Seeing,16357,8612,7745,11229,5936,5293,5128,2676,2452
JACOBABAD,JACOBABAD,DISTRICT,Hearing,17384,9159,8225,11691,6221,5470,5693,2938,2755
JACOBABAD,JACOBABAD,DISTRICT,Walking/ Climbing,27889,14599,13290,18212,9663,8549,9677,4936,4741
JACOBABAD,JACOBABAD,DISTRICT,Communication,8824,4746,4078,5722,3071,2651,3102,1675,1427
JACOBABAD,JACOBABAD,DISTRICT,Memorization/ Focus,12728,6765,5963,8196,4360,3836,4532,2405,2127
JACOBABAD,JACOBABAD,DISTRICT,Self care etc,9012,4639,4373,5707,2993,2714,3305,1646,1659
JAMSHORO,JAMSHORO,DISTRICT,Population,1117216,578059,539157,595470,309621,285849,521746,268438,253308
JAMSHORO,JAMSHORO,DISTRICT,Disability,24339,14186,10153,16001,9179,6822,8338,5007,3331
JAMSHORO,JAMSHORO,DISTRICT,Functional limitation,90757,47454,43303,50589,26521,24068,40168,20933,19235
JAMSHORO,JAMSHORO,DISTRICT,Seeing,17704,9243,8461,9742,5075,4667,7962,4168,3794
JAMSHORO,JAMSHORO,DISTRICT,Hearing,19309,9924,9385,10481,5396,5085,8828,4528,4300
JAMSHORO,JAMSHORO,DISTRICT,Walking/ Climbing,29126,15563,13563,15916,8520,7396,13210,7043,6167
JAMSHORO,JAMSHORO,DISTRICT,Communication,9206,5074,4132,5153,2864,2289,4053,2210,1843
JAMSHORO,JAMSHORO,DISTRICT,Memorization/ Focus,13586,7226,6360,7401,3965,3436,6185,3261,2924
JAMSHORO,JAMSHORO,DISTRICT,Self care etc,9964,5163,4801,5713,2964,2749,4251,2199,2052
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,Population,1514869,791159,723710,1093004,571692,521312,421865,219467,202398
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,Disability,20214,8438,11776,14807,5885,8922,5407,2553,2854
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,Functional limitation,109899,68626,41273,79496,49363,30133,30403,19263,11140
