name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
AWARAN,AWARAN,DISTRICT,Communication,0 - 4,46,37,9
AWARAN,AWARAN,DISTRICT,Communication,10 - 12,36,29,7
AWARAN,AWARAN,DISTRICT,Communication,13 - 14,21,16,5
AWARAN,AWARAN,DISTRICT,Communication,15 - 24,98,80,18
AWARAN,AWARAN,DISTRICT,Communication,15 - 49,271,229,42
AWARAN,AWARAN,DISTRICT,Communication,25 - 40,93,76,17
AWARAN,AWARAN,DISTRICT,Communication,41 - 60,312,275,37
AWARAN,AWARAN,DISTRICT,Communication,5 - 16,135,108,27
AWARAN,AWARAN,DISTRICT,Communication,5 - 9,47,39,8
AWARAN,AWARAN,DISTRICT,Communication,>18,854,702,152
AWARAN,AWARAN,DISTRICT,Communication,>60,401,314,87
AWARAN,AWARAN,DISTRICT,Disability,0 - 4,48,40,8
AWARAN,AWARAN,DISTRICT,Disability,10 - 12,72,59,13
AWARAN,AWARAN,DISTRICT,Disability,13 - 14,40,32,8
AWARAN,AWARAN,DISTRICT,Disability,15 - 24,204,185,19
AWARAN,AWARAN,DISTRICT,Disability,15 - 49,1052,935,117
AWARAN,AWARAN,DISTRICT,Disability,25 - 40,371,333,38
AWARAN,AWARAN,DISTRICT,Disability,41 - 60,2006,1698,308
AWARAN,AWARAN,DISTRICT,Disability,5 - 16,252,208,44
AWARAN,AWARAN,DISTRICT,Disability,5 - 9,91,73,18
AWARAN,AWARAN,DISTRICT,Disability,>18,5467,4442,1025
AWARAN,AWARAN,DISTRICT,Disability,>60,2973,2303,670
AWARAN,AWARAN,DISTRICT,Functional limitation,0 - 4,91,77,14
AWARAN,AWARAN,DISTRICT,Functional limitation,10 - 12,96,80,16
AWARAN,AWARAN,DISTRICT,Functional limitation,13 - 14,55,43,12
AWARAN,AWARAN,DISTRICT,Functional limitation,15 - 24,243,209,34
AWARAN,AWARAN,DISTRICT,Functional limitation,15 - 49,1234,1037,197
AWARAN,AWARAN,DISTRICT,Functional limitation,25 - 40,409,356,53
AWARAN,AWARAN,DISTRICT,Functional limitation,41 - 60,2366,1913,453
AWARAN,AWARAN,DISTRICT,Functional limitation,5 - 16,333,272,61
AWARAN,AWARAN,DISTRICT,Functional limitation,5 - 9,121,97,24
AWARAN,AWARAN,DISTRICT,Functional limitation,>18,6492,5050,1442
AWARAN,AWARAN,DISTRICT,Functional limitation,>60,3583,2665,918
AWARAN,AWARAN,DISTRICT,Hearing,0 - 4,22,14,8
AWARAN,AWARAN,DISTRICT,Hearing,10 - 12,30,24,6
AWARAN,AWARAN,DISTRICT,Hearing,13 - 14,14,11,3
AWARAN,AWARAN,DISTRICT,Hearing,15 - 24,66,56,10
AWARAN,AWARAN,DISTRICT,Hearing,15 - 49,226,189,37
AWARAN,AWARAN,DISTRICT,Hearing,25 - 40,86,71,15
AWARAN,AWARAN,DISTRICT,Hearing,41 - 60,270,231,39
AWARAN,AWARAN,DISTRICT,Hearing,5 - 16,105,84,21
AWARAN,AWARAN,DISTRICT,Hearing,5 - 9,39,32,7
AWARAN,AWARAN,DISTRICT,Hearing,>18,875,692,183
AWARAN,AWARAN,DISTRICT,Hearing,>60,486,362,124
AWARAN,AWARAN,DISTRICT,Memorization/ Focus,0 - 4,41,36,5
AWARAN,AWARAN,DISTRICT,Memorization/ Focus,10 - 12,35,27,8
AWARAN,AWARAN,DISTRICT,Memorization/ Focus,13 - 14,20,16,4
AWARAN,AWARAN,DISTRICT,Memorization/ Focus,15 - 24,76,62,14
AWARAN,AWARAN,DISTRICT,Memorization/ Focus,15 - 49,260,219,41
AWARAN,AWARAN,DISTRICT,Memorization/ Focus,25 - 40,94,78,16
AWARAN,AWARAN,DISTRICT,Memorization/ Focus,41 - 60,331,278,53
AWARAN,AWARAN,DISTRICT,Memorization/ Focus,5 - 16,118,96,22
AWARAN,AWARAN,DISTRICT,Memorization/ Focus,5 - 9,42,35,7
AWARAN,AWARAN,DISTRICT,Memorization/ Focus,>18,968,764,204
AWARAN,AWARAN,DISTRICT,Memorization/ Focus,>60,505,378,127
AWARAN,AWARAN,DISTRICT,Population,0 - 4,31481,23171,8310
AWARAN,AWARAN,DISTRICT,Population,10 - 12,16901,12775,4126
AWARAN,AWARAN,DISTRICT,Population,13 - 14,8869,6527,2342
AWARAN,AWARAN,DISTRICT,Population,15 - 24,31362,22649,8713
AWARAN,AWARAN,DISTRICT,Population,15 - 49,75924,55324,20600
AWARAN,AWARAN,DISTRICT,Population,25 - 40,33213,24338,8875
AWARAN,AWARAN,DISTRICT,Population,41 - 60,20011,14868,5143
AWARAN,AWARAN,DISTRICT,Population,5 - 16,64747,48465,16282
AWARAN,AWARAN,DISTRICT,Population,5 - 9,31068,23402,7666
AWARAN,AWARAN,DISTRICT,Population,>18,75654,55339,20315
AWARAN,AWARAN,DISTRICT,Population,>60,6053,4392,1661
AWARAN,AWARAN,DISTRICT,Seeing,0 - 4,40,36,4
AWARAN,AWARAN,DISTRICT,Seeing,10 - 12,47,37,10
AWARAN,AWARAN,DISTRICT,Seeing,13 - 14,23,19,4
AWARAN,AWARAN,DISTRICT,Seeing,15 - 24,111,97,14
AWARAN,AWARAN,DISTRICT,Seeing,15 - 49,313,254,59
AWARAN,AWARAN,DISTRICT,Seeing,25 - 40,97,73,24
AWARAN,AWARAN,DISTRICT,Seeing,41 - 60,353,274,79
AWARAN,AWARAN,DISTRICT,Seeing,5 - 16,176,151,25
AWARAN,AWARAN,DISTRICT,Seeing,5 - 9,73,66,7
AWARAN,AWARAN,DISTRICT,Seeing,>18,1163,866,297
AWARAN,AWARAN,DISTRICT,Seeing,>60,662,474,188
AWARAN,AWARAN,DISTRICT,Self care etc,0 - 4,2,2,0
AWARAN,AWARAN,DISTRICT,Self care etc,10 - 12,3,3,0
AWARAN,AWARAN,DISTRICT,Self care etc,13 - 14,1,1,0
AWARAN,AWARAN,DISTRICT,Self care etc,15 - 24,10,10,0
AWARAN,AWARAN,DISTRICT,Self care etc,15 - 49,129,123,6
AWARAN,AWARAN,DISTRICT,Self care etc,25 - 40,49,49,0
AWARAN,AWARAN,DISTRICT,Self care etc,41 - 60,321,275,46
AWARAN,AWARAN,DISTRICT,Self care etc,5 - 16,8,8,0
AWARAN,AWARAN,DISTRICT,Self care etc,5 - 9,2,2,0
AWARAN,AWARAN,DISTRICT,Self care etc,>18,851,689,162
AWARAN,AWARAN,DISTRICT,Self care etc,>60,473,357,116
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,0 - 4,40,35,5
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,10 - 12,48,36,12
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,13 - 14,23,18,5
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,15 - 24,80,71,9
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,15 - 49,499,382,117
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,25 - 40,154,124,30
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,41 - 60,970,719,251
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,5 - 16,151,114,37
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,5 - 9,55,39,16
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,>18,2628,1933,695
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,>60,1460,1049,411
BARKHAN,BARKHAN,DISTRICT,Communication,0 - 4,43,41,2
BARKHAN,BARKHAN,DISTRICT,Communication,10 - 12,89,83,6
BARKHAN,BARKHAN,DISTRICT,Communication,13 - 14,38,37,1
BARKHAN,BARKHAN,DISTRICT,Communication,15 - 24,170,164,6
BARKHAN,BARKHAN,DISTRICT,Communication,15 - 49,766,709,57
BARKHAN,BARKHAN,DISTRICT,Communication,25 - 40,297,269,28
