name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
ATTOCK,ATTOCK,DISTRICT,Communication,0 - 4,621,495,126
ATTOCK,ATTOCK,DISTRICT,Communication,10 - 12,778,604,174
ATTOCK,ATTOCK,DISTRICT,Communication,13 - 14,492,377,115
ATTOCK,ATTOCK,DISTRICT,Communication,15 - 24,2232,1695,537
ATTOCK,ATTOCK,DISTRICT,Communication,15 - 49,7110,5525,1585
ATTOCK,ATTOCK,DISTRICT,Communication,25 - 40,2660,2122,538
ATTOCK,ATTOCK,DISTRICT,Communication,41 - 60,8399,6339,2060
ATTOCK,ATTOCK,DISTRICT,Communication,5 - 16,2876,2213,663
ATTOCK,ATTOCK,DISTRICT,Communication,5 - 9,1114,860,254
ATTOCK,ATTOCK,DISTRICT,Communication,>18,22996,17522,5474
ATTOCK,ATTOCK,DISTRICT,Communication,>60,10634,8069,2565
ATTOCK,ATTOCK,DISTRICT,Disability,0 - 4,1645,1416,229
ATTOCK,ATTOCK,DISTRICT,Disability,10 - 12,1990,1609,381
ATTOCK,ATTOCK,DISTRICT,Disability,13 - 14,1324,1046,278
ATTOCK,ATTOCK,DISTRICT,Disability,15 - 24,6140,4804,1336
ATTOCK,ATTOCK,DISTRICT,Disability,15 - 49,20567,16622,3945
ATTOCK,ATTOCK,DISTRICT,Disability,25 - 40,9041,7372,1669
ATTOCK,ATTOCK,DISTRICT,Disability,41 - 60,23338,17633,5705
ATTOCK,ATTOCK,DISTRICT,Disability,5 - 16,7116,5718,1398
ATTOCK,ATTOCK,DISTRICT,Disability,5 - 9,2505,2062,443
ATTOCK,ATTOCK,DISTRICT,Disability,>18,81972,62900,19072
ATTOCK,ATTOCK,DISTRICT,Disability,>60,45929,34991,10938
ATTOCK,ATTOCK,DISTRICT,Functional limitation,0 - 4,1766,1498,268
ATTOCK,ATTOCK,DISTRICT,Functional limitation,10 - 12,2461,1928,533
ATTOCK,ATTOCK,DISTRICT,Functional limitation,13 - 14,1698,1302,396
ATTOCK,ATTOCK,DISTRICT,Functional limitation,15 - 24,7735,5922,1813
ATTOCK,ATTOCK,DISTRICT,Functional limitation,15 - 49,43743,33039,10704
ATTOCK,ATTOCK,DISTRICT,Functional limitation,25 - 40,11932,9404,2528
ATTOCK,ATTOCK,DISTRICT,Functional limitation,41 - 60,83630,61704,21926
ATTOCK,ATTOCK,DISTRICT,Functional limitation,5 - 16,8524,6691,1833
