name_admin_unit,part_of_district,admin_unit,disab_func_lim,age_group,overall,rural,urban
BADIN,BADIN,DISTRICT,Communication,0 - 4,378,315,63
BADIN,BADIN,DISTRICT,Communication,10 - 12,724,565,159
BADIN,BADIN,DISTRICT,Communication,13 - 14,356,270,86
BADIN,BADIN,DISTRICT,Communication,15 - 24,1793,1388,405
BADIN,BADIN,DISTRICT,Communication,15 - 49,5970,4627,1343
BADIN,BADIN,DISTRICT,Communication,25 - 40,1899,1440,459
BADIN,BADIN,DISTRICT,Communication,41 - 60,5787,4252,1535
BADIN,BADIN,DISTRICT,Communication,5 - 16,2734,2139,595
BADIN,BADIN,DISTRICT,Communication,5 - 9,1170,917,253
BADIN,BADIN,DISTRICT,Communication,>18,13919,10398,3521
BADIN,BADIN,DISTRICT,Communication,>60,5320,3995,1325
BADIN,BADIN,DISTRICT,Disability,0 - 4,1029,912,117
BADIN,BADIN,DISTRICT,Disability,10 - 12,1480,1237,243
BADIN,BADIN,DISTRICT,Disability,13 - 14,754,604,150
BADIN,BADIN,DISTRICT,Disability,15 - 24,3693,3027,666
BADIN,BADIN,DISTRICT,Disability,15 - 49,10263,8532,1731
BADIN,BADIN,DISTRICT,Disability,25 - 40,4368,3584,784
BADIN,BADIN,DISTRICT,Disability,41 - 60,9381,7370,2011
BADIN,BADIN,DISTRICT,Disability,5 - 16,5480,4501,979
BADIN,BADIN,DISTRICT,Disability,5 - 9,2302,1893,409
BADIN,BADIN,DISTRICT,Disability,>18,32186,25462,6724
BADIN,BADIN,DISTRICT,Disability,>60,16447,12855,3592
BADIN,BADIN,DISTRICT,Functional limitation,0 - 4,1346,1152,194
BADIN,BADIN,DISTRICT,Functional limitation,10 - 12,2386,1969,417
BADIN,BADIN,DISTRICT,Functional limitation,13 - 14,1219,951,268
BADIN,BADIN,DISTRICT,Functional limitation,15 - 24,8549,6854,1695
BADIN,BADIN,DISTRICT,Functional limitation,15 - 49,53409,41777,11632
BADIN,BADIN,DISTRICT,Functional limitation,25 - 40,18990,14829,4161
BADIN,BADIN,DISTRICT,Functional limitation,41 - 60,63319,48468,14851
BADIN,BADIN,DISTRICT,Functional limitation,5 - 16,7818,6363,1455
BADIN,BADIN,DISTRICT,Functional limitation,5 - 9,2784,2285,499
BADIN,BADIN,DISTRICT,Functional limitation,>18,142517,110189,32328
BADIN,BADIN,DISTRICT,Functional limitation,>60,54095,41990,12105
BADIN,BADIN,DISTRICT,Hearing,0 - 4,241,205,36
BADIN,BADIN,DISTRICT,Hearing,10 - 12,521,410,111
BADIN,BADIN,DISTRICT,Hearing,13 - 14,269,202,67
BADIN,BADIN,DISTRICT,Hearing,15 - 24,1792,1408,384
BADIN,BADIN,DISTRICT,Hearing,15 - 49,11985,9305,2680
BADIN,BADIN,DISTRICT,Hearing,25 - 40,4128,3199,929
BADIN,BADIN,DISTRICT,Hearing,41 - 60,14379,10903,3476
BADIN,BADIN,DISTRICT,Hearing,5 - 16,1837,1446,391
BADIN,BADIN,DISTRICT,Hearing,5 - 9,740,590,150
BADIN,BADIN,DISTRICT,Hearing,>18,31146,24041,7105
BADIN,BADIN,DISTRICT,Hearing,>60,11419,8967,2452
BADIN,BADIN,DISTRICT,Memorization/ Focus,0 - 4,258,212,46
BADIN,BADIN,DISTRICT,Memorization/ Focus,10 - 12,589,451,138
BADIN,BADIN,DISTRICT,Memorization/ Focus,13 - 14,306,224,82
BADIN,BADIN,DISTRICT,Memorization/ Focus,15 - 24,1930,1482,448
BADIN,BADIN,DISTRICT,Memorization/ Focus,15 - 49,9070,6966,2104
BADIN,BADIN,DISTRICT,Memorization/ Focus,25 - 40,3432,2627,805
BADIN,BADIN,DISTRICT,Memorization/ Focus,41 - 60,9025,6997,2028
BADIN,BADIN,DISTRICT,Memorization/ Focus,5 - 16,2080,1587,493
BADIN,BADIN,DISTRICT,Memorization/ Focus,5 - 9,781,602,179
BADIN,BADIN,DISTRICT,Memorization/ Focus,>18,21366,16483,4883
BADIN,BADIN,DISTRICT,Memorization/ Focus,>60,7713,5938,1775
BADIN,BADIN,DISTRICT,Population,0 - 4,310864,249940,60924
BADIN,BADIN,DISTRICT,Population,10 - 12,153167,121781,31386
BADIN,BADIN,DISTRICT,Population,13 - 14,77069,59160,17909
BADIN,BADIN,DISTRICT,Population,15 - 24,343231,263898,79333
BADIN,BADIN,DISTRICT,Population,15 - 49,893428,683432,209996
BADIN,BADIN,DISTRICT,Population,25 - 40,390916,297662,93254
BADIN,BADIN,DISTRICT,Population,41 - 60,272743,207906,64837
BADIN,BADIN,DISTRICT,Population,5 - 16,622448,493069,129379
BADIN,BADIN,DISTRICT,Population,5 - 9,314685,252349,62336
BADIN,BADIN,DISTRICT,Population,>18,940173,718338,221835
BADIN,BADIN,DISTRICT,Population,>60,82742,63871,18871
BADIN,BADIN,DISTRICT,Seeing,0 - 4,285,233,52
BADIN,BADIN,DISTRICT,Seeing,10 - 12,589,471,118
BADIN,BADIN,DISTRICT,Seeing,13 - 14,317,242,75
BADIN,BADIN,DISTRICT,Seeing,15 - 24,2115,1665,450
BADIN,BADIN,DISTRICT,Seeing,15 - 49,11274,8704,2570
BADIN,BADIN,DISTRICT,Seeing,25 - 40,4219,3271,948
BADIN,BADIN,DISTRICT,Seeing,41 - 60,11593,8907,2686
BADIN,BADIN,DISTRICT,Seeing,5 - 16,1926,1514,412
BADIN,BADIN,DISTRICT,Seeing,5 - 9,652,509,143
BADIN,BADIN,DISTRICT,Seeing,>18,28479,22052,6427
BADIN,BADIN,DISTRICT,Seeing,>60,11167,8683,2484
BADIN,BADIN,DISTRICT,Self care etc,0 - 4,73,72,1
BADIN,BADIN,DISTRICT,Self care etc,10 - 12,64,60,4
BADIN,BADIN,DISTRICT,Self care etc,13 - 14,34,28,6
BADIN,BADIN,DISTRICT,Self care etc,15 - 24,397,332,65
BADIN,BADIN,DISTRICT,Self care etc,15 - 49,4827,3840,987
BADIN,BADIN,DISTRICT,Self care etc,25 - 40,1613,1297,316
BADIN,BADIN,DISTRICT,Self care etc,41 - 60,7396,5879,1517
BADIN,BADIN,DISTRICT,Self care etc,5 - 16,207,187,20
BADIN,BADIN,DISTRICT,Self care etc,5 - 9,77,75,2
BADIN,BADIN,DISTRICT,Self care etc,>18,15523,12268,3255
BADIN,BADIN,DISTRICT,Self care etc,>60,6176,4810,1366
