name_admin_unit,part_of_district,admin_unit,hh_type,overall,rural,urban
AWARAN,AWARAN,DISTRICT,KACHA,20650,17482,3168
AWARAN,AWARAN,DISTRICT,PAKKA,3495,1291,2204
AWARAN,AWARAN,DISTRICT,SEMI PAKKA,3651,2591,1060
AWARAN,AWARAN,DISTRICT,TOTAL,27796,21364,6432
BARKHAN,BARKHAN,DISTRICT,KACHA,19491,18565,926
BARKHAN,BARKHAN,DISTRICT,PAKKA,1305,871,434
BARKHAN,BARKHAN,DISTRICT,SEMI PAKKA,2257,2146,111
BARKHAN,BARKHAN,DISTRICT,TOTAL,23053,21582,1471
CHAGAI,CHAGAI,DISTRICT,KACHA,33576,32060,1516
CHAGAI,CHAGAI,DISTRICT,PAKKA,3378,2468,910
CHAGAI,CHAGAI,DISTRICT,SEMI PAKKA,1259,1112,147
CHAGAI,CHAGAI,DISTRICT,TOTAL,38213,35640,2573
CHAMAN,CHAMAN,DISTRICT,KACHA,38616,29732,8884
CHAMAN,CHAMAN,DISTRICT,PAKKA,7909,2367,5542
CHAMAN,CHAMAN,DISTRICT,SEMI PAKKA,15390,10711,4679
CHAMAN,CHAMAN,DISTRICT,TOTAL,61915,42810,19105
DERA BUGTI,DERA BUGTI,DISTRICT,KACHA,48531,38118,10413
DERA BUGTI,DERA BUGTI,DISTRICT,PAKKA,9445,1670,7775
DERA BUGTI,DERA BUGTI,DISTRICT,SEMI PAKKA,4291,2651,1640
DERA BUGTI,DERA BUGTI,DISTRICT,TOTAL,62267,42439,19828
DUKI,DUKI,DISTRICT,KACHA,33818,31863,1955
DUKI,DUKI,DISTRICT,PAKKA,2193,1562,631
DUKI,DUKI,DISTRICT,SEMI PAKKA,7048,6641,407
DUKI,DUKI,DISTRICT,TOTAL,43059,40066,2993
GWADAR,GWADAR,DISTRICT,KACHA,16293,11010,5283
GWADAR,GWADAR,DISTRICT,PAKKA,25890,8432,17458
GWADAR,GWADAR,DISTRICT,SEMI PAKKA,8174,3097,5077
GWADAR,GWADAR,DISTRICT,TOTAL,50357,22539,27818
HARNAI,HARNAI,DISTRICT,KACHA,12021,9641,2380
HARNAI,HARNAI,DISTRICT,PAKKA,2690,1225,1465
HARNAI,HARNAI,DISTRICT,SEMI PAKKA,1682,1025,657
HARNAI,HARNAI,DISTRICT,TOTAL,16393,11891,4502
JAFFARABAD,JAFFARABAD,DISTRICT,KACHA,56109,51159,4950
JAFFARABAD,JAFFARABAD,DISTRICT,PAKKA,17223,7125,10098
JAFFARABAD,JAFFARABAD,DISTRICT,SEMI PAKKA,8230,4479,3751
JAFFARABAD,JAFFARABAD,DISTRICT,TOTAL,81562,62763,18799
JHAL MAGSI,JHAL MAGSI,DISTRICT,KACHA,27266,24564,2702
JHAL MAGSI,JHAL MAGSI,DISTRICT,PAKKA,979,709,270
JHAL MAGSI,JHAL MAGSI,DISTRICT,SEMI PAKKA,2708,1984,724
JHAL MAGSI,JHAL MAGSI,DISTRICT,TOTAL,30953,27257,3696
KACHHI,KACHHI,DISTRICT,KACHA,39564,35851,3713
KACHHI,KACHHI,DISTRICT,PAKKA,4478,1744,2734
