name_admin_unit,part_of_district,admin_unit,hh_type,overall,rural,urban
ATTOCK,ATTOCK,DISTRICT,KACHA,15836,14103,1733
ATTOCK,ATTOCK,DISTRICT,PAKKA,300730,208727,92003
ATTOCK,ATTOCK,DISTRICT,SEMI PAKKA,37407,33744,3663
ATTOCK,ATTOCK,DISTRICT,TOTAL,353973,256574,97399
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,KACHA,75664,67538,8126
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,PAKKA,383565,257416,126149
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,SEMI PAKKA,98387,76365,22022
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,TOTAL,557616,401319,156297
BAHAWALPUR,BAHAWALPUR,DISTRICT,KACHA,42798,35155,7643
BAHAWALPUR,BAHAWALPUR,DISTRICT,PAKKA,501686,268937,232749
BAHAWALPUR,BAHAWALPUR,DISTRICT,SEMI PAKKA,128953,112388,16565
BAHAWALPUR,BAHAWALPUR,DISTRICT,TOTAL,673437,416480,256957
BHAKKAR,BHAKKAR,DISTRICT,KACHA,39586,36260,3326
BHAKKAR,BHAKKAR,DISTRICT,PAKKA,225505,177770,47735
BHAKKAR,BHAKKAR,DISTRICT,SEMI PAKKA,48220,43112,5108
BHAKKAR,BHAKKAR,DISTRICT,TOTAL,313311,257142,56169
CHAKWAL,CHAKWAL,DISTRICT,KACHA,8930,7175,1755
CHAKWAL,CHAKWAL,DISTRICT,PAKKA,255217,191386,63831
CHAKWAL,CHAKWAL,DISTRICT,SEMI PAKKA,24691,19661,5030
CHAKWAL,CHAKWAL,DISTRICT,TOTAL,288838,218222,70616
CHINIOT,CHINIOT,DISTRICT,KACHA,23126,20770,2356
CHINIOT,CHINIOT,DISTRICT,PAKKA,199798,128341,71457
CHINIOT,CHINIOT,DISTRICT,SEMI PAKKA,33514,24232,9282
CHINIOT,CHINIOT,DISTRICT,TOTAL,256438,173343,83095
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,KACHA,141920,131802,10118
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,PAKKA,241554,144696,96858
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,SEMI PAKKA,70990,63367,7623
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,TOTAL,454464,339865,114599
FAISALABAD,FAISALABAD,DISTRICT,KACHA,35459,29280,6179
FAISALABAD,FAISALABAD,DISTRICT,PAKKA,1237096,598494,638602
FAISALABAD,FAISALABAD,DISTRICT,SEMI PAKKA,110218,86798,23420
FAISALABAD,FAISALABAD,DISTRICT,TOTAL,1382773,714572,668201
GUJRANWALA,GUJRANWALA,DISTRICT,KACHA,17801,10670,7131
GUJRANWALA,GUJRANWALA,DISTRICT,PAKKA,741932,254491,487441
GUJRANWALA,GUJRANWALA,DISTRICT,SEMI PAKKA,89444,68028,21416
GUJRANWALA,GUJRANWALA,DISTRICT,TOTAL,849177,333189,515988
GUJRAT,GUJRAT,DISTRICT,KACHA,10534,5933,4601
GUJRAT,GUJRAT,DISTRICT,PAKKA,428939,246202,182737
GUJRAT,GUJRAT,DISTRICT,SEMI PAKKA,49864,32472,17392
GUJRAT,GUJRAT,DISTRICT,TOTAL,489337,284607,204730
HAFIZABAD,HAFIZABAD,DISTRICT,KACHA,8013,6240,1773
HAFIZABAD,HAFIZABAD,DISTRICT,PAKKA,153252,89546,63706
HAFIZABAD,HAFIZABAD,DISTRICT,SEMI PAKKA,35941,24472,11469
HAFIZABAD,HAFIZABAD,DISTRICT,TOTAL,197206,120258,76948
JHANG,JHANG,DISTRICT,KACHA,40004,36817,3187
JHANG,JHANG,DISTRICT,PAKKA,397371,276167,121204
JHANG,JHANG,DISTRICT,SEMI PAKKA,54624,45157,9467
JHANG,JHANG,DISTRICT,TOTAL,491999,358141,133858
JHELUM,JHELUM,DISTRICT,KACHA,7057,5485,1572
JHELUM,JHELUM,DISTRICT,PAKKA,188131,104889,83242
JHELUM,JHELUM,DISTRICT,SEMI PAKKA,33876,28464,5412
JHELUM,JHELUM,DISTRICT,TOTAL,229064,138838,90226
KASUR,KASUR,DISTRICT,KACHA,25679,21645,4034
KASUR,KASUR,DISTRICT,PAKKA,540354,360788,179566
KASUR,KASUR,DISTRICT,SEMI PAKKA,79275,60611,18664
KASUR,KASUR,DISTRICT,TOTAL,645308,443044,202264
KHANEWAL,KHANEWAL,DISTRICT,KACHA,47228,44160,3068
KHANEWAL,KHANEWAL,DISTRICT,PAKKA,420871,314344,106527
KHANEWAL,KHANEWAL,DISTRICT,SEMI PAKKA,58097,51815,6282
KHANEWAL,KHANEWAL,DISTRICT,TOTAL,526196,410319,115877
KHUSHAB,KHUSHAB,DISTRICT,KACHA,16790,13809,2981
KHUSHAB,KHUSHAB,DISTRICT,PAKKA,176020,126122,49898
KHUSHAB,KHUSHAB,DISTRICT,SEMI PAKKA,55494,40652,14842
KHUSHAB,KHUSHAB,DISTRICT,TOTAL,248304,180583,67721
LAHORE,LAHORE,DISTRICT,KACHA,39037,,39037
LAHORE,LAHORE,DISTRICT,PAKKA,1935611,,1935611
LAHORE,LAHORE,DISTRICT,SEMI PAKKA,35577,,35577
LAHORE,LAHORE,DISTRICT,TOTAL,2010225,,2010225
LAYYAH,LAYYAH,DISTRICT,KACHA,34068,31655,2413
LAYYAH,LAYYAH,DISTRICT,PAKKA,267120,208926,58194
LAYYAH,LAYYAH,DISTRICT,SEMI PAKKA,39943,36745,3198
LAYYAH,LAYYAH,DISTRICT,TOTAL,341131,277326,63805
LODHRAN,LODHRAN,DISTRICT,KACHA,27002,25281,1721
LODHRAN,LODHRAN,DISTRICT,PAKKA,246571,195329,51242
LODHRAN,LODHRAN,DISTRICT,SEMI PAKKA,50293,46443,3850
LODHRAN,LODHRAN,DISTRICT,TOTAL,323866,267053,56813
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,KACHA,9629,8124,1505
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,PAKKA,225613,175647,49966
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,SEMI PAKKA,50747,46801,3946
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,TOTAL,285989,230572,55417
MIANWALI,MIANWALI,DISTRICT,KACHA,30108,27115,2993
MIANWALI,MIANWALI,DISTRICT,PAKKA,214514,162151,52363
MIANWALI,MIANWALI,DISTRICT,SEMI PAKKA,51717,42927,8790
MIANWALI,MIANWALI,DISTRICT,TOTAL,296339,232193,64146
MULTAN,MULTAN,DISTRICT,KACHA,82000,69271,12729
MULTAN,MULTAN,DISTRICT,PAKKA,686034,319304,366730
MULTAN,MULTAN,DISTRICT,SEMI PAKKA,118358,88173,30185
MULTAN,MULTAN,DISTRICT,TOTAL,886392,476748,409644
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,KACHA,158107,146867,11240
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,PAKKA,488335,369160,119175
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,SEMI PAKKA,157996,136586,21410
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,TOTAL,804438,652613,151825
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,KACHA,16618,15416,1202
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,PAKKA,185031,142592,42439
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,SEMI PAKKA,45307,38161,7146
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,TOTAL,246956,196169,50787
NAROWAL,NAROWAL,DISTRICT,KACHA,9787,9165,622
NAROWAL,NAROWAL,DISTRICT,PAKKA,233108,182177,50931
NAROWAL,NAROWAL,DISTRICT,SEMI PAKKA,38641,35888,2753
NAROWAL,NAROWAL,DISTRICT,TOTAL,281536,227230,54306
OKARA,OKARA,DISTRICT,KACHA,36491,31958,4533
OKARA,OKARA,DISTRICT,PAKKA,453858,283489,170369
OKARA,OKARA,DISTRICT,SEMI PAKKA,59375,45199,14176
OKARA,OKARA,DISTRICT,TOTAL,549724,360646,189078
PAKPATTAN,PAKPATTAN,DISTRICT,KACHA,30096,27719,2377
PAKPATTAN,PAKPATTAN,DISTRICT,PAKKA,273335,204617,68718
PAKPATTAN,PAKPATTAN,DISTRICT,SEMI PAKKA,41115,35080,6035
PAKPATTAN,PAKPATTAN,DISTRICT,TOTAL,344546,267416,77130
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,KACHA,95538,90801,4737
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,PAKKA,557630,364285,193345
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,SEMI PAKKA,173774,161996,11778
RAHIM YAR KHAN,RAHIM YAR KHAN,DISTRICT,TOTAL,826942,617082,209860
RAJANPUR,RAJANPUR,DISTRICT,KACHA,152953,137486,15467
RAJANPUR,RAJANPUR,DISTRICT,PAKKA,141395,71491,69904
RAJANPUR,RAJANPUR,DISTRICT,SEMI PAKKA,59668,48528,11140
RAJANPUR,RAJANPUR,DISTRICT,TOTAL,354016,257505,96511
RAWALPINDI,RAWALPINDI,DISTRICT,KACHA,15125,9129,5996
RAWALPINDI,RAWALPINDI,DISTRICT,PAKKA,954371,293976,660395
RAWALPINDI,RAWALPINDI,DISTRICT,SEMI PAKKA,28504,22157,6347
RAWALPINDI,RAWALPINDI,DISTRICT,TOTAL,998000,325262,672738
SAHIWAL,SAHIWAL,DISTRICT,KACHA,20333,18443,1890
SAHIWAL,SAHIWAL,DISTRICT,PAKKA,394320,279640,114680
SAHIWAL,SAHIWAL,DISTRICT,SEMI PAKKA,31953,26365,5588
SAHIWAL,SAHIWAL,DISTRICT,TOTAL,446606,324448,122158
SARGODHA,SARGODHA,DISTRICT,KACHA,49287,39203,10084
SARGODHA,SARGODHA,DISTRICT,PAKKA,466251,263432,202819
SARGODHA,SARGODHA,DISTRICT,SEMI PAKKA,168783,122341,46442
SARGODHA,SARGODHA,DISTRICT,TOTAL,684321,424976,259345
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,KACHA,14657,11722,2935
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,PAKKA,513119,297864,215255
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,SEMI PAKKA,65484,52560,12924
SHEIKHUPURA,SHEIKHUPURA,DISTRICT,TOTAL,593260,362146,231114
SIALKOT,SIALKOT,DISTRICT,KACHA,15758,12705,3053
SIALKOT,SIALKOT,DISTRICT,PAKKA,604148,386468,217680
SIALKOT,SIALKOT,DISTRICT,SEMI PAKKA,51414,46433,4981
SIALKOT,SIALKOT,DISTRICT,TOTAL,671320,445606,225714
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,KACHA,19412,17505,1907
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,PAKKA,338172,255051,83121
TOBA TEK SINGH,TOBA TEK SINGH,DISTRICT,SEMI PAKKA,36312,29798,6514
