name_admin_unit,part_of_district,admin_unit,hh_type,overall,rural,urban
BADIN,BADIN,DISTRICT,KACHA,282437,249889,32548
BADIN,BADIN,DISTRICT,PAKKA,87240,43693,43547
BADIN,BADIN,DISTRICT,SEMI PAKKA,28215,18367,9848
BADIN,BADIN,DISTRICT,TOTAL,397892,311949,85943
DADU,DADU,DISTRICT,KACHA,180719,168136,12583
DADU,DADU,DISTRICT,PAKKA,104661,44986,59675
DADU,DADU,DISTRICT,SEMI PAKKA,55091,43485,11606
DADU,DADU,DISTRICT,TOTAL,340471,256607,83864
GHOTKI,GHOTKI,DISTRICT,KACHA,137260,127492,9768
GHOTKI,GHOTKI,DISTRICT,PAKKA,142217,92198,50019
GHOTKI,GHOTKI,DISTRICT,SEMI PAKKA,51569,41830,9739
GHOTKI,GHOTKI,DISTRICT,TOTAL,331046,261520,69526
HYDERABAD,HYDERABAD,DISTRICT,KACHA,46908,28545,18363
HYDERABAD,HYDERABAD,DISTRICT,PAKKA,374845,36007,338838
HYDERABAD,HYDERABAD,DISTRICT,SEMI PAKKA,26438,10943,15495
HYDERABAD,HYDERABAD,DISTRICT,TOTAL,448191,75495,372696
JACOBABAD,JACOBABAD,DISTRICT,KACHA,112269,102674,9595
JACOBABAD,JACOBABAD,DISTRICT,PAKKA,54912,18999,35913
JACOBABAD,JACOBABAD,DISTRICT,SEMI PAKKA,27875,17053,10822
JACOBABAD,JACOBABAD,DISTRICT,TOTAL,195056,138726,56330
JAMSHORO,JAMSHORO,DISTRICT,KACHA,68072,60688,7384
JAMSHORO,JAMSHORO,DISTRICT,PAKKA,119466,41566,77900
JAMSHORO,JAMSHORO,DISTRICT,SEMI PAKKA,25955,14916,11039
JAMSHORO,JAMSHORO,DISTRICT,TOTAL,213493,117170,96323
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,KACHA,142579,121640,20939
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,PAKKA,80725,42459,38266
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,SEMI PAKKA,44249,29928,14321
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,TOTAL,267553,194027,73526
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,KACHA,5365,,5365
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,PAKKA,628188,,628188
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,SEMI PAKKA,17715,,17715
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,TOTAL,651268,,651268
KARACHI EAST,KARACHI EAST,DISTRICT,KACHA,17448,,17448
KARACHI EAST,KARACHI EAST,DISTRICT,PAKKA,616634,,616634
KARACHI EAST,KARACHI EAST,DISTRICT,SEMI PAKKA,25307,,25307
KARACHI EAST,KARACHI EAST,DISTRICT,TOTAL,659389,,659389
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,KACHA,3834,,3834
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,PAKKA,413861,,413861
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,SEMI PAKKA,7398,,7398
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,TOTAL,425093,,425093
KARACHI WEST,KARACHI WEST,DISTRICT,KACHA,8290,1452,6838
KARACHI WEST,KARACHI WEST,DISTRICT,PAKKA,419868,38330,381538
KARACHI WEST,KARACHI WEST,DISTRICT,SEMI PAKKA,36598,3566,33032
KARACHI WEST,KARACHI WEST,DISTRICT,TOTAL,464756,43348,421408
KASHMORE,KASHMORE,DISTRICT,KACHA,133947,122742,11205
KASHMORE,KASHMORE,DISTRICT,PAKKA,52435,24272,28163
KASHMORE,KASHMORE,DISTRICT,SEMI PAKKA,22512,15925,6587
KASHMORE,KASHMORE,DISTRICT,TOTAL,208894,162939,45955
KEAMARI,KEAMARI,DISTRICT,KACHA,4256,,4256
KEAMARI,KEAMARI,DISTRICT,PAKKA,295235,,295235
KEAMARI,KEAMARI,DISTRICT,SEMI PAKKA,19630,,19630
KEAMARI,KEAMARI,DISTRICT,TOTAL,319121,,319121
KHAIRPUR,KHAIRPUR,DISTRICT,KACHA,222443,175776,46667
KHAIRPUR,KHAIRPUR,DISTRICT,PAKKA,163886,83775,80111
KHAIRPUR,KHAIRPUR,DISTRICT,SEMI PAKKA,65921,46181,19740
KHAIRPUR,KHAIRPUR,DISTRICT,TOTAL,452250,305732,146518
KORANGI,KORANGI,DISTRICT,KACHA,6218,,6218
KORANGI,KORANGI,DISTRICT,PAKKA,475536,,475536
KORANGI,KORANGI,DISTRICT,SEMI PAKKA,11296,,11296
KORANGI,KORANGI,DISTRICT,TOTAL,493050,,493050
LARKANA,LARKANA,DISTRICT,KACHA,121739,103561,18178
LARKANA,LARKANA,DISTRICT,PAKKA,150538,48822,101716
LARKANA,LARKANA,DISTRICT,SEMI PAKKA,49251,25518,23733
LARKANA,LARKANA,DISTRICT,TOTAL,321528,177901,143627
MALIR,MALIR,DISTRICT,KACHA,17359,14762,2597
MALIR,MALIR,DISTRICT,PAKKA,384794,199441,185353
MALIR,MALIR,DISTRICT,SEMI PAKKA,19273,12201,7072
MALIR,MALIR,DISTRICT,TOTAL,421426,226404,195022
MATIARI,MATIARI,DISTRICT,KACHA,62669,57078,5591
MATIARI,MATIARI,DISTRICT,PAKKA,75547,49334,26213
MATIARI,MATIARI,DISTRICT,SEMI PAKKA,20247,15987,4260
MATIARI,MATIARI,DISTRICT,TOTAL,158463,122399,36064
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,KACHA,170466,157709,12757
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,PAKKA,104597,40870,63727
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,SEMI PAKKA,37923,29692,8231
MIRPUR KHAS,MIRPUR KHAS,DISTRICT,TOTAL,312986,228271,84715
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,KACHA,128251,112640,15611
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,PAKKA,125417,68119,57298
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,SEMI PAKKA,66100,50429,15671
NAUSHAHRO FEROZE,NAUSHAHRO FEROZE,DISTRICT,TOTAL,319768,231188,88580
SANGHAR,SANGHAR,DISTRICT,KACHA,207883,190296,17587
SANGHAR,SANGHAR,DISTRICT,PAKKA,149449,74835,74614
SANGHAR,SANGHAR,DISTRICT,SEMI PAKKA,49605,35662,13943
SANGHAR,SANGHAR,DISTRICT,TOTAL,406937,300793,106144
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,KACHA,153332,137350,15982
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,PAKKA,134116,62619,71497
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,SEMI PAKKA,46908,33736,13172
SHAHEED BENAZIRABAD,SHAHEED BENAZIRABAD,DISTRICT,TOTAL,334356,233705,100651
SHIKARPUR,SHIKARPUR,DISTRICT,KACHA,117500,107781,9719
SHIKARPUR,SHIKARPUR,DISTRICT,PAKKA,63071,29688,33383
SHIKARPUR,SHIKARPUR,DISTRICT,SEMI PAKKA,34253,25024,9229
SHIKARPUR,SHIKARPUR,DISTRICT,TOTAL,214824,162493,52331
SUJAWAL,SUJAWAL,DISTRICT,KACHA,128381,124312,4069
SUJAWAL,SUJAWAL,DISTRICT,PAKKA,25024,14419,10605
SUJAWAL,SUJAWAL,DISTRICT,SEMI PAKKA,5449,3758,1691
SUJAWAL,SUJAWAL,DISTRICT,TOTAL,158854,142489,16365
SUKKUR,SUKKUR,DISTRICT,KACHA,87637,73514,14123
SUKKUR,SUKKUR,DISTRICT,PAKKA,143107,48512,94595
SUKKUR,SUKKUR,DISTRICT,SEMI PAKKA,37844,23366,14478
SUKKUR,SUKKUR,DISTRICT,TOTAL,268588,145392,123196
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,KACHA,87994,74318,13676
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,PAKKA,69813,35627,34186
TANDO ALLAHYAR,TANDO ALLAHYAR,DISTRICT,SEMI PAKKA,19664,13722,5942
