name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
AWARAN,AWARAN,DISTRICT,OVERALL,REGULAR,178881,91580,87284,17,27796,99.95999999999999
AWARAN,AWARAN,DISTRICT,OVERALL,INSTITUTIONAL,16,10,6,,4,.01
AWARAN,AWARAN,DISTRICT,OVERALL,HOMELESS,61,33,28,,8,.03
AWARAN,AWARAN,DISTRICT,OVERALL,TOTAL,178958,91623,87318,17,27808,100
AWARAN,AWARAN,DISTRICT,RURAL,REGULAR,132061,67481,64568,12,21364,99.95999999999999
AWARAN,AWARAN,DISTRICT,RURAL,INSTITUTIONAL,8,6,2,,3,.01
AWARAN,AWARAN,DISTRICT,RURAL,HOMELESS,53,29,24,,6,.03
AWARAN,AWARAN,DISTRICT,RURAL,TOTAL,132122,67516,64594,12,21373,100
AWARAN,AWARAN,DISTRICT,URBAN,REGULAR,46820,24099,22716,5,6432,99.95
AWARAN,AWARAN,DISTRICT,URBAN,INSTITUTIONAL,8,4,4,,1,.02
AWARAN,AWARAN,DISTRICT,URBAN,HOMELESS,8,4,4,,2,.03
AWARAN,AWARAN,DISTRICT,URBAN,TOTAL,46836,24107,22724,5,6435,100
BARKHAN,BARKHAN,DISTRICT,OVERALL,REGULAR,208373,108043,100322,8,23053,99.93000000000001
BARKHAN,BARKHAN,DISTRICT,OVERALL,INSTITUTIONAL,1870,1579,291,,14,.06
BARKHAN,BARKHAN,DISTRICT,OVERALL,HOMELESS,6,2,4,,2,.01
BARKHAN,BARKHAN,DISTRICT,OVERALL,TOTAL,210249,109624,100617,8,23069,100
BARKHAN,BARKHAN,DISTRICT,RURAL,REGULAR,194336,100977,93352,7,21582,99.94
BARKHAN,BARKHAN,DISTRICT,RURAL,INSTITUTIONAL,1482,1247,235,,11,.05
BARKHAN,BARKHAN,DISTRICT,RURAL,HOMELESS,6,2,4,,2,.01
BARKHAN,BARKHAN,DISTRICT,RURAL,TOTAL,195824,102226,93591,7,21595,100
BARKHAN,BARKHAN,DISTRICT,URBAN,REGULAR,14037,7066,6970,1,1471,99.8
BARKHAN,BARKHAN,DISTRICT,URBAN,INSTITUTIONAL,388,332,56,,3,.2
BARKHAN,BARKHAN,DISTRICT,URBAN,HOMELESS,,,,,,0
BARKHAN,BARKHAN,DISTRICT,URBAN,TOTAL,14425,7398,7026,1,1474,100
CHAGAI,CHAGAI,DISTRICT,OVERALL,REGULAR,268111,139353,128753,5,38213,99.95
CHAGAI,CHAGAI,DISTRICT,OVERALL,INSTITUTIONAL,60,37,23,,14,.04
CHAGAI,CHAGAI,DISTRICT,OVERALL,HOMELESS,440,252,188,,7,.02
CHAGAI,CHAGAI,DISTRICT,OVERALL,TOTAL,268611,139642,128964,5,38234,100
CHAGAI,CHAGAI,DISTRICT,RURAL,REGULAR,248168,129148,119015,5,35640,99.94
CHAGAI,CHAGAI,DISTRICT,RURAL,INSTITUTIONAL,60,37,23,,14,.04
CHAGAI,CHAGAI,DISTRICT,RURAL,HOMELESS,424,245,179,,6,.02
CHAGAI,CHAGAI,DISTRICT,RURAL,TOTAL,248652,129430,119217,5,35660,100
CHAGAI,CHAGAI,DISTRICT,URBAN,REGULAR,19943,10205,9738,,2573,99.95999999999999
CHAGAI,CHAGAI,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
CHAGAI,CHAGAI,DISTRICT,URBAN,HOMELESS,16,7,9,,1,.04
CHAGAI,CHAGAI,DISTRICT,URBAN,TOTAL,19959,10212,9747,,2574,100
CHAMAN,CHAMAN,DISTRICT,OVERALL,REGULAR,466005,261079,204913,13,61916,99.95999999999999
CHAMAN,CHAMAN,DISTRICT,OVERALL,INSTITUTIONAL,112,52,60,,10,.02
CHAMAN,CHAMAN,DISTRICT,OVERALL,HOMELESS,101,63,38,,16,.03
CHAMAN,CHAMAN,DISTRICT,OVERALL,TOTAL,466218,261194,205011,13,61942,100
CHAMAN,CHAMAN,DISTRICT,RURAL,REGULAR,335959,189601,146346,12,42810,99.97
CHAMAN,CHAMAN,DISTRICT,RURAL,INSTITUTIONAL,86,42,44,,5,.01
CHAMAN,CHAMAN,DISTRICT,RURAL,HOMELESS,34,23,11,,8,.02
CHAMAN,CHAMAN,DISTRICT,RURAL,TOTAL,336079,189666,146401,12,42823,100
CHAMAN,CHAMAN,DISTRICT,URBAN,REGULAR,130046,71478,58567,1,19106,99.93000000000001
CHAMAN,CHAMAN,DISTRICT,URBAN,INSTITUTIONAL,26,10,16,,5,.03
CHAMAN,CHAMAN,DISTRICT,URBAN,HOMELESS,67,40,27,,8,.04
CHAMAN,CHAMAN,DISTRICT,URBAN,TOTAL,130139,71528,58610,1,19119,100
DERA BUGTI,DERA BUGTI,DISTRICT,OVERALL,REGULAR,355106,194486,160616,4,62270,99.95999999999999
DERA BUGTI,DERA BUGTI,DISTRICT,OVERALL,INSTITUTIONAL,50,28,22,,13,.02
DERA BUGTI,DERA BUGTI,DISTRICT,OVERALL,HOMELESS,118,74,44,,15,.02
DERA BUGTI,DERA BUGTI,DISTRICT,OVERALL,TOTAL,355274,194588,160682,4,62298,100
DERA BUGTI,DERA BUGTI,DISTRICT,RURAL,REGULAR,246666,137562,109101,3,42442,99.94
DERA BUGTI,DERA BUGTI,DISTRICT,RURAL,INSTITUTIONAL,43,23,20,,10,.02
DERA BUGTI,DERA BUGTI,DISTRICT,RURAL,HOMELESS,118,74,44,,15,.04
DERA BUGTI,DERA BUGTI,DISTRICT,RURAL,TOTAL,246827,137659,109165,3,42467,100
DERA BUGTI,DERA BUGTI,DISTRICT,URBAN,REGULAR,108440,56924,51515,1,19828,99.98
DERA BUGTI,DERA BUGTI,DISTRICT,URBAN,INSTITUTIONAL,7,5,2,,3,.02
DERA BUGTI,DERA BUGTI,DISTRICT,URBAN,HOMELESS,,,,,,0
DERA BUGTI,DERA BUGTI,DISTRICT,URBAN,TOTAL,108447,56929,51517,1,19831,100
DUKI,DUKI,DISTRICT,OVERALL,REGULAR,204995,107190,97757,48,43059,99.98
DUKI,DUKI,DISTRICT,OVERALL,INSTITUTIONAL,26,16,10,,7,.02
DUKI,DUKI,DISTRICT,OVERALL,HOMELESS,23,15,8,,3,.01
DUKI,DUKI,DISTRICT,OVERALL,TOTAL,205044,107221,97775,48,43069,100
DUKI,DUKI,DISTRICT,RURAL,REGULAR,195213,101910,93258,45,40066,99.98
DUKI,DUKI,DISTRICT,RURAL,INSTITUTIONAL,26,16,10,,7,.02
DUKI,DUKI,DISTRICT,RURAL,HOMELESS,22,14,8,,2,0
DUKI,DUKI,DISTRICT,RURAL,TOTAL,195261,101940,93276,45,40075,100
DUKI,DUKI,DISTRICT,URBAN,REGULAR,9782,5280,4499,3,2993,99.97
DUKI,DUKI,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
DUKI,DUKI,DISTRICT,URBAN,HOMELESS,1,1,,,1,.03
DUKI,DUKI,DISTRICT,URBAN,TOTAL,9783,5281,4499,3,2994,100
GWADAR,GWADAR,DISTRICT,OVERALL,REGULAR,302631,159496,143105,30,50357,99.95999999999999
GWADAR,GWADAR,DISTRICT,OVERALL,INSTITUTIONAL,122,84,38,,7,.01
GWADAR,GWADAR,DISTRICT,OVERALL,HOMELESS,78,46,31,1,12,.02
GWADAR,GWADAR,DISTRICT,OVERALL,TOTAL,302831,159626,143174,31,50376,100
GWADAR,GWADAR,DISTRICT,RURAL,REGULAR,146051,76429,69609,13,22539,99.95999999999999
GWADAR,GWADAR,DISTRICT,RURAL,INSTITUTIONAL,14,8,6,,2,.01
GWADAR,GWADAR,DISTRICT,RURAL,HOMELESS,60,35,24,1,7,.03
GWADAR,GWADAR,DISTRICT,RURAL,TOTAL,146125,76472,69639,14,22548,100
GWADAR,GWADAR,DISTRICT,URBAN,REGULAR,156580,83067,73496,17,27818,99.95999999999999
GWADAR,GWADAR,DISTRICT,URBAN,INSTITUTIONAL,108,76,32,,5,.02
GWADAR,GWADAR,DISTRICT,URBAN,HOMELESS,18,11,7,,5,.02
GWADAR,GWADAR,DISTRICT,URBAN,TOTAL,156706,83154,73535,17,27828,100
HARNAI,HARNAI,DISTRICT,OVERALL,REGULAR,127510,67314,60192,4,16393,99.95999999999999
HARNAI,HARNAI,DISTRICT,OVERALL,INSTITUTIONAL,49,41,8,,5,.03
HARNAI,HARNAI,DISTRICT,OVERALL,HOMELESS,12,7,5,,2,.01
HARNAI,HARNAI,DISTRICT,OVERALL,TOTAL,127571,67362,60205,4,16400,100
HARNAI,HARNAI,DISTRICT,RURAL,REGULAR,94086,48613,45470,3,11891,99.95999999999999
HARNAI,HARNAI,DISTRICT,RURAL,INSTITUTIONAL,45,37,8,,4,.03
HARNAI,HARNAI,DISTRICT,RURAL,HOMELESS,7,4,3,,1,.01
HARNAI,HARNAI,DISTRICT,RURAL,TOTAL,94138,48654,45481,3,11896,100
HARNAI,HARNAI,DISTRICT,URBAN,REGULAR,33424,18701,14722,1,4502,99.95999999999999
HARNAI,HARNAI,DISTRICT,URBAN,INSTITUTIONAL,4,4,,,1,.02
HARNAI,HARNAI,DISTRICT,URBAN,HOMELESS,5,3,2,,1,.02
HARNAI,HARNAI,DISTRICT,URBAN,TOTAL,33433,18708,14724,1,4504,100
JAFFARABAD,JAFFARABAD,DISTRICT,OVERALL,REGULAR,594151,301061,293080,10,81563,99.98
JAFFARABAD,JAFFARABAD,DISTRICT,OVERALL,INSTITUTIONAL,254,235,19,,7,.01
JAFFARABAD,JAFFARABAD,DISTRICT,OVERALL,HOMELESS,153,74,78,1,10,.01
JAFFARABAD,JAFFARABAD,DISTRICT,OVERALL,TOTAL,594558,301370,293177,11,81580,100
JAFFARABAD,JAFFARABAD,DISTRICT,RURAL,REGULAR,431009,218343,212664,2,62764,99.98
JAFFARABAD,JAFFARABAD,DISTRICT,RURAL,INSTITUTIONAL,3,2,1,,2,0
JAFFARABAD,JAFFARABAD,DISTRICT,RURAL,HOMELESS,153,74,78,1,10,.02
JAFFARABAD,JAFFARABAD,DISTRICT,RURAL,TOTAL,431165,218419,212743,3,62776,100
JAFFARABAD,JAFFARABAD,DISTRICT,URBAN,REGULAR,163142,82718,80416,8,18799,99.97
JAFFARABAD,JAFFARABAD,DISTRICT,URBAN,INSTITUTIONAL,251,233,18,,5,.03
JAFFARABAD,JAFFARABAD,DISTRICT,URBAN,HOMELESS,,,,,,0
JAFFARABAD,JAFFARABAD,DISTRICT,URBAN,TOTAL,163393,82951,80434,8,18804,100
JHAL MAGSI,JHAL MAGSI,DISTRICT,OVERALL,REGULAR,203024,103125,99886,13,30953,99.95
JHAL MAGSI,JHAL MAGSI,DISTRICT,OVERALL,INSTITUTIONAL,331,289,42,,12,.04
JHAL MAGSI,JHAL MAGSI,DISTRICT,OVERALL,HOMELESS,13,8,5,,2,.01
JHAL MAGSI,JHAL MAGSI,DISTRICT,OVERALL,TOTAL,203368,103422,99933,13,30967,100
JHAL MAGSI,JHAL MAGSI,DISTRICT,RURAL,REGULAR,179064,91774,87279,11,27257,99.95999999999999
JHAL MAGSI,JHAL MAGSI,DISTRICT,RURAL,INSTITUTIONAL,161,130,31,,8,.03
JHAL MAGSI,JHAL MAGSI,DISTRICT,RURAL,HOMELESS,13,8,5,,2,.01
JHAL MAGSI,JHAL MAGSI,DISTRICT,RURAL,TOTAL,179238,91912,87315,11,27267,100
JHAL MAGSI,JHAL MAGSI,DISTRICT,URBAN,REGULAR,23960,11351,12607,2,3696,99.89
JHAL MAGSI,JHAL MAGSI,DISTRICT,URBAN,INSTITUTIONAL,170,159,11,,4,.11
JHAL MAGSI,JHAL MAGSI,DISTRICT,URBAN,HOMELESS,,,,,,0
