name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
ISLAMABAD,ISLAMABAD,DISTRICT,OVERALL,REGULAR,2269934,1198237,1071448,249,410995,99.87
ISLAMABAD,ISLAMABAD,DISTRICT,OVERALL,INSTITUTIONAL,11870,9518,2338,14,421,.1
ISLAMABAD,ISLAMABAD,DISTRICT,OVERALL,HOMELESS,1440,1245,188,7,102,.02
ISLAMABAD,ISLAMABAD,DISTRICT,OVERALL,TOTAL,2283244,1209000,1073974,270,411518,100
ISLAMABAD,ISLAMABAD,DISTRICT,RURAL,REGULAR,1234907,644946,589918,43,226023,99.90000000000001
ISLAMABAD,ISLAMABAD,DISTRICT,RURAL,INSTITUTIONAL,4315,3196,1119,,174,.08
ISLAMABAD,ISLAMABAD,DISTRICT,RURAL,HOMELESS,1022,887,128,7,47,.02
ISLAMABAD,ISLAMABAD,DISTRICT,RURAL,TOTAL,1240244,649029,591165,50,226244,100
ISLAMABAD,ISLAMABAD,DISTRICT,URBAN,REGULAR,1035027,553291,481530,206,184972,99.84
ISLAMABAD,ISLAMABAD,DISTRICT,URBAN,INSTITUTIONAL,7555,6322,1219,14,247,.13
ISLAMABAD,ISLAMABAD,DISTRICT,URBAN,HOMELESS,418,358,60,,55,.03
ISLAMABAD,ISLAMABAD,DISTRICT,URBAN,TOTAL,1043000,559971,482809,220,185274,100
