name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,REGULAR,1393453,698757,694592,104,236789,99.90000000000001
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,INSTITUTIONAL,4037,3080,957,,214,.09
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,HOMELESS,97,69,28,,17,.01
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,TOTAL,1397587,701906,695577,104,237020,100
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,REGULAR,1085490,543422,542045,23,183532,99.97
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,INSTITUTIONAL,1140,972,168,,49,.03
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,HOMELESS,58,40,18,,12,.01
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,TOTAL,1086688,544434,542231,23,183593,100
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,REGULAR,307963,155335,152547,81,53257,99.68000000000001
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,INSTITUTIONAL,2897,2108,789,,165,.31
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,HOMELESS,39,29,10,,5,.01
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,TOTAL,310899,157472,153346,81,53427,100
BAJAUR,BAJAUR,DISTRICT,OVERALL,REGULAR,1282706,648090,634601,15,181699,99.98999999999999
BAJAUR,BAJAUR,DISTRICT,OVERALL,INSTITUTIONAL,396,378,18,,20,.01
BAJAUR,BAJAUR,DISTRICT,OVERALL,HOMELESS,11,5,6,,2,0
BAJAUR,BAJAUR,DISTRICT,OVERALL,TOTAL,1283113,648473,634625,15,181721,100
BAJAUR,BAJAUR,DISTRICT,RURAL,REGULAR,1282706,648090,634601,15,181699,99.98999999999999
BAJAUR,BAJAUR,DISTRICT,RURAL,INSTITUTIONAL,396,378,18,,20,.01
BAJAUR,BAJAUR,DISTRICT,RURAL,HOMELESS,11,5,6,,2,0
BAJAUR,BAJAUR,DISTRICT,RURAL,TOTAL,1283113,648473,634625,15,181721,100
BAJAUR,BAJAUR,DISTRICT,URBAN,REGULAR,,,,,,0
BAJAUR,BAJAUR,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
BAJAUR,BAJAUR,DISTRICT,URBAN,HOMELESS,,,,,,0
BAJAUR,BAJAUR,DISTRICT,URBAN,TOTAL,,,,,,100
BANNU,BANNU,DISTRICT,OVERALL,REGULAR,1349374,700306,649049,19,183130,99.94
BANNU,BANNU,DISTRICT,OVERALL,INSTITUTIONAL,5229,4211,1018,,102,.06
BANNU,BANNU,DISTRICT,OVERALL,HOMELESS,71,39,32,,14,.01
BANNU,BANNU,DISTRICT,OVERALL,TOTAL,1354674,704556,650099,19,183246,100
BANNU,BANNU,DISTRICT,RURAL,REGULAR,1302905,675787,627106,12,176054,99.95
BANNU,BANNU,DISTRICT,RURAL,INSTITUTIONAL,3604,2814,790,,69,.04
BANNU,BANNU,DISTRICT,RURAL,HOMELESS,69,37,32,,12,.01
BANNU,BANNU,DISTRICT,RURAL,TOTAL,1306578,678638,627928,12,176135,100
BANNU,BANNU,DISTRICT,URBAN,REGULAR,46469,24519,21943,7,7076,99.51000000000001
BANNU,BANNU,DISTRICT,URBAN,INSTITUTIONAL,1625,1397,228,,33,.46
BANNU,BANNU,DISTRICT,URBAN,HOMELESS,2,2,,,2,.03
BANNU,BANNU,DISTRICT,URBAN,TOTAL,48096,25918,22171,7,7111,100
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,REGULAR,552981,280601,272370,10,86196,99.97
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,INSTITUTIONAL,301,289,12,,25,.03
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,HOMELESS,3,3,,,3,0
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,TOTAL,553285,280893,272382,10,86224,100
BATAGRAM,BATAGRAM,DISTRICT,RURAL,REGULAR,552981,280601,272370,10,86196,99.97
