name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
ATTOCK,ATTOCK,DISTRICT,OVERALL,REGULAR,2121696,1062720,1058895,81,353975,99.93000000000001
ATTOCK,ATTOCK,DISTRICT,OVERALL,INSTITUTIONAL,10943,8702,2241,,205,.06
ATTOCK,ATTOCK,DISTRICT,OVERALL,HOMELESS,366,271,95,,55,.02
ATTOCK,ATTOCK,DISTRICT,OVERALL,TOTAL,2133005,1071693,1061231,81,354235,100
ATTOCK,ATTOCK,DISTRICT,RURAL,REGULAR,1539996,770871,769107,18,256576,99.94
ATTOCK,ATTOCK,DISTRICT,RURAL,INSTITUTIONAL,6097,4693,1404,,106,.04
ATTOCK,ATTOCK,DISTRICT,RURAL,HOMELESS,263,175,88,,41,.02
ATTOCK,ATTOCK,DISTRICT,RURAL,TOTAL,1546356,775739,770599,18,256723,100
ATTOCK,ATTOCK,DISTRICT,URBAN,REGULAR,581700,291849,289788,63,97399,99.88
ATTOCK,ATTOCK,DISTRICT,URBAN,INSTITUTIONAL,4846,4009,837,,99,.1
ATTOCK,ATTOCK,DISTRICT,URBAN,HOMELESS,103,96,7,,14,.01
ATTOCK,ATTOCK,DISTRICT,URBAN,TOTAL,586649,295954,290632,63,97512,100
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,REGULAR,3510245,1818037,1691844,364,557623,99.87
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,INSTITUTIONAL,31388,22880,8505,3,481,.09
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,HOMELESS,3278,1971,1304,3,229,.04
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,TOTAL,3544911,1842888,1701653,370,558333,100
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,REGULAR,2553048,1323579,1229370,99,401325,99.89
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,INSTITUTIONAL,15676,11817,3859,,267,.07
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,HOMELESS,2572,1554,1017,1,180,.04
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,TOTAL,2571296,1336950,1234246,100,401772,100
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,REGULAR,957197,494458,462474,265,156298,99.83
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,INSTITUTIONAL,15712,11063,4646,3,214,.14
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,HOMELESS,706,417,287,2,49,.03
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,TOTAL,973615,505938,467407,270,156561,100
BAHAWALPUR,BAHAWALPUR,DISTRICT,OVERALL,REGULAR,4232637,2143850,2088378,409,673439,99.89
BAHAWALPUR,BAHAWALPUR,DISTRICT,OVERALL,INSTITUTIONAL,29521,19756,9761,4,519,.08
BAHAWALPUR,BAHAWALPUR,DISTRICT,OVERALL,HOMELESS,2299,1552,691,56,197,.03
BAHAWALPUR,BAHAWALPUR,DISTRICT,OVERALL,TOTAL,4264457,2165158,2098830,469,674155,100
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,REGULAR,2654693,1344472,1310096,125,416480,99.95
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,INSTITUTIONAL,6649,4947,1700,2,110,.03
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,HOMELESS,1145,727,408,10,101,.02
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,TOTAL,2662487,1350146,1312204,137,416691,100
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,REGULAR,1577944,799378,778282,284,256959,99.8
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,INSTITUTIONAL,22872,14809,8061,2,409,.16
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,HOMELESS,1154,825,283,46,96,.04
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,TOTAL,1601970,815012,786626,332,257464,100
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,REGULAR,1950884,1011451,939362,71,313313,99.92
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,INSTITUTIONAL,3199,2929,270,,105,.03
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,HOMELESS,2888,1744,1138,6,141,.04
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,TOTAL,1956971,1016124,940770,77,313559,100
BHAKKAR,BHAKKAR,DISTRICT,RURAL,REGULAR,1600753,830050,770673,30,257143,99.93000000000001
BHAKKAR,BHAKKAR,DISTRICT,RURAL,INSTITUTIONAL,1709,1632,77,,56,.02
BHAKKAR,BHAKKAR,DISTRICT,RURAL,HOMELESS,2218,1351,861,6,114,.04
BHAKKAR,BHAKKAR,DISTRICT,RURAL,TOTAL,1604680,833033,771611,36,257313,100
BHAKKAR,BHAKKAR,DISTRICT,URBAN,REGULAR,350131,181401,168689,41,56170,99.86
BHAKKAR,BHAKKAR,DISTRICT,URBAN,INSTITUTIONAL,1490,1297,193,,49,.09
BHAKKAR,BHAKKAR,DISTRICT,URBAN,HOMELESS,670,393,277,,27,.05
BHAKKAR,BHAKKAR,DISTRICT,URBAN,TOTAL,352291,183091,169159,41,56246,100
CHAKWAL,CHAKWAL,DISTRICT,OVERALL,REGULAR,1724881,857197,867601,83,288838,99.94
CHAKWAL,CHAKWAL,DISTRICT,OVERALL,INSTITUTIONAL,6217,4974,1243,,113,.04
CHAKWAL,CHAKWAL,DISTRICT,OVERALL,HOMELESS,591,338,247,6,46,.02
CHAKWAL,CHAKWAL,DISTRICT,OVERALL,TOTAL,1731689,862509,869091,89,288997,100
CHAKWAL,CHAKWAL,DISTRICT,RURAL,REGULAR,1292573,640493,652070,10,218222,99.95
CHAKWAL,CHAKWAL,DISTRICT,RURAL,INSTITUTIONAL,3797,2853,944,,73,.03
CHAKWAL,CHAKWAL,DISTRICT,RURAL,HOMELESS,561,310,246,5,37,.02
CHAKWAL,CHAKWAL,DISTRICT,RURAL,TOTAL,1296931,643656,653260,15,218332,100
CHAKWAL,CHAKWAL,DISTRICT,URBAN,REGULAR,432308,216704,215531,73,70616,99.93000000000001
CHAKWAL,CHAKWAL,DISTRICT,URBAN,INSTITUTIONAL,2420,2121,299,,40,.06
CHAKWAL,CHAKWAL,DISTRICT,URBAN,HOMELESS,30,28,1,1,9,.01
CHAKWAL,CHAKWAL,DISTRICT,URBAN,TOTAL,434758,218853,215831,74,70665,100
CHINIOT,CHINIOT,DISTRICT,OVERALL,REGULAR,1552636,783799,768674,163,256440,99.91
CHINIOT,CHINIOT,DISTRICT,OVERALL,INSTITUTIONAL,7961,5597,2364,,99,.04
CHINIOT,CHINIOT,DISTRICT,OVERALL,HOMELESS,2427,1335,1088,4,121,.05
CHINIOT,CHINIOT,DISTRICT,OVERALL,TOTAL,1563024,790731,772126,167,256660,100
CHINIOT,CHINIOT,DISTRICT,RURAL,REGULAR,1067417,539928,527441,48,173345,99.93000000000001
CHINIOT,CHINIOT,DISTRICT,RURAL,INSTITUTIONAL,2280,1886,394,,37,.02
CHINIOT,CHINIOT,DISTRICT,RURAL,HOMELESS,1655,894,760,1,85,.05
CHINIOT,CHINIOT,DISTRICT,RURAL,TOTAL,1071352,542708,528595,49,173467,100
CHINIOT,CHINIOT,DISTRICT,URBAN,REGULAR,485219,243871,241233,115,83095,99.88
CHINIOT,CHINIOT,DISTRICT,URBAN,INSTITUTIONAL,5681,3711,1970,,62,.07
CHINIOT,CHINIOT,DISTRICT,URBAN,HOMELESS,772,441,328,3,36,.04
CHINIOT,CHINIOT,DISTRICT,URBAN,TOTAL,491672,248023,243531,118,83193,100
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,REGULAR,3380472,1704890,1675470,112,454464,99.95
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,INSTITUTIONAL,4366,3544,822,,112,.02
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,HOMELESS,1737,1076,652,9,135,.03
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,TOTAL,3386575,1709510,1676944,121,454711,100
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,REGULAR,2578577,1299845,1278697,35,339865,99.95999999999999
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,INSTITUTIONAL,2052,1778,274,,59,.02
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,HOMELESS,1274,736,537,1,85,.02
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,TOTAL,2581903,1302359,1279508,36,340009,100
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,REGULAR,801895,405045,396773,77,114599,99.91
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,INSTITUTIONAL,2314,1766,548,,53,.05
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,HOMELESS,463,340,115,8,50,.04
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,TOTAL,804672,407151,397436,85,114702,100
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,REGULAR,9002558,4683218,4318463,877,1382786,99.86
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,INSTITUTIONAL,50330,33784,16544,2,685,.05
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,HOMELESS,12418,9180,3155,83,1197,.09
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,TOTAL,9065306,4726182,4338162,962,1384668,100
FAISALABAD,FAISALABAD,DISTRICT,RURAL,REGULAR,4665935,2425718,2239943,274,714581,99.88
FAISALABAD,FAISALABAD,DISTRICT,RURAL,INSTITUTIONAL,10020,8666,1354,,158,.02
FAISALABAD,FAISALABAD,DISTRICT,RURAL,HOMELESS,6785,4571,2196,18,703,.1
FAISALABAD,FAISALABAD,DISTRICT,RURAL,TOTAL,4682740,2438955,2243493,292,715442,100
FAISALABAD,FAISALABAD,DISTRICT,URBAN,REGULAR,4336623,2257500,2078520,603,668205,99.84999999999999
FAISALABAD,FAISALABAD,DISTRICT,URBAN,INSTITUTIONAL,40310,25118,15190,2,527,.08
FAISALABAD,FAISALABAD,DISTRICT,URBAN,HOMELESS,5633,4609,959,65,494,.07
FAISALABAD,FAISALABAD,DISTRICT,URBAN,TOTAL,4382566,2287227,2094669,670,669226,100
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,REGULAR,5922518,3007393,2914595,530,849179,99.95999999999999
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,INSTITUTIONAL,15319,10212,5107,,227,.03
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,HOMELESS,2336,1290,1039,7,118,.01
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,TOTAL,5940173,3018895,2920741,537,849524,100
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,REGULAR,2360223,1190102,1169967,154,333191,99.95999999999999
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,INSTITUTIONAL,4347,2939,1408,,80,.02
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,HOMELESS,848,466,382,,52,.02
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,TOTAL,2365418,1193507,1171757,154,333323,100
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,REGULAR,3562295,1817291,1744628,376,515988,99.95999999999999
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,INSTITUTIONAL,10972,7273,3699,,147,.03
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,HOMELESS,1488,824,657,7,66,.01
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,TOTAL,3574755,1825388,1748984,383,516201,100
GUJRAT,GUJRAT,DISTRICT,OVERALL,REGULAR,3205183,1598782,1606223,178,489337,99.95
GUJRAT,GUJRAT,DISTRICT,OVERALL,INSTITUTIONAL,9796,7110,2686,,194,.04
GUJRAT,GUJRAT,DISTRICT,OVERALL,HOMELESS,1021,709,300,12,58,.01
GUJRAT,GUJRAT,DISTRICT,OVERALL,TOTAL,3216000,1606601,1609209,190,489589,100
GUJRAT,GUJRAT,DISTRICT,RURAL,REGULAR,1886208,930249,955917,42,284904,99.94
GUJRAT,GUJRAT,DISTRICT,RURAL,INSTITUTIONAL,5838,3670,2168,,124,.04
GUJRAT,GUJRAT,DISTRICT,RURAL,HOMELESS,774,535,239,,43,.02
