name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
BADIN,BADIN,DISTRICT,OVERALL,REGULAR,1941946,1009826,932046,74,397894,99.95999999999999
BADIN,BADIN,DISTRICT,OVERALL,INSTITUTIONAL,878,851,27,,32,.01
BADIN,BADIN,DISTRICT,OVERALL,HOMELESS,2593,1379,1214,,140,.04
BADIN,BADIN,DISTRICT,OVERALL,TOTAL,1945417,1012056,933287,74,398066,100
BADIN,BADIN,DISTRICT,RURAL,REGULAR,1514115,788313,725767,35,311950,99.95999999999999
BADIN,BADIN,DISTRICT,RURAL,INSTITUTIONAL,237,211,26,,22,.01
BADIN,BADIN,DISTRICT,RURAL,HOMELESS,2215,1185,1030,,103,.03
BADIN,BADIN,DISTRICT,RURAL,TOTAL,1516567,789709,726823,35,312075,100
BADIN,BADIN,DISTRICT,URBAN,REGULAR,427831,221513,206279,39,85944,99.95
BADIN,BADIN,DISTRICT,URBAN,INSTITUTIONAL,641,640,1,,10,.01
BADIN,BADIN,DISTRICT,URBAN,HOMELESS,378,194,184,,37,.04
BADIN,BADIN,DISTRICT,URBAN,TOTAL,428850,222347,206464,39,85991,100
DADU,DADU,DISTRICT,OVERALL,REGULAR,1738250,881408,856756,86,340472,99.94
DADU,DADU,DISTRICT,OVERALL,INSTITUTIONAL,243,216,27,,16,0
DADU,DADU,DISTRICT,OVERALL,HOMELESS,3814,2163,1651,,177,.05
DADU,DADU,DISTRICT,OVERALL,TOTAL,1742307,883787,858434,86,340665,100
DADU,DADU,DISTRICT,RURAL,REGULAR,1299549,660700,638812,37,256608,99.94
DADU,DADU,DISTRICT,RURAL,INSTITUTIONAL,164,141,23,,9,0
DADU,DADU,DISTRICT,RURAL,HOMELESS,3573,2026,1547,,147,.06
DADU,DADU,DISTRICT,RURAL,TOTAL,1303286,662867,640382,37,256764,100
DADU,DADU,DISTRICT,URBAN,REGULAR,438701,220708,217944,49,83864,99.95999999999999
DADU,DADU,DISTRICT,URBAN,INSTITUTIONAL,79,75,4,,7,.01
DADU,DADU,DISTRICT,URBAN,HOMELESS,241,137,104,,30,.04
DADU,DADU,DISTRICT,URBAN,TOTAL,439021,220920,218052,49,83901,100
GHOTKI,GHOTKI,DISTRICT,OVERALL,REGULAR,1758700,913439,845214,47,331048,99.97
GHOTKI,GHOTKI,DISTRICT,OVERALL,INSTITUTIONAL,207,190,17,,34,.01
GHOTKI,GHOTKI,DISTRICT,OVERALL,HOMELESS,1854,1013,841,,50,.02
GHOTKI,GHOTKI,DISTRICT,OVERALL,TOTAL,1760761,914642,846072,47,331132,100
GHOTKI,GHOTKI,DISTRICT,RURAL,REGULAR,1379965,717021,662921,23,261521,99.98
GHOTKI,GHOTKI,DISTRICT,RURAL,INSTITUTIONAL,177,169,8,,24,.01
GHOTKI,GHOTKI,DISTRICT,RURAL,HOMELESS,1246,679,567,,39,.01
GHOTKI,GHOTKI,DISTRICT,RURAL,TOTAL,1381388,717869,663496,23,261584,100
GHOTKI,GHOTKI,DISTRICT,URBAN,REGULAR,378735,196418,182293,24,69527,99.97
GHOTKI,GHOTKI,DISTRICT,URBAN,INSTITUTIONAL,30,21,9,,10,.01
GHOTKI,GHOTKI,DISTRICT,URBAN,HOMELESS,608,334,274,,11,.02
GHOTKI,GHOTKI,DISTRICT,URBAN,TOTAL,379373,196773,182576,24,69548,100
HYDERABAD,HYDERABAD,DISTRICT,OVERALL,REGULAR,2427731,1285520,1142047,164,448194,99.94
HYDERABAD,HYDERABAD,DISTRICT,OVERALL,INSTITUTIONAL,1768,1612,156,,77,.02
HYDERABAD,HYDERABAD,DISTRICT,OVERALL,HOMELESS,3041,2145,889,7,208,.05
HYDERABAD,HYDERABAD,DISTRICT,OVERALL,TOTAL,2432540,1289277,1143092,171,448479,100
HYDERABAD,HYDERABAD,DISTRICT,RURAL,REGULAR,409225,216183,193035,7,75496,99.94
HYDERABAD,HYDERABAD,DISTRICT,RURAL,INSTITUTIONAL,33,33,,,2,0
HYDERABAD,HYDERABAD,DISTRICT,RURAL,HOMELESS,903,502,401,,43,.06
HYDERABAD,HYDERABAD,DISTRICT,RURAL,TOTAL,410161,216718,193436,7,75541,100
HYDERABAD,HYDERABAD,DISTRICT,URBAN,REGULAR,2018506,1069337,949012,157,372698,99.94
HYDERABAD,HYDERABAD,DISTRICT,URBAN,INSTITUTIONAL,1735,1579,156,,75,.02
HYDERABAD,HYDERABAD,DISTRICT,URBAN,HOMELESS,2138,1643,488,7,165,.04
HYDERABAD,HYDERABAD,DISTRICT,URBAN,TOTAL,2022379,1072559,949656,164,372938,100
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,REGULAR,1171422,593836,577500,86,195060,99.95
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,INSTITUTIONAL,1297,1179,118,,35,.02
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,HOMELESS,1378,772,583,23,66,.03
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,TOTAL,1174097,595787,578201,109,195161,100
JACOBABAD,JACOBABAD,DISTRICT,RURAL,REGULAR,810485,410657,399801,27,138729,99.95
JACOBABAD,JACOBABAD,DISTRICT,RURAL,INSTITUTIONAL,578,546,32,,19,.01
