name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
AWARAN,AWARAN,DISTRICT,OVERALL,27796,3340,17195,7261,312,254,26399,831,24738,1666
AWARAN,AWARAN,DISTRICT,RURAL,21364,858,14192,6314,164,52,20447,701,18604,1463
AWARAN,AWARAN,DISTRICT,URBAN,6432,2482,3003,947,148,202,5952,130,6134,203
BARKHAN,BARKHAN,DISTRICT,OVERALL,23053,10589,9016,3448,97,54,21584,1318,6493,9883
BARKHAN,BARKHAN,DISTRICT,RURAL,21582,9145,9001,3436,94,26,20154,1308,5568,9827
BARKHAN,BARKHAN,DISTRICT,URBAN,1471,1444,15,12,3,28,1430,10,925,56
CHAGAI,CHAGAI,DISTRICT,OVERALL,38213,13467,20342,4404,502,7906,27960,1845,26456,4944
CHAGAI,CHAGAI,DISTRICT,RURAL,35640,10971,20312,4357,490,6562,27055,1533,24591,4841
CHAGAI,CHAGAI,DISTRICT,URBAN,2573,2496,30,47,12,1344,905,312,1865,103
CHAMAN,CHAMAN,DISTRICT,OVERALL,61915,41550,12940,7425,2645,8852,41345,9073,32668,1948
CHAMAN,CHAMAN,DISTRICT,RURAL,42810,24835,11997,5978,1149,5120,30149,6392,22242,1415
CHAMAN,CHAMAN,DISTRICT,URBAN,19105,16715,943,1447,1496,3732,11196,2681,10426,533
DERA BUGTI,DERA BUGTI,DISTRICT,OVERALL,62267,21356,8225,32686,14792,58,41675,5742,16565,28764
DERA BUGTI,DERA BUGTI,DISTRICT,RURAL,42439,3061,7994,31384,1929,40,34981,5489,9256,24874
DERA BUGTI,DERA BUGTI,DISTRICT,URBAN,19828,18295,231,1302,12863,18,6694,253,7309,3890
DUKI,DUKI,DISTRICT,OVERALL,43059,24570,14037,4452,354,105,40186,2414,18539,5364
DUKI,DUKI,DISTRICT,RURAL,40066,21937,13739,4390,302,77,37316,2371,16574,5053
DUKI,DUKI,DISTRICT,URBAN,2993,2633,298,62,52,28,2870,43,1965,311
GWADAR,GWADAR,DISTRICT,OVERALL,50357,40346,5795,4216,2932,5015,41588,822,33476,1282
GWADAR,GWADAR,DISTRICT,RURAL,22539,13662,5382,3495,266,897,20745,631,16699,948
GWADAR,GWADAR,DISTRICT,URBAN,27818,26684,413,721,2666,4118,20843,191,16777,334
HARNAI,HARNAI,DISTRICT,OVERALL,16393,11546,2347,2500,105,127,14978,1183,5837,4606
HARNAI,HARNAI,DISTRICT,RURAL,11891,7496,2023,2372,66,27,10742,1056,3611,4400
HARNAI,HARNAI,DISTRICT,URBAN,4502,4050,324,128,39,100,4236,127,2226,206
JAFFARABAD,JAFFARABAD,DISTRICT,OVERALL,81562,60832,7773,12957,11216,298,43183,26865,22471,42732
JAFFARABAD,JAFFARABAD,DISTRICT,RURAL,62763,45232,6270,11261,2262,184,36777,23540,15219,36754
JAFFARABAD,JAFFARABAD,DISTRICT,URBAN,18799,15600,1503,1696,8954,114,6406,3325,7252,5978
JHAL MAGSI,JHAL MAGSI,DISTRICT,OVERALL,30953,13917,9934,7102,204,44,27397,3308,11869,14394
JHAL MAGSI,JHAL MAGSI,DISTRICT,RURAL,27257,10833,9577,6847,185,27,23776,3269,9877,13928
JHAL MAGSI,JHAL MAGSI,DISTRICT,URBAN,3696,3084,357,255,19,17,3621,39,1992,466
KACHHI,KACHHI,DISTRICT,OVERALL,50032,38750,5593,5689,6909,98,39320,3705,21048,8961
KACHHI,KACHHI,DISTRICT,RURAL,41450,30354,5525,5571,1989,43,35952,3466,16841,8116
KACHHI,KACHHI,DISTRICT,URBAN,8582,8396,68,118,4920,55,3368,239,4207,845
KALAT,KALAT,DISTRICT,OVERALL,33101,13921,12318,6862,358,623,30168,1952,16650,6564
KALAT,KALAT,DISTRICT,RURAL,27903,8819,12271,6813,331,70,25602,1900,13431,6490
KALAT,KALAT,DISTRICT,URBAN,5198,5102,47,49,27,553,4566,52,3219,74
KECH,KECH,DISTRICT,OVERALL,253475,154549,45925,53001,2057,15876,220025,15517,142312,19945
KECH,KECH,DISTRICT,RURAL,164440,75316,42414,46710,1003,4083,150498,8856,95566,16110
KECH,KECH,DISTRICT,URBAN,89035,79233,3511,6291,1054,11793,69527,6661,46746,3835
KHARAN,KHARAN,DISTRICT,OVERALL,35843,21380,8586,5877,183,370,33283,2007,23625,2639
