name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,236789,234356,1165,1268,104135,3612,128055,987,187932,26561
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,183532,181478,913,1141,53772,2415,126549,796,141804,25168
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,53257,52878,252,127,50363,1197,1506,191,46128,1393
BAJAUR,BAJAUR,DISTRICT,OVERALL,181699,47197,97164,37338,1348,786,154436,25129,86674,25235
BAJAUR,BAJAUR,DISTRICT,RURAL,181699,47197,97164,37338,1348,786,154436,25129,86674,25235
BAJAUR,BAJAUR,DISTRICT,URBAN,,,,,,,,,,
BANNU,BANNU,DISTRICT,OVERALL,183130,154976,20260,7894,19078,2460,153869,7723,98833,32333
BANNU,BANNU,DISTRICT,RURAL,176054,147987,20198,7869,13811,1992,152802,7449,93738,31139
BANNU,BANNU,DISTRICT,URBAN,7076,6989,62,25,5267,468,1067,274,5095,1194
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,86196,57917,9518,18761,398,928,84094,776,55963,12046
BATAGRAM,BATAGRAM,DISTRICT,RURAL,86196,57917,9518,18761,398,928,84094,776,55963,12046
BATAGRAM,BATAGRAM,DISTRICT,URBAN,,,,,,,,,,
BUNER,BUNER,DISTRICT,OVERALL,118665,95360,12918,10387,418,1331,115435,1481,73466,24987
BUNER,BUNER,DISTRICT,RURAL,118665,95360,12918,10387,418,1331,115435,1481,73466,24987
BUNER,BUNER,DISTRICT,URBAN,,,,,,,,,,
CHARSADDA,CHARSADDA,DISTRICT,OVERALL,263934,236418,20094,7422,86717,7242,165177,4798,172749,26136
CHARSADDA,CHARSADDA,DISTRICT,RURAL,219425,193170,19380,6875,59485,4226,151920,3794,141630,22791
CHARSADDA,CHARSADDA,DISTRICT,URBAN,44509,43248,714,547,27232,3016,13257,1004,31119,3345
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,OVERALL,270021,218368,19326,32327,32224,4279,205792,27726,122273,96055
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,RURAL,210230,161675,18275,30280,6972,1759,177577,23922,85229,82671
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,URBAN,59791,56693,1051,2047,25252,2520,28215,3804,37044,13384
HANGU,HANGU,DISTRICT,OVERALL,61148,42053,16729,2366,8970,2955,48738,485,40016,7582
HANGU,HANGU,DISTRICT,RURAL,50414,32131,16112,2171,4242,1459,44317,396,31855,6376
HANGU,HANGU,DISTRICT,URBAN,10734,9922,617,195,4728,1496,4421,89,8161,1206
HARIPUR,HARIPUR,DISTRICT,OVERALL,192451,188352,2495,1604,76456,8750,106363,882,152221,18131
HARIPUR,HARIPUR,DISTRICT,RURAL,167945,163966,2396,1583,53408,8016,105743,778,131268,17270
HARIPUR,HARIPUR,DISTRICT,URBAN,24506,24386,99,21,23048,734,620,104,20953,861
KARAK,KARAK,DISTRICT,OVERALL,95997,72244,13484,10269,27554,673,62544,5226,66405,12521
KARAK,KARAK,DISTRICT,RURAL,88061,64744,13343,9974,21999,424,60578,5060,60090,12097
KARAK,KARAK,DISTRICT,URBAN,7936,7500,141,295,5555,249,1966,166,6315,424
KHYBER,KHYBER,DISTRICT,OVERALL,166805,54335,97549,14921,3507,10716,140041,12541,79684,22087
KHYBER,KHYBER,DISTRICT,RURAL,152977,49021,91078,12878,3178,6068,131812,11919,72386,19448
KHYBER,KHYBER,DISTRICT,URBAN,13828,5314,6471,2043,329,4648,8229,622,7298,2639
KOHAT,KOHAT,DISTRICT,OVERALL,169679,148926,14440,6313,61085,8177,98381,2036,118517,20034
KOHAT,KOHAT,DISTRICT,RURAL,127770,108405,13440,5925,31528,6056,88619,1567,83582,18616
KOHAT,KOHAT,DISTRICT,URBAN,41909,40521,1000,388,29557,2121,9762,469,34935,1418
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,OVERALL,33983,5372,10436,18175,174,7,31621,2181,12803,7547
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,RURAL,33983,5372,10436,18175,174,7,31621,2181,12803,7547
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,URBAN,,,,,,,,,,
KURRAM,KURRAM,DISTRICT,OVERALL,94548,48577,39828,6143,1465,3547,87719,1817,45096,30846
KURRAM,KURRAM,DISTRICT,RURAL,89810,46745,37340,5725,1149,2811,84152,1698,42373,29836
KURRAM,KURRAM,DISTRICT,URBAN,4738,1832,2488,418,316,736,3567,119,2723,1010
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,OVERALL,131800,101506,21456,8838,11677,625,112470,7028,77019,18302
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,RURAL,117906,88038,21255,8613,1271,549,109218,6868,66791,16861
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,URBAN,13894,13468,201,225,10406,76,3252,160,10228,1441
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,OVERALL,46028,39855,2534,3639,167,523,45067,271,35753,7547
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,RURAL,37673,31656,2430,3587,110,144,37167,252,27897,7320
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,URBAN,8355,8199,104,52,57,379,7900,19,7856,227
LOWER DIR,LOWER DIR,DISTRICT,OVERALL,202836,188640,10296,3900,17423,13467,169114,2832,139539,28093
LOWER DIR,LOWER DIR,DISTRICT,RURAL,196763,182612,10265,3886,13304,12702,167941,2816,134807,27525
LOWER DIR,LOWER DIR,DISTRICT,URBAN,6073,6028,31,14,4119,765,1173,16,4732,568
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,OVERALL,47347,17339,15741,14267,354,56,44780,2157,19330,9773
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,RURAL,47347,17339,15741,14267,354,56,44780,2157,19330,9773
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,URBAN,,,,,,,,,,
MALAKAND,MALAKAND,DISTRICT,OVERALL,113118,109528,1663,1927,38943,5214,68144,817,77465,18967
MALAKAND,MALAKAND,DISTRICT,RURAL,102779,99592,1332,1855,32081,4181,65766,751,69549,18106
MALAKAND,MALAKAND,DISTRICT,URBAN,10339,9936,331,72,6862,1033,2378,66,7916,861
MANSEHRA,MANSEHRA,DISTRICT,OVERALL,294052,280033,6421,7598,45901,10928,235114,2109,221456,28172
MANSEHRA,MANSEHRA,DISTRICT,RURAL,267481,253712,6275,7494,23801,9399,232317,1964,198718,27557
MANSEHRA,MANSEHRA,DISTRICT,URBAN,26571,26321,146,104,22100,1529,2797,145,22738,615
MARDAN,MARDAN,DISTRICT,OVERALL,400859,383734,7336,9789,127914,10195,256599,6151,276829,27981
MARDAN,MARDAN,DISTRICT,RURAL,332734,317222,6525,8987,72884,7317,247363,5170,225351,25579
MARDAN,MARDAN,DISTRICT,URBAN,68125,66512,811,802,55030,2878,9236,981,51478,2402
MOHMAND,MOHMAND,DISTRICT,OVERALL,63973,24601,33359,6013,549,694,56785,5945,40396,3909
MOHMAND,MOHMAND,DISTRICT,RURAL,63973,24601,33359,6013,549,694,56785,5945,40396,3909
MOHMAND,MOHMAND,DISTRICT,URBAN,,,,,,,,,,
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,OVERALL,99595,52423,38942,8230,900,679,91168,6848,59598,9005
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,RURAL,98985,52192,38576,8217,877,318,90949,6841,59196,9000
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,URBAN,610,231,366,13,23,361,219,7,402,5
NOWSHERA,NOWSHERA,DISTRICT,OVERALL,259774,243988,7955,7831,140024,6739,105304,7707,181665,23791
NOWSHERA,NOWSHERA,DISTRICT,RURAL,206464,191671,7524,7269,95796,4822,99122,6724,142574,20472
NOWSHERA,NOWSHERA,DISTRICT,URBAN,53310,52317,431,562,44228,1917,6182,983,39091,3319
ORAKZAI,ORAKZAI,DISTRICT,OVERALL,52104,14966,27628,9510,369,5,50483,1247,22377,13734
ORAKZAI,ORAKZAI,DISTRICT,RURAL,52104,14966,27628,9510,369,5,50483,1247,22377,13734
ORAKZAI,ORAKZAI,DISTRICT,URBAN,,,,,,,,,,
PESHAWAR,PESHAWAR,DISTRICT,OVERALL,690976,634049,41899,15028,395549,33963,243094,18370,430070,55573
PESHAWAR,PESHAWAR,DISTRICT,RURAL,415031,362324,39053,13654,156431,18910,224332,15358,234090,38840
PESHAWAR,PESHAWAR,DISTRICT,URBAN,275945,271725,2846,1374,239118,15053,18762,3012,195980,16733
SHANGLA,SHANGLA,DISTRICT,OVERALL,125540,93552,13920,18068,670,932,122178,1760,61772,34654
SHANGLA,SHANGLA,DISTRICT,RURAL,125540,93552,13920,18068,670,932,122178,1760,61772,34654
SHANGLA,SHANGLA,DISTRICT,URBAN,,,,,,,,,,
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,OVERALL,178636,55178,89809,33649,1613,1293,161464,14266,79102,16486
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,RURAL,178636,55178,89809,33649,1613,1293,161464,14266,79102,16486
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,URBAN,,,,,,,,,,
SWABI,SWABI,DISTRICT,OVERALL,278976,264225,8973,5778,42227,9528,224625,2596,194854,26842
SWABI,SWABI,DISTRICT,RURAL,229655,218098,6257,5300,23901,7817,196144,1793,157098,24827
SWABI,SWABI,DISTRICT,URBAN,49321,46127,2716,478,18326,1711,28481,803,37756,2015
SWAT,SWAT,DISTRICT,OVERALL,381212,360471,8259,12482,69106,13387,295708,3011,250361,48375
SWAT,SWAT,DISTRICT,RURAL,263159,245686,6369,11104,20617,4969,235615,1958,171358,38412
SWAT,SWAT,DISTRICT,URBAN,118053,114785,1890,1378,48489,8418,60093,1053,79003,9963
TANK,TANK,DISTRICT,OVERALL,70563,48472,16126,5965,4187,122,63954,2300,32730,11807
TANK,TANK,DISTRICT,RURAL,63302,41484,15986,5832,367,56,60775,2104,27360,11337
TANK,TANK,DISTRICT,URBAN,7261,6988,140,133,3820,66,3179,196,5370,470
TORGHAR,TORGHAR,DISTRICT,OVERALL,29410,9300,12541,7569,161,21,28893,335,13589,11197
TORGHAR,TORGHAR,DISTRICT,RURAL,29410,9300,12541,7569,161,21,28893,335,13589,11197
TORGHAR,TORGHAR,DISTRICT,URBAN,,,,,,,,,,
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,OVERALL,26365,22857,2510,998,117,56,25288,904,23915,1985
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,RURAL,26365,22857,2510,998,117,56,25288,904,23915,1985
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,URBAN,,,,,,,,,,
UPPER DIR,UPPER DIR,DISTRICT,OVERALL,149536,120847,15099,13590,785,5959,140956,1836,66280,50558
UPPER DIR,UPPER DIR,DISTRICT,RURAL,142928,114416,15026,13486,757,4451,135941,1779,62599,48683
UPPER DIR,UPPER DIR,DISTRICT,URBAN,6608,6431,73,104,28,1508,5015,57,3681,1875
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,OVERALL,63712,13322,7904,42486,211,54,60629,2818,24549,16835
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,RURAL,63712,13322,7904,42486,211,54,60629,2818,24549,16835
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,URBAN,,,,,,,,,,
