name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
ATTOCK,ATTOCK,DISTRICT,OVERALL,353973,340043,7536,6394,187997,11866,150967,3143,304829,23538
ATTOCK,ATTOCK,DISTRICT,RURAL,256574,244183,6762,5629,104159,7267,142779,2369,218988,20616
ATTOCK,ATTOCK,DISTRICT,URBAN,97399,95860,774,765,83838,4599,8188,774,85841,2922
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,OVERALL,557616,517983,8001,31632,44591,27864,430980,54181,248668,276342
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,RURAL,401319,367467,6732,27120,1955,2594,349692,47078,148796,230838
BAHAWALNAGAR,BAHAWALNAGAR,DISTRICT,URBAN,156297,150516,1269,4512,42636,25270,81288,7103,99872,45504
BAHAWALPUR,BAHAWALPUR,DISTRICT,OVERALL,673437,627125,8758,37554,146615,23061,486539,17222,339256,279098
BAHAWALPUR,BAHAWALPUR,DISTRICT,RURAL,416480,377687,6515,32278,8588,2653,392477,12762,168349,215308
BAHAWALPUR,BAHAWALPUR,DISTRICT,URBAN,256957,249438,2243,5276,138027,20408,94062,4460,170907,63790
BHAKKAR,BHAKKAR,DISTRICT,OVERALL,313311,277723,13570,22018,12109,7280,274586,19336,157235,117434
BHAKKAR,BHAKKAR,DISTRICT,RURAL,257142,224088,12488,20566,1110,1327,236201,18504,119791,106322
BHAKKAR,BHAKKAR,DISTRICT,URBAN,56169,53635,1082,1452,10999,5953,38385,832,37444,11112
CHAKWAL,CHAKWAL,DISTRICT,OVERALL,288838,280118,4888,3832,88152,25539,170895,4252,255459,18369
CHAKWAL,CHAKWAL,DISTRICT,RURAL,218222,211238,4011,2973,39016,19912,155704,3590,192600,15104
CHAKWAL,CHAKWAL,DISTRICT,URBAN,70616,68880,877,859,49136,5627,15191,662,62859,3265
CHINIOT,CHINIOT,DISTRICT,OVERALL,256438,241660,3841,10937,63177,5561,166475,21225,128318,97811
CHINIOT,CHINIOT,DISTRICT,RURAL,173343,160238,3319,9786,6925,1275,144853,20290,73414,80462
CHINIOT,CHINIOT,DISTRICT,URBAN,83095,81422,522,1151,56252,4286,21622,935,54904,17349
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,OVERALL,454464,366969,45273,42222,54723,13681,369099,16961,192504,198997
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,RURAL,339865,255705,43926,40234,7041,2115,315582,15127,117861,174174
DERA GHAZI KHAN,DERA GHAZI KHAN,DISTRICT,URBAN,114599,111264,1347,1988,47682,11566,53517,1834,74643,24823
FAISALABAD,FAISALABAD,DISTRICT,OVERALL,1382773,1353922,10873,17978,783910,70664,493228,34971,955287,289676
FAISALABAD,FAISALABAD,DISTRICT,RURAL,714572,695290,5763,13519,233769,29322,425307,26174,435859,219804
FAISALABAD,FAISALABAD,DISTRICT,URBAN,668201,658632,5110,4459,550141,41342,67921,8797,519428,69872
GUJRANWALA,GUJRANWALA,DISTRICT,OVERALL,849177,836739,7562,4876,630436,54382,111372,52987,652421,105540
GUJRANWALA,GUJRANWALA,DISTRICT,RURAL,333189,329081,2438,1670,184711,19978,83034,45466,239869,58176
GUJRANWALA,GUJRANWALA,DISTRICT,URBAN,515988,507658,5124,3206,445725,34404,28338,7521,412552,47364
GUJRAT,GUJRAT,DISTRICT,OVERALL,489337,482109,3983,3245,246658,97699,135002,9978,417827,35943
GUJRAT,GUJRAT,DISTRICT,RURAL,284607,280643,2221,1743,79411,79323,117760,8113,243563,22719
GUJRAT,GUJRAT,DISTRICT,URBAN,204730,201466,1762,1502,167247,18376,17242,1865,174264,13224
HAFIZABAD,HAFIZABAD,DISTRICT,OVERALL,197206,193493,1568,2145,145717,1870,43220,6399,131554,49145
HAFIZABAD,HAFIZABAD,DISTRICT,RURAL,120258,117799,950,1509,79791,405,35347,4715,75729,34007
HAFIZABAD,HAFIZABAD,DISTRICT,URBAN,76948,75694,618,636,65926,1465,7873,1684,55825,15138
JHANG,JHANG,DISTRICT,OVERALL,491999,454810,8880,28309,82034,11276,375435,23254,257744,172470
JHANG,JHANG,DISTRICT,RURAL,358141,324468,7692,25981,5338,2802,329313,20688,170059,142248
JHANG,JHANG,DISTRICT,URBAN,133858,130342,1188,2328,76696,8474,46122,2566,87685,30222
JHELUM,JHELUM,DISTRICT,OVERALL,229064,224574,2391,2099,42313,67504,117362,1885,197967,14051
JHELUM,JHELUM,DISTRICT,RURAL,138838,135678,1666,1494,4663,31511,101479,1185,118457,10529
JHELUM,JHELUM,DISTRICT,URBAN,90226,88896,725,605,37650,35993,15883,700,79510,3522
KASUR,KASUR,DISTRICT,OVERALL,645308,632923,5001,7384,171732,25556,387429,60591,322158,230003
KASUR,KASUR,DISTRICT,RURAL,443044,433881,3515,5648,50282,11079,329533,52150,195411,185158
