name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
BADIN,BADIN,DISTRICT,OVERALL,397892,159443,47455,190994,46925,690,328230,22047,175807,177832
BADIN,BADIN,DISTRICT,RURAL,311949,102601,40793,168555,8470,235,283403,19841,131903,153057
BADIN,BADIN,DISTRICT,URBAN,85943,56842,6662,22439,38455,455,44827,2206,43904,24775
DADU,DADU,DISTRICT,OVERALL,340471,210779,87058,42634,72814,1114,199899,66644,144033,103131
DADU,DADU,DISTRICT,RURAL,256607,140082,78027,38498,22439,496,173612,60060,103706,91151
DADU,DADU,DISTRICT,URBAN,83864,70697,9031,4136,50375,618,26287,6584,40327,11980
GHOTKI,GHOTKI,DISTRICT,OVERALL,331046,151117,100951,78978,64368,856,246119,19703,99654,158377
GHOTKI,GHOTKI,DISTRICT,RURAL,261520,99318,88000,74202,18566,210,224892,17852,69621,138428
GHOTKI,GHOTKI,DISTRICT,URBAN,69526,51799,12951,4776,45802,646,21227,1851,30033,19949
HYDERABAD,HYDERABAD,DISTRICT,OVERALL,448191,408281,12650,27260,338014,7413,94280,8484,277270,36523
HYDERABAD,HYDERABAD,DISTRICT,RURAL,75495,55150,4796,15549,16267,557,55242,3429,33318,20552
HYDERABAD,HYDERABAD,DISTRICT,URBAN,372696,353131,7854,11711,321747,6856,39038,5055,243952,15971
JACOBABAD,JACOBABAD,DISTRICT,OVERALL,195056,100774,57463,36819,34608,1153,110774,48521,78825,63645
JACOBABAD,JACOBABAD,DISTRICT,RURAL,138726,51023,52518,35185,5463,267,90497,42499,52516,57548
JACOBABAD,JACOBABAD,DISTRICT,URBAN,56330,49751,4945,1634,29145,886,20277,6022,26309,6097
JAMSHORO,JAMSHORO,DISTRICT,OVERALL,213493,137032,34877,41584,76264,2387,123716,11126,117287,42525
JAMSHORO,JAMSHORO,DISTRICT,RURAL,117170,63595,18998,34577,12831,973,96096,7270,60666,34502
JAMSHORO,JAMSHORO,DISTRICT,URBAN,96323,73437,15879,7007,63433,1414,27620,3856,56621,8023
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,OVERALL,267553,115361,111531,40661,50604,656,109415,106878,132144,59601
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,RURAL,194027,59734,97799,36494,13625,254,85364,94784,98194,48609
KAMBAR SHAHDAD KOT,KAMBAR SHAHDAD KOT,DISTRICT,URBAN,73526,55627,13732,4167,36979,402,24051,12094,33950,10992
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,OVERALL,651268,645540,3744,1984,637338,5294,6009,2627,470496,9884
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,RURAL,,,,,,,,,,
KARACHI CENTRAL,KARACHI CENTRAL,DISTRICT,URBAN,651268,645540,3744,1984,637338,5294,6009,2627,470496,9884
KARACHI EAST,KARACHI EAST,DISTRICT,OVERALL,659389,644999,6813,7577,607341,20245,25694,6109,461357,14547
KARACHI EAST,KARACHI EAST,DISTRICT,RURAL,,,,,,,,,,
KARACHI EAST,KARACHI EAST,DISTRICT,URBAN,659389,644999,6813,7577,607341,20245,25694,6109,461357,14547
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,OVERALL,425093,420044,2694,2355,377339,35714,7932,4108,269076,8209
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,RURAL,,,,,,,,,,
KARACHI SOUTH,KARACHI SOUTH,DISTRICT,URBAN,425093,420044,2694,2355,377339,35714,7932,4108,269076,8209
KARACHI WEST,KARACHI WEST,DISTRICT,OVERALL,464756,445924,8802,10030,377753,33445,48802,4756,348669,7386
KARACHI WEST,KARACHI WEST,DISTRICT,RURAL,43348,37840,4035,1473,26470,5204,10598,1076,31092,824
KARACHI WEST,KARACHI WEST,DISTRICT,URBAN,421408,408084,4767,8557,351283,28241,38204,3680,317577,6562
KASHMORE,KASHMORE,DISTRICT,OVERALL,208894,91811,57124,59959,27048,526,140187,41133,69072,77713
KASHMORE,KASHMORE,DISTRICT,RURAL,162939,53813,51229,57897,3931,186,119761,39061,49904,70499
KASHMORE,KASHMORE,DISTRICT,URBAN,45955,37998,5895,2062,23117,340,20426,2072,19168,7214
KEAMARI,KEAMARI,DISTRICT,OVERALL,319121,311530,4776,2815,269053,21105,25737,3226,238761,6254
