name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
AWARAN,AWARAN,DISTRICT,OVERALL,27796,20661,9233,18563,6226,8170,8620,,27,4753
AWARAN,AWARAN,DISTRICT,RURAL,21364,14858,5851,15513,4624,5896,6628,,12,4204
AWARAN,AWARAN,DISTRICT,URBAN,6432,5803,3382,3050,1602,2274,1992,,15,549
BARKHAN,BARKHAN,DISTRICT,OVERALL,23053,16148,2524,20529,2117,9014,9342,17,43,2520
BARKHAN,BARKHAN,DISTRICT,RURAL,21582,14719,2161,19421,1145,8785,9111,1,41,2499
BARKHAN,BARKHAN,DISTRICT,URBAN,1471,1429,363,1108,972,229,231,16,2,21
CHAGAI,CHAGAI,DISTRICT,OVERALL,38213,33845,17073,21140,10697,6261,14373,92,286,6504
CHAGAI,CHAGAI,DISTRICT,RURAL,35640,31282,14582,21058,8225,6225,14373,92,250,6475
CHAGAI,CHAGAI,DISTRICT,URBAN,2573,2563,2491,82,2472,36,,,36,29
CHAMAN,CHAMAN,DISTRICT,OVERALL,61915,47049,34045,27870,29634,4164,6955,18,103,21041
CHAMAN,CHAMAN,DISTRICT,RURAL,42810,29805,21788,21022,18266,2892,5476,12,65,16099
CHAMAN,CHAMAN,DISTRICT,URBAN,19105,17244,12257,6848,11368,1272,1479,6,38,4942
DERA BUGTI,DERA BUGTI,DISTRICT,OVERALL,62267,33049,16557,45710,15787,7499,11151,5,130,27695
DERA BUGTI,DERA BUGTI,DISTRICT,RURAL,42439,14609,4245,38194,3064,5007,11038,4,83,23243
DERA BUGTI,DERA BUGTI,DISTRICT,URBAN,19828,18440,12312,7516,12723,2492,113,1,47,4452
DUKI,DUKI,DISTRICT,OVERALL,43059,35091,25780,17279,19222,10392,6044,6,142,7253
DUKI,DUKI,DISTRICT,RURAL,40066,32183,23761,16305,17205,9536,5957,6,142,7220
DUKI,DUKI,DISTRICT,URBAN,2993,2908,2019,974,2017,856,87,,,33
GWADAR,GWADAR,DISTRICT,OVERALL,50357,44228,31572,18785,37011,938,2243,281,104,9780
GWADAR,GWADAR,DISTRICT,RURAL,22539,17293,8637,13902,13040,467,1551,5,60,7416
GWADAR,GWADAR,DISTRICT,URBAN,27818,26935,22935,4883,23971,471,692,276,44,2364
