name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,236789,195201,141468,95321,138036,52013,5923,768,144,39905
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,183532,142428,95565,87967,100375,38026,5631,28,57,39415
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,53257,52773,45903,7354,37661,13987,292,740,87,490
BAJAUR,BAJAUR,DISTRICT,OVERALL,181699,124871,102263,79436,53509,43122,37199,5,328,47536
BAJAUR,BAJAUR,DISTRICT,RURAL,181699,124871,102263,79436,53509,43122,37199,5,328,47536
BAJAUR,BAJAUR,DISTRICT,URBAN,,,,,,,,,,
BANNU,BANNU,DISTRICT,OVERALL,183130,169422,152764,30366,68645,95039,3306,542,87,15511
BANNU,BANNU,DISTRICT,RURAL,176054,162512,146895,29159,65671,91548,3273,132,84,15346
BANNU,BANNU,DISTRICT,URBAN,7076,6910,5869,1207,2974,3491,33,410,3,165
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,86196,62453,36428,49768,53792,4796,7218,1,31,20358
BATAGRAM,BATAGRAM,DISTRICT,RURAL,86196,62453,36428,49768,53792,4796,7218,1,31,20358
BATAGRAM,BATAGRAM,DISTRICT,URBAN,,,,,,,,,,
BUNER,BUNER,DISTRICT,OVERALL,118665,104746,81289,37376,56027,38901,11290,3,66,12378
BUNER,BUNER,DISTRICT,RURAL,118665,104746,81289,37376,56027,38901,11290,3,66,12378
BUNER,BUNER,DISTRICT,URBAN,,,,,,,,,,
CHARSADDA,CHARSADDA,DISTRICT,OVERALL,263934,257830,250716,13218,13328,217972,28711,306,53,3564
CHARSADDA,CHARSADDA,DISTRICT,RURAL,219425,213773,208046,11379,8595,179280,28026,267,49,3208
CHARSADDA,CHARSADDA,DISTRICT,URBAN,44509,44057,42670,1839,4733,38692,685,39,4,356
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,OVERALL,270021,226383,165360,104661,82232,115865,14465,13235,132,44092
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,RURAL,210230,168819,125014,85216,65816,85506,14366,4629,64,39849
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,URBAN,59791,57564,40346,19445,16416,30359,99,8606,68,4243
HANGU,HANGU,DISTRICT,OVERALL,61148,54870,40273,20875,13419,20497,16239,5,64,10924
HANGU,HANGU,DISTRICT,RURAL,50414,44472,31227,19187,11458,16138,12526,4,46,10242
HANGU,HANGU,DISTRICT,URBAN,10734,10398,9046,1688,1961,4359,3713,1,18,682
HARIPUR,HARIPUR,DISTRICT,OVERALL,192451,175157,133256,59195,123566,41365,12978,40,111,14391
HARIPUR,HARIPUR,DISTRICT,RURAL,167945,150733,111220,56725,101341,39292,12872,27,103,14310
HARIPUR,HARIPUR,DISTRICT,URBAN,24506,24424,22036,2470,22225,2073,106,13,8,81
KARAK,KARAK,DISTRICT,OVERALL,95997,78128,27233,68764,18140,33054,10201,20,308,34274
KARAK,KARAK,DISTRICT,RURAL,88061,70723,25429,62632,16730,32412,9835,18,285,28781
KARAK,KARAK,DISTRICT,URBAN,7936,7405,1804,6132,1410,642,366,2,23,5493
KHYBER,KHYBER,DISTRICT,OVERALL,166805,117755,63525,103280,71069,18310,37504,27,313,39582
KHYBER,KHYBER,DISTRICT,RURAL,152977,105419,57577,95400,64876,16816,34276,9,311,36689
KHYBER,KHYBER,DISTRICT,URBAN,13828,12336,5948,7880,6193,1494,3228,18,2,2893
KOHAT,KOHAT,DISTRICT,OVERALL,169679,151724,118863,50816,59029,73968,14043,61,307,22271
KOHAT,KOHAT,DISTRICT,RURAL,127770,110567,88373,39397,39354,57506,12728,16,298,17868
KOHAT,KOHAT,DISTRICT,URBAN,41909,41157,30490,11419,19675,16462,1315,45,9,4403
